Name,dollar_value,system
Shohei Ohtani,53.8,depthcharts
Aaron Judge,45.8,depthcharts
Elly De La Cruz,45.1,depthcharts
Bobby Witt Jr.,43.7,depthcharts
Fernando Tatis Jr.,39.9,depthcharts
Corbin Carroll,38.5,depthcharts
José Ramírez,38.2,depthcharts
Ronald Acuña Jr.,35.6,depthcharts
Kyle Tucker,33.8,depthcharts
Gunnar Henderson,33.6,depthcharts
Julio Rodríguez,33.5,depthcharts
Juan Soto,33.4,depthcharts
Jazz Chisholm Jr.,31.0,depthcharts
Francisco Lindor,28.7,depthcharts
Pete Alonso,28.6,depthcharts
Jackson Chourio,27.8,depthcharts
Vladimir Guerrero Jr.,27.8,depthcharts
Mookie Betts,27.6,depthcharts
Kyle Schwarber,27.3,depthcharts
Luis Robert Jr.,27.3,depthcharts
Brent Rooker,26.1,depthcharts
Bryce Harper,25.5,depthcharts
Matt Olson,24.8,depthcharts
Rafael Devers,24.2,depthcharts
Brenton Doyle,23.5,depthcharts
Yordan Alvarez,23.2,depthcharts
Lawrence Butler,23.0,depthcharts
Manny Machado,22.9,depthcharts
Mark Vientos,22.7,depthcharts
Austin Riley,22.6,depthcharts
Anthony Santander,22.6,depthcharts
Michael Harris II,22.6,depthcharts
Trea Turner,22.5,depthcharts
Teoscar Hernández,22.2,depthcharts
Jackson Merrill,21.8,depthcharts
CJ Abrams,21.8,depthcharts
Marcell Ozuna,21.6,depthcharts
Christian Walker,21.3,depthcharts
Oneil Cruz,21.2,depthcharts
Freddie Freeman,20.7,depthcharts
Jarren Duran,19.4,depthcharts
Anthony Volpe,18.7,depthcharts
Randy Arozarena,17.8,depthcharts
Adolis García,17.7,depthcharts
Mike Trout,17.5,depthcharts
Ketel Marte,17.4,depthcharts
Willy Adames,17.4,depthcharts
Zach Neto,17.2,depthcharts
Matt Chapman,16.8,depthcharts
Cedric Mullins,15.8,depthcharts
Ozzie Albies,15.6,depthcharts
Zack Gelof,15.4,depthcharts
Jose Altuve,15.2,depthcharts
Marcus Semien,15.0,depthcharts
Wyatt Langford,14.8,depthcharts
Bryson Stott,14.8,depthcharts
Junior Caminero,14.6,depthcharts
Ezequiel Tovar,14.6,depthcharts
Matt McLain,14.0,depthcharts
Ian Happ,13.9,depthcharts
James Wood,13.8,depthcharts
Jake Burger,13.7,depthcharts
Byron Buxton,13.4,depthcharts
Triston Casas,13.3,depthcharts
Lane Thomas,13.2,depthcharts
Cal Raleigh,12.9,depthcharts
Dansby Swanson,12.8,depthcharts
Seiya Suzuki,12.7,depthcharts
Spencer Steer,12.6,depthcharts
William Contreras,12.5,depthcharts
Alex Bregman,12.4,depthcharts
Josh Naylor,12.3,depthcharts
Pete Crow-Armstrong,12.3,depthcharts
Paul Goldschmidt,12.0,depthcharts
Bryan Reynolds,12.0,depthcharts
Jeremy Peña,11.7,depthcharts
Jasson Domínguez,11.6,depthcharts
Cody Bellinger,11.5,depthcharts
Taylor Ward,11.4,depthcharts
Giancarlo Stanton,11.3,depthcharts
Corey Seager,11.3,depthcharts
Christian Yelich,11.3,depthcharts
Vinnie Pasquantino,11.0,depthcharts
Royce Lewis,11.0,depthcharts
George Springer,10.5,depthcharts
Luis Rengifo,10.4,depthcharts
JJ Bleday,10.2,depthcharts
Brice Turang,10.2,depthcharts
Trevor Story,9.9,depthcharts
Michael Toglia,9.7,depthcharts
Dylan Crews,9.4,depthcharts
Jorge Soler,9.3,depthcharts
Nick Castellanos,9.2,depthcharts
Nolan Arenado,9.1,depthcharts
Jake McCarthy,9.0,depthcharts
Riley Greene,9.0,depthcharts
Salvador Perez,9.0,depthcharts
Xander Bogaerts,8.7,depthcharts
Tyler Fitzgerald,8.7,depthcharts
Andrés Giménez,8.7,depthcharts
Isaac Paredes,8.7,depthcharts
Daulton Varsho,8.5,depthcharts
Rhys Hoskins,8.4,depthcharts
Masyn Winn,8.2,depthcharts
Tommy Edman,8.2,depthcharts
Willson Contreras,8.1,depthcharts
Tyler O'Neill,7.9,depthcharts
Steven Kwan,7.3,depthcharts
Tyler Soderstrom,7.0,depthcharts
Jordan Westburg,6.8,depthcharts
Bo Bichette,6.8,depthcharts
Willi Castro,6.7,depthcharts
TJ Friedl,6.7,depthcharts
Jesús Sánchez,6.3,depthcharts
Ryan McMahon,6.2,depthcharts
Eugenio Suárez,6.2,depthcharts
Colton Cowser,6.2,depthcharts
Luis García Jr.,6.1,depthcharts
Jo Adell,6.0,depthcharts
Andrew Vaughn,6.0,depthcharts
Heliot Ramos,6.0,depthcharts
Max Muncy,5.7,depthcharts
Shea Langeliers,5.7,depthcharts
Brandon Lowe,5.6,depthcharts
Josh Jung,5.4,depthcharts
Victor Robles,5.4,depthcharts
Michael Busch,4.9,depthcharts
Parker Meadows,4.9,depthcharts
Yainer Diaz,4.4,depthcharts
Gleyber Torres,4.3,depthcharts
Maikel Garcia,4.0,depthcharts
Josh Lowe,3.8,depthcharts
Yandy Díaz,3.7,depthcharts
Matt Shaw,3.4,depthcharts
Brandon Nimmo,3.3,depthcharts
Garrett Mitchell,3.3,depthcharts
Christopher Morel,3.2,depthcharts
Jurickson Profar,3.1,depthcharts
