Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,BB/K_z,OBP_z,PA_z,total_z,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP,QS_z,SV_z,HLD_z,K-BB%_z,ERA_z,WHIP_z,IP_z
Juan Soto,NYM,151.128,674.537,537.573,150.104,84.5339,27.9435,2.40239,35.2245,109.39,97.3784,127.642,5.26238,112.482,3.92128,4.37999,1.02099,12.0763,8.56226,2.97394,0.279226,0.189229,0.166754,1.13477,0.418204,0.53672,0.408174,0.954924,0.257494,4.19417,0.291391,-1.63281,-1.15601,132.108,53.2021,167.467,-2.78882,-3.83187,50.4574613571167,-11.78047251701355,6.31558,7.929999828338623,2.01018,0.412981,1.15134,,,,1128.3,7.47218543,1128.3,7.47218543,Juan Soto,20123,665742,3.5860398876243176,2.6028724080830066,2.277062248293295,0.2166556597357498,8.402916801116067,6.619877515391794,2.2016483495031998,25.907072869747427,20.8848258543987,61.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Judge,NYY,146.265,641.148,517.048,145.992,75.7201,23.8522,1.03397,45.3854,104.425,111.128,113.713,10.0547,163.841,5.85564,4.14049,0.391191,15.3048,7.61169,1.53469,0.282356,0.177358,0.255543,0.694043,0.414448,0.595821,0.423341,1.01027,0.313465,3.63456,0.322495,0.0102216,-0.561166,133.396,58.3954,177.901,-0.550944,-0.466404,57.88648337125778,-7.60646653175354,7.39902,3.430000066757202,2.85299,0.75435,1.52863,,,,1168.5,8.003424657,1168.5,8.003424657,Aaron Judge,15640,592450,5.034104291048025,2.420102584006174,2.7962277171695047,0.12606450702487504,3.545114609545724,6.391544228527855,1.9938301639611211,22.306988101283277,17.28474108593455,51.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,LAD,145.098,649.135,556.743,158.585,83.3911,28.8816,5.04225,41.2696,112.065,100.02,82.461,9.99975,148.765,4.77831,3.83663,1.31575,6.46441,33.4177,7.09062,0.284843,0.127032,0.229174,0.554305,0.379464,0.577213,0.400955,0.956677,0.29237,6.9175,0.316601,-0.260308,2.54404,123.362,47.4273,162.502,2.28373,0.0,49.753581047058105,-13.787442207336426,5.9482,1.5,4.78738,0.931424,0.458641,,,,1135.5,7.831034482,1135.5,7.831034482,Shohei Ohtani,19755,660271,4.447547640395888,2.7013435620418234,2.376805331916338,2.585426987187685,2.0048877510921774,4.264810547045442,2.0435424598646996,20.42436427954405,15.402117264195324,45.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Tucker,CHC,148.747,646.342,552.572,155.64,90.5523,30.7972,2.18056,32.1096,96.9731,94.1565,85.1196,6.03206,100.277,2.9081,4.90362,0.838643,10.3514,20.4918,3.53257,0.281664,0.131694,0.155146,0.848843,0.377484,0.519619,0.382112,0.897103,0.237955,5.14657,0.290598,0.572216,1.30582,113.028,37.4205,149.539,1.87803,-0.798183,39.34085392951965,-9.023657202720642,5.35518,8.039999961853027,1.79303,0.662712,0.358398,,,,1013.5,6.802013422,1013.5,6.802013422,Kyle Tucker,18345,663656,3.1421248987724932,2.1457858766470306,2.1554078565893717,1.3535638094885187,5.251358563864587,4.144443159401511,2.026158405468969,20.218842570232482,15.196595554883755,45.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,HOU,137.754,598.027,507.084,152.39,83.8686,30.0602,2.09065,36.3705,90.5373,97.6792,76.2473,10.1003,99.7318,9.96608,4.3118,0.417986,11.6329,3.46562,0.75814,0.300522,0.127498,0.166768,0.764523,0.399263,0.583223,0.412398,0.982486,0.282701,3.3477,0.309143,-0.809953,-0.876571,119.157,49.2009,175.425,-1.68652,-1.16374,49.92450273036957,-14.71275758743286,5.69549,18.81999969482422,3.30366,0.851086,1.3907,,,,1041.9,7.55,1041.9,7.55,Yordan Alvarez,19556,670541,3.749360243726983,1.9088734831337015,2.2884200312861065,-0.26906395328838617,4.321962632158084,5.468423631874799,1.7254385386126545,19.193414607503943,14.171167592155216,42.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Ramírez,CLE,152.444,662.145,590.062,164.229,94.135,36.866,3.04672,30.1818,94.1432,100.173,63.6161,10.1003,78.7329,2.76845,5.29705,0.401139,7.65873,30.9712,6.91974,0.278326,0.0960758,0.118906,0.807999,0.348495,0.504581,0.360357,0.853076,0.226255,5.90543,0.275566,0.794438,2.20452,104.198,26.7416,138.517,2.99896,-0.634818,32.1803936958313,1.129583477973938,5.71982,5.0,3.37801,0.390139,0.345189,,,,975.1,6.415131578,975.1,6.415131578,Jose Ramirez,13510,608070,2.86738756675267,2.0416125986701865,2.3825823957391448,2.3522708228787383,4.801165876072599,2.3821551793965456,2.1245186674151633,18.951693106925045,13.929446091576319,41.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mookie Betts,LAD,147.268,652.328,566.442,159.358,94.5957,33.4141,3.11979,28.2289,103.505,89.6665,75.6837,2.76222,88.3489,5.03834,4.2158,0.947911,9.50639,15.409,3.21505,0.281332,0.116021,0.135436,0.856646,0.368572,0.500843,0.373135,0.869416,0.219511,5.38941,0.288781,0.178268,0.417807,109.362,33.0537,143.364,0.596075,-2.70865,33.69249939918518,2.7972583770751953,6.01326,12.359999656677246,1.91614,0.106017,0.680022,,,,963.5,6.554421768,963.5,6.554421768,Mookie Betts,13611,605141,2.589073148399359,2.3862358693736088,1.9858718006128941,0.8691631751335163,5.337365163189845,3.6026683317839936,2.06341617475391,18.83379366324713,13.811546647898401,41.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freddie Freeman,LAD,151.131,663.519,569.776,167.266,105.469,35.1989,2.55161,24.046,96.5482,93.0077,78.0736,9.24376,106.742,9.84143,5.40661,0.421981,11.927,10.7164,2.33846,0.293564,0.117666,0.160873,0.731421,0.384831,0.490905,0.374718,0.875736,0.197341,4.74939,0.322281,0.0832767,-0.257131,112.083,34.4663,144.453,-0.173854,0.66396,34.335865557193756,-10.997359693050385,4.69354,25.11000061035156,2.79404,0.0321782,1.0245,,,,988.7,6.547682119,988.7,6.547682119,Freddie Freeman,5361,518692,1.9929538486246314,2.1301446081172726,2.112030791755123,0.4219493526785145,3.9571041865775745,4.59107911749239,2.13307065121027,17.338332556455775,12.316085541107048,36.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero Jr.,TOR,154.019,668.76,588.357,173.819,107.321,34.6087,1.06862,30.8207,91.5217,101.033,68.7578,8.62441,95.6821,6.71734,4.52408,0.404295,18.9709,4.02014,1.65187,0.295431,0.102814,0.143074,0.718607,0.372996,0.515039,0.37771,0.888034,0.219608,3.0402,0.306614,-1.78992,-1.23963,114.58,36.3493,150.828,-3.02955,-2.72232,35.86406421661377,-13.418094873428345,4.62059,15.43000030517578,3.12148,0.266649,1.34773,,,,1015.0,6.59090909,1015.0,6.59090909,Vladimir Guerrero Jr.,19611,665489,2.9584393778469043,1.945110867790546,2.415054780625508,-0.21621712875023086,3.815865103692291,3.871610414075275,2.1656914278261024,16.95555484310639,11.933307827757664,35.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,KCR,152.85,668.796,606.123,179.804,106.844,35.4102,7.76534,29.7844,105.591,95.9137,49.7579,5.08913,106.977,6.38963,5.48292,1.04197,6.84161,32.8144,10.2321,0.296645,0.0743993,0.159955,0.465126,0.35335,0.528106,0.373345,0.881457,0.231461,7.1745,0.315933,2.1426,1.17256,112.236,34.0013,143.508,3.31516,3.4924,37.360220432281494,10.568763256072998,7.25135,1.6399999856948853,3.91341,1.53989,0.547473,,,,1033.8,6.756862745,1033.8,6.756862745,Bobby Witt Jr.,25764,677951,2.8107527416957776,2.463024963638316,2.2217572458013692,2.5279313346523944,1.0219347174862219,2.677298445563854,2.165915497270516,15.88861494610845,10.866367930759724,32.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
