Name,dollar_value
Tarik Skubal,35.0
Paul Skenes,34.71
Garrett Crochet,34.42
Zack Wheeler,34.12
Corbin Burnes,33.83
Jacob deGrom,33.54
Shane McClanahan,33.25
Shohei Ohtani,32.96
Michael King,32.67
Logan Gilbert,32.38
George Kirby,32.08
Cole Ragans,31.79
Yoshinobu Yamamoto,31.5
Tyler Glasnow,31.21
Roki Sasaki,30.92
Gerrit Cole,30.63
Max Fried,30.33
Joe Ryan,30.04
Bailey Ober,29.75
Aaron Nola,29.46
Pablo López,29.17
Chris Sale,28.88
Blake Snell,28.58
Dylan Cease,28.29
Shota Imanaga,28.0
Grayson Rodriguez,27.71
Spencer Schwellenbach,27.42
Luis Castillo,27.12
Bryan Woo,26.83
Sandy Alcantara,26.54
Justin Steele,26.25
Zac Gallen,25.96
Framber Valdez,25.67
Jared Jones,25.38
Bryce Miller,25.08
Tanner Bibee,24.79
Sonny Gray,24.5
Logan Webb,24.21
Shane Baz,23.92
Freddy Peralta,23.62
Hunter Brown,23.33
Carlos Rodón,23.04
Spencer Strider,22.75
Kodai Senga,22.46
Ryan Pepiot,22.17
Gavin Williams,21.88
Yusei Kikuchi,21.58
Robbie Ray,21.29
Luis Gil,21.0
Hunter Greene,20.71
Reynaldo López,20.42
Jack Flaherty,20.12
Bobby Miller,19.83
Walker Buehler,19.54
Zach Eflin,19.25
Seth Lugo,18.96
Lucas Giolito,18.67
Nathan Eovaldi,18.38
Ronel Blanco,18.08
Yu Darvish,17.79
Brandon Woodruff,17.5
Ryne Nelson,17.21
Spencer Arrighetti,16.92
Drew Rasmussen,16.62
Dustin May,16.33
Clarke Schmidt,16.04
Jeffrey Springs,15.75
Reese Olson,15.46
Jackson Jobe,15.17
Noah Shultz,14.88
Kumar Rocker,14.58
Bubba Chandler,14.29
Taj Bradley,14.0
MacKenzie Gore,13.71
Jesús Luzardo,13.42
Kevin Gausman,13.12
Max Scherzer,12.83
Bowden Francis,12.54
Grant Holmes,12.25
Edward Cabrera,11.96
Cristopher Sánchez,11.67
Tobias Myers,11.38
Cody Bradford,11.08
Kutter Crawford,10.79
Sean Manaea,10.5
Brayan Bello,10.21
Merrill Kelly,9.92
Nick Pivetta,9.62
Tanner Houck,9.33
José Berríos,9.04
Michael Wacha,8.75
Ranger Suárez,8.46
Eury Pérez,8.17
Kyle Bradish,7.88
Cristian Javier,7.58
Shane Bieber,7.29
Andrew Painter,7.0
Nick Lodolo,6.71
Sean Burke,6.42
David Festa,6.12
