Name,dollar_value
Tarik Skubal,35.0
Paul Skenes,34.71
Zack Wheeler,34.42
Garrett Crochet,34.12
Jacob deGrom,33.83
Logan Gilbert,33.54
George Kirby,33.25
Corbin Burnes,32.96
Chris Sale,32.67
Blake Snell,32.38
Yoshinobu Yamamoto,32.08
Tyler Glasnow,31.79
Shohei Ohtani,31.5
Gerrit Cole,31.21
Michael King,30.92
Cole Ragans,30.63
Max Fried,30.33
Shane McClanahan,30.04
Roki Sasaki,29.75
Grayson Rodriguez,29.46
Tanner Bibee,29.17
Shota Imanaga,28.88
Joe Ryan,28.58
Bailey Ober,28.29
Dylan Cease,28.0
Logan Webb,27.71
Framber Valdez,27.42
Aaron Nola,27.12
Luis Castillo,26.83
Pablo López,26.54
Zach Eflin,26.25
Bryce Miller,25.96
Freddy Peralta,25.67
Carlos Rodón,25.38
Zac Gallen,25.08
Justin Steele,24.79
Sonny Gray,24.5
Jack Flaherty,24.21
Hunter Greene,23.92
Hunter Brown,23.62
Jared Jones,23.33
Ryan Pepiot,23.04
Spencer Schwellenbach,22.75
Bryan Woo,22.46
Shane Baz,22.17
Seth Lugo,21.88
Reynaldo López,21.58
Cristopher Sánchez,21.29
Clarke Schmidt,21.0
Luis Gil,20.71
Yusei Kikuchi,20.42
Tanner Houck,20.12
Ronel Blanco,19.83
Bowden Francis,19.54
Reese Olson,19.25
Sean Manaea,18.96
Tobias Myers,18.67
Ranger Suárez,18.38
Taj Bradley,18.08
Gavin Williams,17.79
Ryne Nelson,17.5
MacKenzie Gore,17.21
Brandon Pfaadt,16.92
Mitch Keller,16.62
Kutter Crawford,16.33
Edward Cabrera,16.04
Grant Holmes,15.75
Reid Detmers,15.46
DL Hall,15.17
AJ Smith-Shawver,14.88
Casey Mize,14.58
JP Sears,14.29
Aaron Ashby,14.0
Robbie Ray,13.71
Walker Buehler,13.42
Spencer Strider,13.12
Yu Darvish,12.83
Drew Rasmussen,12.54
Kodai Senga,12.25
Bobby Miller,11.96
Max Scherzer,11.67
Sandy Alcantara,11.38
Jeffrey Springs,11.08
Brandon Woodruff,10.79
Lucas Giolito,10.5
Michael Wacha,10.21
Kevin Gausman,9.92
Nathan Eovaldi,9.62
Luis Severino,9.33
Nick Pivetta,9.04
José Berríos,8.75
Matthew Boyd,8.46
Zack Littell,8.17
Merrill Kelly,7.88
David Peterson,7.58
Justin Verlander,7.29
Nestor Cortes,7.0
Frankie Montas,6.71
Brady Singer,6.42
Tyler Anderson,6.12
Jameson Taillon,5.83
Nick Martinez,5.54
Chris Bassitt,5.25
Andrew Heaney,4.96
Charlie Morton,4.67
Steven Matz,4.38
Kumar Rocker,4.08
Jackson Jobe,3.79
David Festa,3.5
Spencer Arrighetti,3.21
DJ Herz,2.92
Brayan Bello,2.62
Bubba Chandler,2.33
Joey Cantillo,2.04
Andrew Painter,1.75
José Soriano,1.46
Rhett Lowder,1.17
Sean Burke,0.88
Shane Bieber,0.58
Nick Lodolo,0.29
