Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,OBP_z,PA_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,OBP_contribution,PA_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,FPTS/IP,SPTS/IP,RA9-WAR,QS_z,SV_z,HLD_z,ERA_z,WHIP_z,IP_z,QS_contribution,SV_contribution,HLD_contribution,ERA_contribution,WHIP_contribution,IP_contribution
Aaron Judge,NYY,159,686.0,559.0,152,79.0,25.0,1.0,48,111,117.0,115,16.0,178,7,5.0,1.0,,8.0,2.0,0.271946,0.1673,0.259639,0.644357,0.399216,0.575882,0.407445,0.975099,0.303936,3.66913,0.30838,0.0984312,-0.692624,133.951,53.7039,170.39,-0.594193,0.411156,54.65648609399796,-7.338844001293182,7.24863,3.640000104904175,,,,1197.2,7.529559748,1197.2,7.529559748,Aaron Judge,15640,592450,5.01597688580452,2.455085659608215,2.7632214804218136,0.1723502724762516,4.8145453852068885,1.6146467148549375,16.835826398372628,1.077,0.527,0.593,0.037,1.034,0.347,12.137273951710213,54.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,LAD,154,665.0,571.0,160,84.0,29.0,5.0,42,119,101.0,82,11.0,153,5,4.0,3.0,,33.0,8.0,0.280078,0.1236,0.230658,0.535857,0.373467,0.566131,0.393796,0.939599,0.286053,6.76264,0.311379,0.4104,1.94516,122.545,44.7546,156.417,2.35556,0.0,47.2189028263092,-16.625,5.44677,1.399999976158142,,,,1133.7,7.361688311,1133.7,7.361688311,Shohei Ohtani,19755,660271,4.218604331118682,2.7246981701232325,2.21036256519334,2.5521439147298106,3.4068693225085056,1.5219164989094884,16.63459480258306,0.906,0.585,0.475,0.548,0.731,0.327,11.936042355920645,54.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Soto,NYM,159,686.0,546.0,154,88.0,28.0,2.0,36,115,98.0,130,5.0,114,4,5.0,2.0,,9.0,3.0,0.282094,0.1893,0.165975,1.14053,0.420772,0.53798,0.409738,0.958752,0.255886,4.31205,0.295337,-1.6818,-1.18844,135.217,54.97,168.962,-2.87024,-4.2863,53.70103120803833,-12.63630437850952,6.6004,8.079999923706055,,,,1158.1,7.283647798,1158.1,7.283647798,Juan Soto,20123,665742,3.421231776432844,2.589891914865724,2.1067015185880016,0.26754201816639395,5.992993682520424,1.6146467148549375,15.993007625428326,0.735,0.556,0.452,0.057,1.287,0.347,11.294455178765912,51.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,KCR,159,686.0,622.0,184,109.0,36.0,8.0,31,109,97.0,51,5.0,107,7,5.0,2.0,,36.0,11.0,0.295927,0.074,0.155704,0.475261,0.353283,0.529766,0.374121,0.883049,0.233839,7.29197,0.313054,1.91994,1.53041,115.552,35.3047,142.487,3.45035,5.20944,36.79927706718445,12.559444427490234,7.45943,1.6799999475479126,,,,1061.4,6.675471698,1061.4,6.675471698,Bobby Witt Jr.,25764,677951,2.7567546475279787,2.387682531979461,2.072147836386222,2.8377191518002376,2.3034271053542823,1.6146467148549375,13.97237798790312,0.592,0.513,0.445,0.609,0.495,0.347,9.273825541240704,42.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Acuña Jr.,ATL,131,567.0,490.0,143,89.0,26.0,2.0,26,98,70.0,63,2.0,99,8,3.0,2.0,,43.0,10.0,0.291942,0.1119,0.174924,0.639706,0.379756,0.51093,0.382909,0.890686,0.218988,6.83134,0.318853,1.355,3.35824,99.5174,33.1909,146.198,4.71324,-1.95827,36.03644227981568,-8.433271408081055,4.80085,31.36000061035156,,,,908.7,6.936641221,908.7,6.936641221,Ronald Acuna Jr.,18401,660670,2.092277518623114,2.0169653300213115,1.1391984169381735,3.5040613716312343,3.7506836360084512,1.0891754911640583,13.592361764386343,0.449,0.433,0.245,0.752,0.805,0.234,8.893809317723928,40.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Tucker,CHC,156,672.0,581.0,161,95.0,33.0,2.0,32,102,95.0,81,6.0,105,3,5.0,2.0,,21.0,4.0,0.277002,0.1212,0.155643,0.778706,0.36657,0.503651,0.371586,0.870222,0.22665,5.23615,0.287804,0.915494,1.07525,111.822,33.2129,142.315,1.99074,-1.31866,35.99424147605896,-9.91865873336792,5.0042,7.679999828338623,,,,1009.2,6.469230769,1009.2,6.469230769,Kyle Tucker,18345,663656,2.8896500733089514,2.15177158527882,2.0030404719826627,1.4098429664481023,3.0298161629904383,1.5528265708913047,13.036947830900282,0.62,0.462,0.43,0.303,0.651,0.333,8.338395384237867,38.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis Jr.,SDP,157,679.0,607.0,170,96.0,34.0,2.0,38,107,101.0,58,0.0,142,7,4.0,2.0,,19.0,5.0,0.279673,0.0847001,0.208711,0.405826,0.346962,0.530387,0.374349,0.877349,0.250714,5.10398,0.304776,1.29483,0.689686,114.497,35.0692,145.306,1.98452,2.67376,38.77106785774231,-4.801244020462036,5.84358,10.119999885559082,,,,1029.3,6.556050955,1029.3,6.556050955,Fernando Tatis Jr.,19709,665487,3.6870226279947897,2.3202794043507065,2.21036256519334,1.2194594750678176,1.9578633789060127,1.5837366428731212,12.978724094385788,0.792,0.498,0.475,0.262,0.42,0.34,8.280171647723373,37.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,ARI,157,679.0,591.0,155,92.0,27.0,11.0,26,106,81.0,71,1.0,125,10,4.0,3.0,,41.0,9.0,0.263053,0.1048,0.184324,0.568564,0.350045,0.474629,0.355797,0.824674,0.211576,8.1854,0.292224,2.64205,3.32021,104.359,24.9305,127.508,5.96226,2.08472,28.297367572784424,-4.590275764465332,4.78367,10.239999771118164,,,,958.1,6.10254777,958.1,6.10254777,Corbin Carroll,25878,682998,2.092277518623114,2.2865778405363293,1.5192889211577487,3.3136778802509497,2.1264083826459292,1.5837366428731212,12.921967186087192,0.449,0.491,0.326,0.711,0.457,0.34,8.223414739424777,37.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Ramírez,CLE,156,672.0,600.0,168,97.0,37.0,3.0,31,94,100.0,63,15.0,82,4,5.0,1.0,,31.0,8.0,0.279381,0.0935,0.121931,0.766824,0.349142,0.503388,0.357947,0.85253,0.224008,5.57292,0.278195,1.08035,1.98295,104.445,25.8362,136.821,3.0633,-0.766357,31.375588417053223,1.0336428880691528,5.66073,5.039999961853027,,,,994.1,6.372435897,994.1,6.372435897,Jose Ramirez,13510,608070,2.7567546475279787,1.8821590747638028,2.1758088829915607,2.361760423349526,2.077042136010463,1.5528265708913047,12.806351735534637,0.592,0.404,0.467,0.507,0.446,0.333,8.107799288872222,37.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elly De La Cruz,CIN,156,672.0,597.0,151,87.0,31.0,7.0,26,99,83.0,63,2.0,195,5,4.0,2.0,,54.0,15.0,0.252676,0.0938,0.289547,0.323955,0.327286,0.459062,0.338219,0.786348,0.206386,7.95439,0.327531,0.718502,3.62045,93.7752,15.166,110.837,4.33895,4.37426,13.047176361083984,11.424258708953856,4.83853,3.9600000381469727,,,,887.4,5.688461538,887.4,5.688461538,Elly De La Cruz,26668,682829,2.092277518623114,2.0506668938356887,1.5883962855613079,4.5511705742228,0.8821930923064046,1.5528265708913047,12.717530935440621,0.449,0.44,0.341,0.977,0.189,0.333,8.018978488778206,36.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
