Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,527,160,82,26,1,52,112,126,107,7,157,6,5,0,,11,2,0.30431,0.166018,0.243157,0.682759,0.423652,0.651177,0.446788,1.07483,0.346867,3.92562,0.336378,-1.32049,-0.106314,146.018,69.9247,193.448,-1.42681,4.51945,69.50282752513885,-2.680551052093506,9.10456,1.850000023841858,,,,,,,1293.2,8.67919463,1293.2,8.67919463,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,615,186,109,38,7,32,110,104,52,4,109,7,5,0,,35,11,0.302308,0.0763275,0.160536,0.475455,0.360557,0.543732,0.382873,0.904289,0.241425,7.00259,0.32129,2.12478,1.65443,118.718,38.4892,145.274,3.77921,9.69313,40.01084589958191,16.968125820159912,8.22071,3.0999999046325684,,,,,,,1090.2,6.943949044,1090.2,6.943949044,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",159,686,557,158,91,27,2,39,111,107,121,6,119,4,5,0,,22,8,0.284685,0.176264,0.173872,1.01376,0.41248,0.547678,0.408472,0.960158,0.262993,4.69114,0.296904,-0.72028,-0.125942,134.2,53.1438,168.702,-0.846223,-2.32464,55.01233595609665,-9.874644041061401,6.95327,4.599999904632568,,,,,,,1178.5,7.411949685,1178.5,7.411949685,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",157,679,582,168,84,29,6,50,124,122,88,6,164,5,5,0,,25,7,0.288615,0.129253,0.241945,0.534223,0.383518,0.614842,0.416603,0.99836,0.326227,6.69599,0.317245,0.0862368,0.876483,137.313,57.084,171.48,0.962719,0,58.48699605464935,-16.975000381469727,6.55849,1.2599999904632568,,,,,,,1254,7.987261146,1254,7.987261146,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Gunnar Henderson","BAL",156,672,590,166,97,34,6,28,109,98,71,3,143,6,5,0,,24,5,0.281191,0.105481,0.212674,0.495972,0.361501,0.503591,0.369604,0.865092,0.2224,6.73467,0.325266,1.60662,1.5792,110.255,30.8533,140.595,3.18582,-2.32845,35.338160276412964,4.871553897857666,6.48036,12.3100004196167,,,,,,,998.2,6.398717948,998.2,6.398717948,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Cal Raleigh","SEA",159,637,554,134,72,25,1,37,85,100,73,3,167,6,4,0,,9,3,0.2425,0.115285,0.262289,0.439534,0.335025,0.488543,0.352001,0.823569,0.246044,3.5778,0.275546,-1.68041,-0.429225,95.4687,20.155,133.556,-2.10964,10.586,23.099125862121582,17.735992908477783,6.4225,17.950000762939453,,,,,,,868.1,5.459748427,868.1,5.459748427,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Julio Rodríguez","SEA",159,686,621,175,112,32,3,29,95,98,51,4,148,10,5,0,,29,7,0.282528,0.0745203,0.215855,0.345232,0.343995,0.484183,0.354488,0.828178,0.201654,5.83817,0.325751,0.640145,1.83443,104.133,23.0766,135.269,2.47458,2.45065,30.99037790298462,4.700649738311768,6.06734,9.550000190734863,,,,,,,960,6.037735849,960,6.037735849,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,590,161,98,31,1,31,93,93,71,4,133,6,5,0,,26,6,0.272696,0.105516,0.197797,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,5.04156,0.301838,0.666263,1.63295,105.266,25.8639,136.25,2.29921,10.7689,31.170999765396118,3.3688998222351074,5.82133,14.149999618530273,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,553,161,99,28,2,32,100,97,85,4,133,8,5,0,,25,6,0.290712,0.130408,0.204615,0.637334,0.390049,0.52122,0.389801,0.911269,0.230508,5.25999,0.3281,1.37275,1.42196,117.485,40.5641,152.141,2.7947,-1.35226,43.02477312088013,-9.127261757850647,5.68412,5.440000057220459,,,,,,,1051.7,6.964900662,1051.7,6.964900662,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Alejandro Kirk","TOR",125,495,437,121,83,22,0,16,61,60,50,2,58,4,3,1,,1,0,0.277186,0.100382,0.116419,0.862248,0.353418,0.435352,0.343325,0.78877,0.158165,2.40453,0.287504,-1.82365,-0.774255,70.596,12.1552,121.651,-2.59791,16.3466,10.02334976196289,25.071598052978516,5.33235,157.88999938964844,,,,,,,618.7,4.9496,618.7,4.9496,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
