Name, Position
Garrett Crochet, SP
Paul Skenes, SP
Tarik Skubal, SP
Bryan Woo, SP
Yoshinobu Yamamoto, SP
Max Fried, SP
Cristopher Sánchez, SP
Hunter Brown, SP
Shohei Ohtani, SP
Jacob deGrom, SP
Logan Gilbert, SP
Logan Webb, SP
Freddy Peralta, SP
Chris Sale, SP
Cole Ragans, SP
George Kirby, SP
Tyler Glasnow, SP
Joe Ryan, SP
Kyle Bradish, SP
Cam Schlittler, SP
Jesús Luzardo, SP
Eury Pérez, SP
Framber Valdez, SP
Sandy Alcantara, SP
Nolan McLean, SP
Ryan Pepiot, SP
Dylan Cease, SP
Bubba Chandler, SP
Kevin Gausman, SP
Michael King, SP
Nick Pivetta, SP
Shota Imanaga, SP
Drew Rasmussen, SP
Trevor Rogers, SP
Nathan Eovaldi, SP
Andrew Abbott, SP
Tatsuya Imai, SP
Robbie Ray, SP
Jacob Misiorowski, SP
Chase Burns, SP
Cade Horton, SP
Trey Yesavage, SP
MacKenzie Gore, SP
Kris Bubic, SP
Emmet Sheehan, SP
Zack Wheeler, SP
Nick Lodolo, SP
Edward Cabrera, SP
Sonny Gray, SP
Ranger Suárez, SP
Aaron Nola, SP
Matthew Boyd, SP
Zac Gallen, SP
Ryan Weathers, SP
Gavin Williams, SP
Shane Baz, SP
Shane McClanahan, SP
Kodai Senga, SP
Tanner Bibee, SP
Blake Snell, SP
Gerrit Cole, SP
Carlos Rodón, SP
Bryce Miller, SP
Brandon Woodruff, SP
Jared Jones, SP
Spencer Schwellenbach, SP
Hunter Greene, SP
Corbin Burnes, SP
Justin Steele, SP
Shane Bieber, SP
Noah Cameron, SP
Ryne Nelson, SP
Luis Castillo, SP
Merrill Kelly, SP
Zach Eflin, SP
Will Warren, SP
Spencer Strider, SP
Kyle Harrison, SP
Jack Flaherty, SP
Luis Gil, SP
Andrew Painter, SP
Grayson Rodriguez, SP
Mick Abel, SP
Parker Messick, SP
Braxton Ashcraft, SP
Mike Burrows, SP
Cody Ponce, SP
Anthony Kay, SP
Brayan Bello, SP
Ryan Weiss, SP
Justin Wrobleski, SP
Landen Roupp, SP
Matthew Liberatore, SP
Joey Cantillo, SP
Spencer Arrighetti, SP
Jack Leiter, SP
Dustin May, SP
Slade Cecconi, SP
Logan Henderson, SP
Joe Musgrove, SP
