Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",144.946,637.138,517.487,148.737,75.2361,24.1276,0.75659,48.6171,104.844,117.672,108.272,18.1647,159.095,5.97928,4.28101,0.517782,9.01819,8.05584,2.88253,0.287423,0.169935,0.249702,0.680551,0.413492,0.618817,0.426432,1.03231,0.331394,3.49277,0.318797,,-0.700295,133.932,58.6495,179.425,-0.700295,-2.34,58.94339329004288,-9.342221975326538,7.31846,1.850000023841858,,,,,,,1202.1,8.290344827,1202.1,8.290344827,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",150.13,624.588,539.571,126.553,59.2639,23.0617,0.48481,43.7427,87.6273,111.168,73.6122,6.8959,170.888,6.20119,4.40606,0.509529,6.44287,7.78006,2.29755,0.234544,0.117857,0.273601,0.430763,0.330827,0.52229,0.359329,0.853117,0.287746,3.50146,0.251439,,-0.257491,97.2659,23.466,138.604,-0.257491,14.95,28.160743236541748,21.711334705352783,7.30198,17.950000762939453,,,,,,,901.1,6.007333333,901.1,6.007333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.386,659.827,559.689,159.132,80.2983,26.4457,5.59408,46.7939,121.998,115.836,89.6192,13.4613,155.798,4.76864,3.63287,0.743889,8.50116,23.2334,10.6258,0.284322,0.135822,0.236119,0.575229,0.385459,0.602384,0.410202,0.987842,0.318062,6.23891,0.311418,,-0.769108,130.007,52.0431,167.096,-0.769108,0,51.701842963695526,-14.0076322555542,6.10262,1.2599999904632568,,,,,,,1179.7,7.970945945,1179.7,7.970945945,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.598,677.695,546.786,145.85,83.0294,24.8281,0.639909,37.3525,106.852,97.0783,121.808,8.88586,120.831,4.14924,3.86225,1.08884,13.7972,17.3882,5.71331,0.26674,0.179739,0.178297,1.00809,0.401722,0.519426,0.393198,0.921148,0.252686,4.06066,0.276451,,-0.183069,124.171,44.0964,158.239,-0.183069,-2.99,46.595266580581665,-10.342071771621704,6.016,4.599999904632568,,,,,,,1090.1,7.032903225,1090.1,7.032903225,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",151.433,660.363,599.618,170.816,101.341,36.2658,6.09284,27.1161,100.415,90.974,47.7318,5.00576,113.924,6.40484,5.74426,0.864281,6.88737,34.9842,9.94776,0.284874,0.0722812,0.172517,0.418979,0.341096,0.501345,0.35737,0.842441,0.216471,7.11572,0.309482,,1.92969,101.787,23.7596,127.706,1.92969,3.65,23.49372947216034,10.660787105560303,5.81986,3.0999999046325684,,,,,,,950.5,6.294701986,950.5,6.294701986,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",151.614,659.957,598.464,165.639,103.853,28.2183,3.86412,29.7035,96.1927,90.6873,47.8535,3.64245,148.038,9.22317,3.85929,0.55705,11.2094,25.2651,7.14229,0.276773,0.0725101,0.224314,0.323253,0.337755,0.485736,0.352022,0.823491,0.208963,6.09783,0.320162,,1.08978,98.8582,20.8792,133.57,1.08978,0.52,27.201632142066956,2.668724298477173,5.3801,9.550000190734863,,,,,,,916.5,6.029605263,916.5,6.029605263,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.559,659.356,582.779,156.842,92.6811,33.1793,3.85591,27.1258,96.7398,82.8728,64.985,3.18263,141.976,5.70074,5.35605,0.534769,11.9736,20.3543,5.23328,0.269128,0.0985583,0.215325,0.457719,0.345356,0.47893,0.353166,0.824286,0.209802,5.85173,0.309561,,0.870249,99.3805,21.4725,129.271,0.870249,-1.33,23.61738234758377,5.732916712760925,5.32478,12.3100004196167,,,,,,,905.5,5.918300653,905.5,5.918300653,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"José Ramírez","CLE",150.578,648.708,576.232,159.646,93.7581,33.4522,3.14599,29.2892,94.2068,89.7058,61.204,14.9241,74.0847,4.47771,5.89428,0.713058,7.04622,32.7645,10.4712,0.277051,0.0943475,0.114203,0.826135,0.34783,0.49851,0.354736,0.84634,0.221459,5.92335,0.272283,,1.31072,98.6027,21.9529,130.093,1.31072,0.6,24.318922519683838,1.198900580406189,4.89517,6,,,,,,,935.1,6.192715231,935.1,6.192715231,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",124.044,531.925,459.108,126.734,74.7937,23.7812,0.7827,27.3763,70.8037,83.4471,59.4056,8.5175,98.2908,4.65741,4.32853,0.49272,10.4012,1.8424,0.720288,0.276044,0.11168,0.184783,0.604386,0.361701,0.510141,0.368683,0.871842,0.234097,2.64529,0.294159,,-0.786948,86.8753,24.0243,139.921,-0.786948,-0.09,24.241152703762054,3.998479515314102,4.7624,95.48999786376953,,,,,,,774.3,6.244354838,774.3,6.244354838,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Francisco Lindor","NYM",141.995,626.227,552.183,143.25,87.4655,27.0685,1.60858,27.1071,87.8276,80.0358,53.3256,1.07521,116.977,9.60352,4.54887,0.694381,9.35886,22.2526,6.23657,0.259424,0.0851538,0.186797,0.455862,0.332728,0.461543,0.342573,0.794271,0.202119,5.51662,0.281457,,0.91078,89.0018,15.0082,123.56,0.91078,1.02,18.397258520126343,7.122599124908447,4.74265,26.239999771118164,,,,,,,806.3,5.678169014,806.3,5.678169014,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
