Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",14.0218,7.99517,14.1676,2.8,29.806,29.806,0,0,,184.275,734.548,141.731,61.4,57.33,15.0769,45.6668,0.452147,6.54045,216.051,10.5519,2.23037,4.73103,0.736358,0.294127,0.0621698,0.2319575995206833,0.207713,1.01695,0.280697,0.757699,,,2.70382,6.02979,5.71467,9.869999885559082,,,,,,,1080.9,5.874456521739131,998,5.423913043478261,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.4833,7.72352,15.0884,2.80996,29.374,29.374,0,0,,188.17,740.815,142.348,63.21,58.75,19.518,38.8772,0.492475,6.07368,227.389,10.8758,1.85946,5.84889,0.93353,0.306944,0.052479,0.2544649876654148,0.204563,0.963092,0.273589,0.76683,,,2.78338,5.99544,5.77452,6.880000114440918,,,,,,,1095,5.824468085106383,999,5.3138297872340425,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.4839,8.19513,14.5253,3.1502,29.263,29.263,0,0,,183.131,735.634,146.853,68.8,64.1,20.5402,45.2648,0.529424,5.23783,222.01,10.9107,2.22455,4.90469,1.00945,0.301794,0.0615317,0.24026216566562653,0.214343,1.04907,0.2854,0.754876,,,2.99595,5.21523,4.70363,11.869999885559082,,,,,,,1007.7,5.50655737704918,936,5.114754098360656,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.4724,8.98679,15.9619,3.36008,29.882,29.882,0,0,,192.772,792.224,179.702,77.25,71.97,15.3543,45.733,0.837138,6.16223,184.3,8.60448,2.13515,4.02991,0.716849,0.232636,0.0577274,0.17490903288125992,0.242733,1.16944,0.303969,0.726615,,,3.0661,5.01337,4.47817,58.5099983215332,,,,,,,987.7,5.117616580310881,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",13.7861,8.13558,15.2704,3.28978,29.244,29.244,0,0,,186.879,763.742,168.065,73.79,68.31,16.0748,46.3063,0.478806,5.69869,182.63,8.79539,2.23009,3.94396,0.774154,0.239126,0.0606309,0.1784949116408825,0.236133,1.14711,0.296258,0.732703,,,3.13367,4.67395,4.40818,25.75,,,,,,,960.2,5.13475935828877,937,5.010695187165775,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA",13.3012,8.31543,14.5859,3.30017,29.253,29.253,0,0,,182.854,728.997,149.485,71.64,67.05,23.4938,34.7997,0.48952,6.69578,185.58,9.13419,1.71283,5.33281,1.15636,0.254569,0.0477364,0.20683301240205765,0.217433,1.00783,0.263346,0.744054,,,3.45641,4.41476,4.35888,35.040000915527344,,,,,,,929.9000000000002,5.081420765027324,862,4.7103825136612025,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Logan Gilbert","SEA",11.6818,8.17791,12.2711,3.40977,27.901,27.901,0,0,,164.36,659.943,133.18,66.62,62.27,21.4304,37.9075,0.515052,5.16754,192.859,10.5605,2.07573,5.08761,1.17348,0.292235,0.0574405,0.2347944676876068,0.215896,1.04093,0.277583,0.740457,,,3.26962,4.15754,3.62085,36.650001525878906,,,,,,,866.5000000000002,5.283536585365855,804,4.902439024390244,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Chris Sale","ATL",10.6992,7.82544,12.3618,3.61987,25.493,25.493,0,0,,156.188,644.378,132.263,67.34,62.82,17.655,44.1822,0.412401,8.27913,192.243,11.0776,2.5459,4.35115,1.01733,0.29834,0.0685656,0.22977392375469208,0.223449,1.1297,0.300008,0.719084,,,3.15058,4.05672,3.08612,39.349998474121094,,,,,,,817.8,5.242307692307692,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.7558,7.821,11.4259,3.35996,26.092,26.092,0,0,,153.591,631.824,120.036,61.24,57.34,16.888,54.777,0.506885,4.93933,192.728,11.2933,3.20978,3.5184,0.98959,0.305033,0.0866966,0.21833675354719162,0.209814,1.13818,0.284553,0.751295,,,3.22133,4.04062,3.6157,47.27000045776367,,,,,,,824.5000000000002,5.353896103896106,755,4.902597402597403,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",13.0261,6.19285,12.334,3.26022,26.41,26.41,0,0,,160.333,654.571,131.742,62.3,58.08,15.2218,48.8904,0.385923,5.2529,174.843,9.81451,2.74437,3.57623,0.854447,0.267111,0.0746907,0.19242074340581894,0.219413,1.12661,0.283944,0.742725,,,3.20141,4.0115,3.91685,26.75,,,,,,,844.3,5.2768749999999995,793,4.95625,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
