Name, Target
Juan Soto, True
Bobby Witt Jr., True
Jose Ramirez, True
JJ Wetherholt, True
Marcelo Mayer, True
Luis Robert, True
vladimir Guerrero Jr., True
Brent Rooker, True
Ivan Herrera, True
Zac Veen, True
Zach Neto, True
Gunnar Henderson, True
Byron Buxton, True
Brandon Nimmo, True
Drew Rasmussen, True
Michael King, True
Kyle Bradish, True
Mike Trout, True
Jeremiah Estrada, True
Sandy Alcantara, True
aaron nola, True
Zac Gallen, True
Cam Schlitter, True
dylan cease, True
Kodai Senga, True
Connelly Early, True
Seiya Suzuki, True
Ian Happ, True
Willi Castro, True
Matthew Liberatore, True
Sal Stewart, True
Bubba Chandler, True
Matt Chapman, True
Corey Seager, True
Dansby Swanson, True
Kevin Mcgonnigal, True
Konnor Griffin, True
Drake Baldwin, True
Carter Jensen, True

