Tier,Pos_Tier,Primary_Pos,Name,Profile,Draft_Day_Inflation_Value,Target
1,SP 1,SP,Tarik Skubal,WHIP Specialist,90.26,False
1,SP 1,SP,Paul Skenes,ERA Specialist,78.84,False
1,OF 1,OF,Aaron Judge,OBP Specialist,76.22,False
1,OF 1,OF,Juan Soto,OBP Specialist,75.25,True
1,SP 7,SP,Shohei Ohtani,OBP Specialist,74.21,False
1,SP 1,SP,Garrett Crochet,ERA Specialist,67.35,False
1,SP 2,SP,Bryan Woo,WHIP Specialist,56.16,False
1,OF 2,OF,Ronald Acuña Jr.,OBP Specialist,50.65,False
2,SP 2,SP,Cristopher Sánchez,ERA Specialist,49.45,False
2,SP 2,SP,Chris Sale,WHIP Specialist,46.64,False
2,SP 2,SP,Logan Gilbert,WHIP Specialist,45.78,False
2,SP 2,SP,Logan Webb,ERA Specialist,45.62,False
2,OF 2,OF,Kyle Tucker,OBP Specialist,44.81,False
2,SP 2,SP,Yoshinobu Yamamoto,ERA Specialist,42.62,False
2,3B 1,3B,José Ramírez,SB Specialist,42.61,True
2,SP 2,SP,Max Fried,ERA Specialist,41.63,False
2,SP 2,SP,Jacob deGrom,WHIP Specialist,41.28,False
2,OF 3,OF,Fernando Tatis Jr.,OBP Specialist,39.0,False
2,OF 3,OF,Kyle Schwarber,HR Specialist,38.7,False
2,SP 3,SP,Hunter Brown,QS+W Specialist,37.74,False
2,SS 2,SS,Bobby Witt Jr.,SB Specialist,36.13,True
2,C 1,C,Cal Raleigh,HR Specialist,34.35,False
3,SP 3,SP,George Kirby,WHIP Specialist,33.8,False
2,OF 3,OF,Corbin Carroll,SB Specialist,33.79,False
3,SP 3,SP,Joe Ryan,WHIP Specialist,33.63,False
2,OF 3,OF,Julio Rodríguez,SB Specialist,33.61,False
2,1B 1,1B,Vladimir Guerrero Jr.,OBP Specialist,33.59,True
3,SP 3,SP,Jesús Luzardo,QS+W Specialist,33.53,False
3,SP 3,SP,Cole Ragans,ERA Specialist,33.16,False
3,SP 3,SP,Framber Valdez,QS+W Specialist,31.72,False
3,2B 1,2B,Ketel Marte,OBP Specialist,30.23,False
3,OF 4,OF,Yordan Alvarez,OBP Specialist,30.2,False
3,SP 4,SP,Zack Wheeler,WHIP Specialist,29.7,False
3,RP 1,RP,Mason Miller,SV+HLD Specialist,28.76,False
3,3B 3,3B,Rafael Devers,OBP Specialist,28.67,False
3,SS 2,SS,Elly De La Cruz,SB Specialist,28.2,False
3,SS 2,SS,Gunnar Henderson,OBP Specialist,27.15,True
4,SP 4,SP,Nathan Eovaldi,WHIP Specialist,26.48,False
3,3B 3,3B,Jazz Chisholm Jr.,SB Specialist,25.5,False
4,SP 4,SP,Nick Pivetta,WHIP Specialist,24.64,False
3,OF 4,OF,Brent Rooker,HR Specialist,24.36,True
4,OF 4,OF,Wyatt Langford,Balanced,24.13,False
4,SP 4,SP,Sonny Gray,QS+W Specialist,24.07,False
4,RP 2,RP,Cade Smith,SV+HLD Specialist,23.49,False
4,SP 4,SP,Freddy Peralta,K Specialist,23.29,False
4,3B 4,3B,Junior Caminero,HR Specialist,23.06,False
4,RP 2,RP,Edwin Díaz,SV+HLD Specialist,22.84,False
4,OF 4,OF,James Wood,OBP Specialist,22.84,False
4,SP 4,SP,Brandon Woodruff,WHIP Specialist,22.45,False
4,1B 2,1B,Bryce Harper,OBP Specialist,22.27,False
4,SP 4,SP,Dylan Cease,K Specialist,22.05,True
4,C 2,C,William Contreras,OBP Specialist,21.77,False
4,SP 4,SP,Kevin Gausman,QS+W Specialist,21.32,False
4,DH 3,DH,Marcell Ozuna,Balanced,20.68,False
4,SS 3,SS,Mookie Betts,OBP Specialist,20.5,False
4,SP 5,SP,Drew Rasmussen,WHIP Specialist,20.34,True
4,SP 5,SP,Luis Castillo,QS+W Specialist,19.81,False
4,OF 5,OF,Randy Arozarena,Balanced,19.61,False
4,RP 2,RP,Jhoan Duran,SV+HLD Specialist,18.9,False
4,OF 5,OF,Roman Anthony,OBP Specialist,18.25,False
5,RP 3,RP,Andrés Muñoz,SV+HLD Specialist,17.9,False
4,1B 3,1B,Freddie Freeman,OBP Specialist,17.43,False
4,1B 3,1B,Nick Kurtz,HR Specialist,17.38,False
4,OF 5,OF,Jackson Chourio,Balanced,16.99,False
5,SP 5,SP,Ranger Suarez,QS+W Specialist,16.87,False
4,2B 3,2B,Brice Turang,SB Specialist,16.86,False
5,SP 5,SP,Shota Imanaga,WHIP Specialist,16.73,False
5,C 3,C,Iván Herrera,OBP Specialist,16.44,True
5,SP 5,SP,Blake Snell,ERA Specialist,16.23,False
5,1B 4,1B,Pete Alonso,HR Specialist,16.22,False
5,OF 5,OF,George Springer,Balanced,16.01,False
5,C 4,C,Willson Contreras,Balanced,15.87,False
5,SS 4,SS,Francisco Lindor,R Specialist,15.66,False
5,2B 3,2B,Maikel Garcia,SB Specialist,15.58,False
