Overall_Rank,Tier,Pos_Rank,Pos_Tier,Primary_Pos,Name,Team,Pos,PlayerId,R,HR,RBI,SB,OBP,QS+W,SV+HLD,K,ERA,WHIP,True_Value_Uninflated,Market_Value,Bargain_Value,ROI_Percent,Profile,Draft_Day_Inflation_Value,Total_Z,Target,R_Z,HR_Z,RBI_Z,SB_Z,Impact_OBP_Z,QS+W_Z,SV+HLD_Z,K_Z,Impact_ERA_Z,Impact_WHIP_Z
1,1,1,SP 1,SP,Tarik Skubal,DET,SP,22267,61.67,18.31,,,,32.116,0.0,228.353,2.714,0.97,83.41,74.21,16.05,21.6,WHIP Specialist,90.26,23.403777044899115,False,,,,,,3.908363302973039,-0.6211034172977374,3.8312431119278525,7.5027349295686845,7.930796817431352
2,1,2,SP 1,SP,Paul Skenes,PIT,SP,33677,61.333,15.227,,,,29.514,0.0,221.243,2.756,1.028,74.09,50.65,28.19,55.7,ERA Specialist,78.84,21.028746898135367,False,,,,,,3.5263690163173185,-0.6211034172977374,3.6742319936703596,7.130030077574388,6.345039878574575
3,1,1,OF 1,OF,Aaron Judge,NYY,OF/DH,15640,107.507,46.585,111.948,8.804,0.422,,,157.016,,,76.22,90.26,-14.04,-15.6,OBP Specialist,76.22,18.01970986309979,False,2.593258680475963,4.142820909580461,2.836045018262725,0.3187024904488224,7.579237206509768,,,,,
4,1,2,OF 1,OF,Juan Soto,NYM,OF,20123,109.122,38.628,99.271,21.434,0.409,,,121.576,,,75.25,76.22,-0.97,-1.3,OBP Specialist,75.25,17.850889676009302,True,2.651830368888708,3.2563200590592922,2.3714306934244433,1.6231974641027778,7.118029874675238,,,,,
5,1,3,SP 7,SP,Shohei Ohtani,LAD,SP,19755,121.416,46.299,109.173,24.011,0.386,,,159.383,,,74.21,13.67,60.54,442.9,OBP Specialist,74.21,17.572117866296153,False,3.097700546812103,4.110969979230849,2.734339165726894,1.8893281801045942,5.215280646577592,,,,,
6,1,4,SP 1,SP,Garrett Crochet,BOS,SP,27463,67.333,19.553,,,,30.53,0.0,225.031,3.044,1.061,64.71,45.78,21.57,47.1,ERA Specialist,67.35,18.638623544644464,False,,,,,,3.6755788825626103,-0.6211034172977374,3.757882924185041,5.608795808736367,5.5134960789387755
7,1,5,SP 2,SP,Bryan Woo,SEA,SP,30279,75.236,24.064,,,,28.697,0.0,184.708,3.407,1.032,50.9,28.76,27.4,95.3,WHIP Specialist,56.16,16.3117287020726,False,,,,,,3.4065489722112505,-0.6211034172977374,2.8674245104723988,3.7474387469267425,6.19871133191316
8,1,3,OF 2,OF,Ronald Acuña Jr.,ATL,OF,18401,105.639,28.388,77.226,24.906,0.385,,,134.37,,,50.65,67.35,-16.7,-24.8,OBP Specialist,50.65,13.571993106123934,False,2.5255113653335437,2.115591076121843,1.563439085046357,1.981842843739938,4.89864532421216,,,,,
9,2,6,SP 2,SP,Cristopher Sánchez,PHI,SP,20778,72.003,16.072,,,,28.437,0.0,181.598,3.19,1.144,39.76,33.61,15.84,47.1,ERA Specialist,49.45,14.916171472467708,False,,,,,,3.368336331337924,-0.6211034172977374,2.7987459481966184,4.961668035523723,3.5885942930753405
10,2,7,SP 2,SP,Chris Sale,ATL,SP,10603,59.974,16.576,,,,24.987,0.0,192.409,3.179,1.084,44.59,26.48,20.16,76.1,WHIP Specialist,46.64,14.332088150004568,False,,,,,,2.8618096464768894,-0.6211034172977374,3.0374867638761893,4.194122974886252,4.22801124839857
11,2,8,SP 2,SP,Logan Gilbert,SEA,SP,22250,68.023,21.616,,,,23.619,0.0,183.996,3.427,1.043,46.14,27.15,18.63,68.6,WHIP Specialist,45.78,14.15176348530418,False,,,,,,2.661072169987502,-0.6211034172977374,2.8517013155076545,3.276691110395357,5.335859166666118
12,2,9,SP 2,SP,Logan Webb,SFG,SP,17995,76.816,15.324,,,,30.103,0.176,182.846,3.299,1.173,40.79,22.84,22.78,99.7,ERA Specialist,45.62,14.119692834548912,False,,,,,,3.6128355759576936,-0.5983217927125787,2.826305705662912,4.52949851507433,2.9523646828538106
