Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,K,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,norm_name,Impact_AVG,Impact_OBP,R_Z,HR_Z,RBI_Z,SB_Z,Impact_OBP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Aaron Judge,NYY,144.946,637.138,511.871,148.508,76.2222,24.6921,1.00821,46.5852,107.507,111.948,113.929,10.08,157.016,6.08975,4.73416,0.514365,9.86611,8.80426,2.56624,0.290127,0.178813,0.24644,0.725586,0.421797,0.615334,0.432357,1.03713,0.325207,3.7005,0.325627,-0.958136,-0.51904,136.997,61.7145,181.714,-1.47718,0.79864,60.05706822872162,-6.203563928604126,7.7161,1.850000023841858,4.17744,0.755537,1.48197,4.17744,-0.755537,3.02404,1211.1,8.352413793,1211.1,8.352413793,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450,OF/DH,Aaron Judge,23.03696465258941,67.4067816110237,2.593258680475963,4.142820909580461,2.836045018262725,0.3187024904488224,7.579237206509768,18.01970986309979,4.93721430821242,13.082495554887371,76.22,76.22,False,1,OF,OF 1
Bobby Witt Jr.,KCR,151.433,660.363,598.977,174.424,102.956,36.72,6.25772,28.49,100.241,92.0409,48.1526,5.74819,113.119,6.54715,5.99653,0.689998,6.16265,33.884,9.28405,0.291203,0.0729183,0.171298,0.42568,0.347329,0.516096,0.365227,0.863425,0.224893,6.99924,0.314944,1.31972,1.97198,105.999,27.9721,135.6,3.2917,4.97774,31.077025175094604,11.988534450531006,6.69278,3.0999999046325684,3.16688,0.257482,0.669219,3.16688,-0.257482,4.10771,984.5,6.519867549,984.5,6.519867549,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951,SS,Bobby Witt Jr.,27.60170522130484,20.68798655715474,2.329740483567602,2.1269099097123307,2.10643472023892,2.909127532496248,2.3261629422775805,12.342888547513718,6.2323935944793165,6.110494953034402,36.13,36.13,True,2,SS,SS 2
Shohei Ohtani,LAD,148.386,659.827,558.89,158.223,79.6194,27.19,5.11473,46.2993,121.416,109.173,91.7757,10.0296,159.383,4.52467,3.69272,0.944318,7.36547,24.0106,7.02655,0.283103,0.139091,0.241552,0.575819,0.386296,0.598581,0.410764,0.984877,0.315478,6.47473,0.313601,0.415744,0.829473,130.308,52.3441,166.881,1.24522,0.0,53.40271079540253,-14.007638931274414,6.31539,1.2599999904632568,4.30732,-0.997778,0.964152,4.30732,0.997778,3.71446,1182.0,7.986486486,1182.0,7.986486486,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271,SP,Shohei Ohtani,21.227430704921996,46.38267334899002,3.097700546812103,4.110969979230849,2.734339165726894,1.8893281801045942,5.215280646577592,17.572117866296153,4.8385671445016785,12.733550721794476,74.21,74.21,False,1,SP,SP 7
Juan Soto,NYM,154.598,677.695,543.893,148.661,84.1602,24.867,1.0055,38.6278,109.122,99.2712,124.62,8.88129,121.576,3.64906,4.24422,1.2884,12.579,21.434,5.39333,0.273327,0.183889,0.179396,1.02504,0.409413,0.535808,0.402017,0.945221,0.262481,4.60608,0.283638,-0.908541,0.734382,129.024,48.9492,160.873,-0.17416,-6.56797,48.583340018987656,-13.920023918151855,5.89314,4.599999904632568,1.00144,-0.40592,0.729247,1.00144,0.40592,4.02767,1148.1,7.407096774,1148.1,7.407096774,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742,OF,Juan Soto,15.340725518539639,63.30498336308506,2.651830368888708,3.2563200590592922,2.3714306934244433,1.6231974641027778,7.118029874675238,17.850889676009302,4.93721430821242,12.913675367796882,75.25,75.25,True,1,OF,OF 1
Gunnar Henderson,BAL,152.559,659.356,581.336,156.799,93.4652,32.8195,4.19767,26.3165,96.906,82.5412,67.2015,3.52165,140.013,5.88665,4.34911,0.582216,9.24177,23.9314,5.05798,0.269721,0.10192,0.212348,0.479968,0.348962,0.476425,0.354239,0.825387,0.206704,6.08521,0.311149,0.810741,1.63867,99.955,22.047,130.01,2.44941,-0.400245,25.77101254463196,6.662692606449127,5.64025,12.3100004196167,2.14217,1.11904,0.439322,2.14217,-1.11904,4.41424,911.7,5.958823529,911.7,5.958823529,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002,SS,Gunnar Henderson,14.300523100658902,21.733167404063586,2.2087890403128014,1.8847693111992792,1.7582635175958066,1.8811478056936095,2.4436833663817246,10.779840640086702,6.2323935944793165,4.547447045607385,27.15,27.15,True,3,SS,SS 2
Julio Rodríguez,SEA,151.614,659.957,599.956,162.937,102.012,28.1473,2.9873,29.7899,94.3823,91.2708,47.2543,3.93081,145.655,8.86419,3.40173,0.480255,10.5369,28.0997,6.51966,0.271581,0.0716021,0.220703,0.324427,0.332165,0.477415,0.34634,0.809581,0.205834,6.04264,0.311154,-0.182009,1.93204,95.8137,17.8348,129.656,1.75004,4.61052,24.81745219230652,6.759247064590454,5.55468,9.550000190734863,2.09756,-1.08159,0.270813,2.09756,1.08159,4.63892,894.7,5.88618421,894.7,5.88618421,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594,OF,Julio Rodriguez,15.87448229051819,10.667679358466543,2.1172612570018146,2.2717263642819727,2.0782099717568143,2.3116813240939704,1.1994768236729358,10.609519632258014,4.93721430821242,5.672305324045594,33.61,33.61,False,2,OF,OF 3
Cal Raleigh,SEA,150.13,624.588,538.991,123.773,61.0935,22.5578,0.297751,39.8235,86.2968,101.362,75.5167,8.65411,168.554,5.67394,3.89723,0.509339,5.72546,8.02471,2.29524,0.229638,0.120906,0.269864,0.448027,0.328425,0.494251,0.347875,0.822676,0.264613,3.34378,0.250961,-1.38248,-0.217179,91.4575,17.6576,130.714,-1.59966,3.25178,21.01016080379486,10.01312494277954,5.37351,17.950000762939453,2.5769,1.1138,1.76869,2.5769,-1.1138,2.64175,853.7,5.691333333,853.7,5.691333333,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728,C,Cal Raleigh,-8.345515204402892,7.760008519021808,1.8240220082951601,3.3895280248481385,2.448060097562071,0.23818467640736635,0.8725375086085456,9.275530849542255,3.475655594645327,5.799875254896929,34.35,34.35,False,2,C,C 1
José Ramírez,CLE,150.578,648.708,574.71,157.014,93.5045,32.9517,2.89239,27.6659,91.7865,88.6309,63.7363,10.08,74.2129,4.47434,5.54601,0.241198,6.73427,33.1873,8.04209,0.273206,0.0982511,0.114401,0.858831,0.347319,0.485025,0.352522,0.832344,0.211818,6.01216,0.27039,-0.254642,2.34304,97.4367,20.7869,128.568,2.08839,0.462692,23.93061470985413,1.0615922212600708,4.8414,6.0,2.87142,-1.06995,0.555249,2.87142,1.06995,4.25967,924.5,6.122516556,924.5,6.122516556,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070,3B/DH,Jose Ramirez,16.1403917544265,20.316369263433433,2.023118601409367,2.035100354969011,1.9814556365822766,2.8371670924440604,2.284378190775747,11.669852631555202,4.432236963281538,7.237615668273664,42.61,42.61,True,2,3B,3B 1
Fernando Tatis Jr.,SDP,148.434,645.925,565.422,152.449,93.3581,28.1789,2.4446,28.4674,98.0398,80.8973,70.7144,3.4535,127.999,6.09434,3.0239,0.669995,10.511,25.6142,6.01932,0.26962,0.109478,0.198165,0.552458,0.355298,0.479145,0.359056,0.834443,0.209526,5.8585,0.300941,0.217123,1.55725,100.445,24.1241,131.36,1.77437,5.60178,25.715744018554688,-1.4610400199890137,4.7182,14.149999618530272,2.36237,-0.228491,0.471988,2.36237,0.228491,4.37068,905.6,6.118918918,905.6,6.118918918,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487,OF,Fernando Tatis Jr.,13.851940454535377,25.383046277632378,2.249908904289501,2.124392137673502,1.6980133370611563,2.054960104415901,2.8540767585101285,11.54627436225936,4.93721430821242,6.609060054046941,39.0,39.0,False,2,OF,OF 3
Ketel Marte,ARI,139.98,611.993,532.572,146.777,86.6072,29.4788,2.42866,28.262,88.0643,86.0661,67.1612,5.12233,99.4306,6.76339,4.90787,0.58839,11.4244,5.24288,1.63331,0.2756,0.109742,0.16247,0.675458,0.360974,0.499273,0.367059,0.860248,0.223674,4.10512,0.28921,-0.00133601,-0.646257,99.1451,26.8334,136.048,-0.647593,0.144701,25.499480307102203,0.2159163653850555,4.71421,32.25,3.23099,0.629526,0.885498,3.23099,-0.629526,3.81934,874.8,6.248571428,874.8,6.248571428,,,,,,,,,,,,,,,,,,,Ketel Marte,13613,606466,2B/DH,Ketel Marte,16.23194821840878,27.523285830854945,1.888124459855238,2.1015093776391884,1.8874537733087988,-0.04914374464958203,3.094725887053828,9.373558022516958,4.290443792376481,5.0831142301404775,30.23,30.23,False,3,2B,2B 1
