Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,K,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,QS+W,SV+HLD,Impact_ERA,Impact_WHIP,QS+W_Z,SV+HLD_Z,K_Z,Impact_ERA_Z,Impact_WHIP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Tarik Skubal,DET,14.13,6.58295,17.9858,2.71365,29.374,29.374,0.0,0.0,0.0,188.17,736.482,144.001,61.6701,56.7365,18.3102,38.5156,0.651271,6.39052,228.353,10.9219,1.84217,5.92883,0.875759,0.310059,0.0522968,0.2577619701623916,0.208222,0.969958,0.282507,0.770301,,,2.68897,5.87851,5.79059,6.880000114440918,3.77101,-1.23725,2.03487,3.77101,1.23725,2.28685,1116.4,5.938297872340426,1027,5.462765957446808,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373,SP,32.1158,0.0,29.82105253853079,60.143848187690885,3.908363302973039,-0.6211034172977374,3.8312431119278525,7.5027349295686845,7.930796817431352,23.403777044899115,4.8385671445016785,18.565209900397438,83.41,90.26,False,1,SP,SP 1
Paul Skenes,PIT,12.0727,7.79093,17.441,2.75585,29.8062,29.8062,0.0,0.0,0.0,184.275,732.193,143.612,61.3328,56.4262,15.2274,45.9074,0.836632,6.431,221.243,10.8055,2.24211,4.81933,0.743703,0.302165,0.0626985,0.2394662126898765,0.21124,1.02846,0.289557,0.762104,,,2.66022,5.66255,5.95013,9.869999885559082,2.03257,-0.455226,1.78301,2.03257,0.455226,2.62265,1088.7000000000005,5.916847826086958,1011,5.494565217391305,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973,SP,29.5137,0.0,28.33966594057374,48.11813037033931,3.5263690163173185,-0.6211034172977374,3.6742319936703596,7.130030077574388,6.345039878574575,21.028746898135367,4.8385671445016785,16.19017975363369,74.09,78.84,False,1,SP,SP 1
Garrett Crochet,BOS,13.9167,8.00129,16.6134,3.04436,29.2626,29.2626,0.0,0.0,0.712044,183.131,732.417,146.872,67.3331,61.9464,19.5526,47.4782,1.81126,5.1543,225.031,11.0591,2.33332,4.73966,0.960914,0.307244,0.064824,0.2424199134111404,0.216057,1.06126,0.292553,0.760689,,,2.92774,5.08689,5.13163,11.869999885559082,4.67918,-1.5055,1.4763,4.67918,1.5055,3.0316,1020.0,5.573770491803279,949,5.185792349726776,,,,,,,,,,,,,,,,,,,Garrett Crochet,27463,676979,SP,30.530099999999997,0.0,22.29322987688623,41.81204975851634,3.6755788825626103,-0.6211034172977374,3.757882924185041,5.608795808736367,5.5134960789387755,18.638623544644464,4.8385671445016785,13.800056400142786,64.71,67.35,False,1,SP,SP 1
Logan Webb,SFG,13.2254,9.41404,16.8773,3.29943,29.8821,29.8821,0.0,0.176178,0.0,192.772,792.95,181.922,76.8164,70.6711,15.324,44.2836,0.891884,5.77661,182.846,8.53656,2.06748,4.12898,0.715433,0.23059,0.0558467,0.1747428961098194,0.244884,1.17343,0.305841,0.72961,,,3.05058,4.83443,4.47817,58.5099983215332,4.08195,-0.667813,1.15077,4.08195,0.667813,3.46564,986.5,5.11139896373057,986,5.108808290155441,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277,SP,30.102700000000002,0.176178,18.003356703819193,22.389499739796705,3.6128355759576936,-0.5983217927125787,2.826305705662912,4.52949851507433,2.9523646828538106,14.119692834548912,4.8385671445016785,9.281125690047233,40.79,45.62,False,2,SP,SP 2
Cristopher Sánchez,PHI,11.913,7.49325,16.5242,3.1902,29.2445,29.2445,0.0,0.0,0.0,186.879,763.47,167.718,72.0028,66.2426,16.0722,46.0632,2.17065,5.87057,181.598,8.74567,2.21838,3.94237,0.774027,0.237859,0.060334,0.1775249987840652,0.235712,1.14395,0.295107,0.741208,,,3.14339,4.55234,4.87257,25.75,3.30356,-0.568924,1.12081,3.30356,0.568924,3.50558,958.2,5.124064171122995,935,5.0,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911,SP,28.4372,0.0,19.72109698064567,27.214399175572552,3.368336331337924,-0.6211034172977374,2.7987459481966184,4.961668035523723,3.5885942930753405,14.916171472467708,4.8385671445016785,10.077604327966029,39.76,49.45,False,2,SP,SP 2
Chris Sale,ATL,11.0998,6.25278,13.887,3.17937,25.4929,25.4929,0.0,0.0,0.0,156.188,633.357,128.316,59.9735,55.1756,16.5755,41.0376,0.658559,8.90971,192.409,11.0871,2.3647,4.6886,0.955126,0.303792,0.0647938,0.2389982715249061,0.219942,1.08429,0.298433,0.748421,,,3.01033,3.88133,3.9898,39.349998474121094,3.15961,-0.256831,1.12096,3.15961,0.256831,3.50538,846.5000000000002,5.426282051282053,793,5.083333333333333,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242,SP,24.986800000000002,0.0,16.670342583238796,32.063470104368754,2.8618096464768894,-0.6211034172977374,3.0374867638761893,4.194122974886252,4.22801124839857,14.332088150004568,4.8385671445016785,9.493521005502888,44.59,46.64,False,2,SP,SP 2
Yoshinobu Yamamoto,LAD,12.1748,6.75124,13.7294,3.2472,26.41,26.41,0.0,0.0,0.0,160.333,650.057,130.274,62.8783,57.8481,15.7327,47.2382,0.727526,4.95763,174.583,9.79993,2.65163,3.69581,0.883129,0.268566,0.0726677,0.1958985403180122,0.217901,1.10715,0.281053,0.737261,,,3.20965,3.7746,3.80289,26.75,3.50338,-0.583507,1.0362,3.50338,0.583507,3.6184,843.2,5.2700000000000005,786,4.9125,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,808967,SP,25.9042,0.0,15.9045283209877,29.250183160318024,2.9964860841917953,-0.6211034172977374,2.643832728143691,4.0014503182947605,3.857040520473564,13.496192374716937,4.8385671445016785,8.65762523021526,43.06,42.62,False,2,SP,SP 2
Cole Ragans,KCR,10.195,7.89242,12.913,3.42467,26.0919,26.0919,0.0,0.0,0.0,153.591,627.888,121.921,63.5265,58.4444,16.5837,54.0698,1.74949,4.94744,190.655,11.1718,3.16834,3.52609,0.971759,0.303645,0.0861137,0.2175311893224716,0.214321,1.14584,0.291283,0.73615,,,3.2089,3.76074,3.28013,47.27000045776367,3.49759,-0.583816,0.921543,3.49759,0.583816,3.77128,818.3000000000002,5.313636363636364,754,4.896103896103896,,,,,,,,,,,,,,,,,,,Cole Ragans,21846,666142,SP,23.108,0.0,12.20693151908106,22.077228365816207,2.585997469478016,-0.6211034172977374,2.998752938078209,3.0711649554531317,2.911187390519425,11.527531328704981,4.8385671445016785,6.688964184203303,35.67,33.16,False,3,SP,SP 3
Framber Valdez,DET,12.8722,9.61922,15.8846,3.48747,28.6901,28.6901,0.0,0.0,0.0,186.061,776.722,165.965,78.3673,72.0979,15.7951,61.2185,0.721689,8.10165,173.536,8.39417,2.96121,2.83471,0.76403,0.223421,0.0788165,0.1446049809455871,0.234612,1.22102,0.289863,0.725683,,,3.49106,3.64137,3.78107,83.2300033569336,3.66232,-2.13457,1.13711,3.66232,2.13457,3.48385,889.0000000000001,4.779569892473119,863,4.639784946236559,,,,,,,,,,,,,,,,,,,Framber Valdez,17295,664285,SP,28.7568,0.0,13.489519795246737,12.757221954881011,3.415254349098643,-0.6211034172977374,2.620711681615478,3.3938537622083613,1.6822158596054422,11.228971954814815,4.8385671445016785,6.390404810313137,30.6,31.72,False,3,SP,SP 3
Jesús Luzardo,PHI,11.979,9.14089,14.4458,3.64564,29.2384,29.2384,0.0,0.0,0.0,175.256,718.94,149.938,77.164,70.9909,21.4299,53.8551,0.819171,5.15376,193.344,9.92892,2.76565,3.59008,1.1005,0.26893,0.074909,0.1940205171704292,0.227202,1.16283,0.288679,0.728627,,,3.52843,3.61527,3.49054,72.45999908447266,2.9225,-0.687304,1.01638,2.9225,0.687304,3.64483,855.7,4.889714285714286,811,4.634285714285714,,,,,,,,,,,,,,,,,,,Jesus Luzardo,19959,666200,SP,26.424799999999998,0.0,9.626256973442912,22.213699742689936,3.072911365938449,-0.6211034172977374,3.058134498836915,2.421888172536399,2.9291830258835447,11.604552055859747,4.8385671445016785,6.765984911358069,27.02,33.53,False,3,SP,SP 3
