Name,rankings
Tarik Skubal,DET
Paul Skenes,PIT
Aaron Judge,NYY
Juan Soto,NYM
Shohei Ohtani,LAD
Garrett Crochet,BOS
Bryan Woo,SEA
Ronald Acuña Jr.,ATL
Cristopher Sánchez,PHI
Chris Sale,ATL
Logan Gilbert,SEA
Logan Webb,SFG
Kyle Tucker,LAD
Yoshinobu Yamamoto,LAD
José Ramírez,CLE
Max Fried,NYY
Jacob deGrom,TEX
Fernando Tatis Jr.,SDP
Kyle Schwarber,PHI
Hunter Brown,HOU
Bobby Witt Jr.,KCR
Cal Raleigh,SEA
George Kirby,SEA
Corbin Carroll,ARI
Joe Ryan,MIN
Julio Rodríguez,SEA
Vladimir Guerrero Jr.,TOR
Jesús Luzardo,PHI
Cole Ragans,KCR
Framber Valdez,DET
Ketel Marte,ARI
Yordan Alvarez,HOU
Zack Wheeler,PHI
Mason Miller,SDP
Rafael Devers,SFG
Elly De La Cruz,CIN
Gunnar Henderson,BAL
Nathan Eovaldi,TEX
Jazz Chisholm Jr.,NYY
Nick Pivetta,SDP
Brent Rooker,ATH
Wyatt Langford,TEX
Sonny Gray,BOS
Cade Smith,CLE
Freddy Peralta,NYM
Junior Caminero,TBR
Edwin Díaz,LAD
James Wood,WSN
Brandon Woodruff,MIL
Bryce Harper,PHI
Dylan Cease,TOR
William Contreras,MIL
Kevin Gausman,TOR
Marcell Ozuna,PIT
Mookie Betts,LAD
Drew Rasmussen,TBR
Luis Castillo,SEA
Randy Arozarena,SEA
Jhoan Duran,PHI
Roman Anthony,BOS
Andrés Muñoz,SEA
Freddie Freeman,LAD
Nick Kurtz,ATH
Jackson Chourio,MIL
Ranger Suarez,BOS
Brice Turang,MIL
Shota Imanaga,CHC
Iván Herrera,STL
Blake Snell,LAD
Pete Alonso,BAL
George Springer,TOR
Willson Contreras,BOS
Francisco Lindor,NYM
Maikel Garcia,KCR
Michael King,SDP
Kyle Bradish,BAL
Devin Williams,NYM
Chase Burns,CIN
Manny Machado,SDP
Will Smith,LAD
Bryan Abreu,HOU
Ryan Pepiot,TBR
Tyler Glasnow,LAD
Eury Pérez,MIA
Zach Neto,LAA
Matthew Boyd,CHC
Griffin Jax,TBR
Tanner Bibee,CLE
Matt Olson,ATL
Christian Yelich,MIL
Seiya Suzuki,CHC
Matt Chapman,SFG
Spencer Strider,ATL
Alex Bregman,CHC
Geraldo Perdomo,ARI
Emmet Sheehan,LAD
Trea Turner,PHI
Luke Keaschall,MIN
Nick Lodolo,CIN
Nolan McLean,NYM
Riley Greene,DET
Pete Crow-Armstrong,CHC
Ian Happ,CHC
David Bednar,NYY
Oneil Cruz,PIT
Shea Langeliers,ATH
Aroldis Chapman,BOS
Jarren Duran,BOS
Austin Riley,ATL
Abner Uribe,MIL
Jose Altuve,HOU
Gleyber Torres,DET
Jakob Marsee,MIA
Taylor Ward,BAL
Eugenio Suárez,CIN
Byron Buxton,MIN
MacKenzie Gore,TEX
Jack Flaherty,DET
Nico Hoerner,CHC
Corey Seager,TEX
Joc Pederson,TEX
Cody Bellinger,NYY
Kris Bubic,KCR
José Soriano,LAA
Josh Naylor,SEA
Aaron Nola,PHI
Brandon Nimmo,TEX
Carlos Rodón,NYY
Michael Busch,CHC
Hunter Goodman,COL
Yandy Díaz,TBR
Drake Baldwin,ATL
Raisel Iglesias,ATL
Shane McClanahan,TBR
Merrill Kelly,ARI
Jackson Merrill,SDP
Jeff Hoffman,TOR
Steven Kwan,CLE
Kyle Stowers,MIA
Mike Trout,LAA
Zac Gallen,ARI
Bryson Stott,PHI
Xander Bogaerts,SDP
Jeremiah Estrada,SDP
Ryan Helsley,BAL
Gavin Williams,CLE
Trevor Megill,MIL
Adley Rutschman,BAL
Sandy Alcantara,MIA
Garrett Cleavinger,TBR
Garrett Whitlock,BOS
Trey Yesavage,TOR
Joe Musgrove,SDP
Andrew Abbott,CIN
Willy Adames,SFG
Daniel Palencia,CHC
Salvador Perez,KCR
Willi Castro,COL
Shane Baz,BAL
Josh Hader,HOU
Sean Manaea,NYM
Brendan Donovan,SEA
Edward Cabrera,CHC
Pete Fairbanks,MIA
Agustín Ramírez,MIA
Grant Taylor,CHW
Robert Suarez,ATL
Vinnie Pasquantino,KCR
Teoscar Hernández,LAD
Sal Stewart,CIN
Konnor Griffin,PIT
Matthew Liberatore,STL
Carter Jensen,KCR
Connelly Early,BOS
Marcelo Mayer,BOS
Zac Veen,COL
JJ Wetherholt,STL
Kodai Senga,NYM
Bubba Chandler,PIT
Luis Robert Jr.,NYM
Dansby Swanson,CHC
Bradgley Rodriguez,SDP
Julian Fernández,WSN
Yerry De los Santos,NYY
Liam Hendriks,MIN
Cody Laweryson,MIN
Steven Cruz,KCR
Trevor Williams,WSN
Yariel Rodríguez,TOR
Ryan Vilade,TBR
Justin Bruihl,STL
Brady Basso,ATH
Austin Warren,NYM
José Buttó,SFG
Gregory Santos,SFG
McCade Brown,COL
Zak Kent,MIN
Jacob Webb,CHC
Cal Quantrill,TEX
David Morgan,SDP
Mitch Farris,LAA
Michael Conforto,CHC
Justin Lawrence,PIT
Coleman Crow,MIL
Josh White,MIA
Kai-Wei Teng,HOU
Keider Montero,DET
Ricky Tiedemann,TOR
Shane Drohan,MIL
Kyle Hurt,LAD
Dauri Moreta,
Brandon Williamson,CIN
Gavin Stone,LAD
Manuel Rodríguez,TBR
Hayden Wesneski,HOU
Austin Gomber,TEX
Brandon Walter,HOU
Griffin Conine,MIA
Nick Raquet,STL
TJ Rumfield,COL
Brandon Eisert,CHW
Ryan Fernandez,STL
Michael Darrell-Hicks,PIT
Chris Devenski,PIT
Daysbel Hernández,ATL
Sam Benschoter,CIN
Valente Bellozo,COL
Luis Mey,CIN
Corbin Martin,CHC
Josh Ekness,MIA
Sam Bachman,LAA
Génesis Cabrera,PHI
Casey Legumina,SEA
Chad Green,
Carson Palmquist,COL
Wilmer Flores,
Tanner Rainey,DET
Julian Merryweather,MIN
Jake Eder,WSN
Dylan Coleman,NYY
Gavin Hollowell,CHC
Noah Schultz,CHW
Cole Sulser,TBR
Walker Buehler,SDP
DL Hall,MIL
Joe Jiménez,ATL
Brennan Bernardino,COL
Mason Barnett,ATH
JR Ritchie,ATL
Ty Johnson,TBR
Jordan Montgomery,TEX
Lyon Richardson,CIN
Kutter Crawford,BOS
Patrick Corbin,
Joel Hurtado,LAA
Joel Peguero,SFG
Cole Wilcox,SEA
William Kempner,MIA
Juan Burgos,ARI
Josiah Gray,WSN
Ryan Thompson,ARI
Jason Foley,SFG
Michael Tonkin,MIN
Phil Maton,CHC
Andrew Nardi,MIA
Jimmy Herget,COL
A.J. Minter,NYM
Bryan Baker,TBR
Steven Okert,HOU
Tanner Banks,PHI
Drew Pomeranz,LAA
Graham Ashcraft,CIN
Braydon Fisher,TOR
Jared Koenig,MIL
Andrew Alvarez,WSN
Sam Hentges,SFG
Jaden Hill,COL
Pierce Johnson,CIN
Evan Phillips,LAD
Brent Headrick,NYY
Connor Prielipp,MIN
Payton Tolle,BOS
Cole Sands,MIN
Jake Bird,NYY
Yohan Ramírez,PIT
Wade Miley,
José Suarez,ATL
Mason Fluharty,TOR
Yaramil Hiraldo,BAL
Ronel Blanco,HOU
Blade Tidwell,SFG
Kendry Rojas,MIN
Sean Newcomb,CHW
Nick Mears,KCR
Emerson Hancock,SEA
DJ Herz,WSN
Kohl Drake,ARI
Luke Little,CHC
Osvaldo Bido,NYY
Jon Gray,
Félix Bautista,BAL
Matt Festa,CLE
Ryan Brasier,TEX
Ryan Gusto,MIA
Grant McCray,SFG
River Ryan,LAD
Brenan Hanifee,DET
Brock Burke,CIN
Kevin Kelly,TBR
Spencer Turnbull,
Cade Povich,BAL
Tyler Alexander,TEX
Erick Fedde,CHW
Mason Montgomery,PIT
Yoendrys Gómez,TBR
Mitch Bratt,ARI
Evan Sisk,PIT
Matt Koperniak,STL
Alek Manoah,LAA
Ian Hamilton,ATL
Anthony Bender,MIA
Cristian Mena,ARI
Colin Selby,BAL
Jakob Junis,TEX
Tim Herrin,CLE
Tanner Houck,BOS
Bryan Hudson,NYM
Jason Alexander,HOU
Eric Orze,MIN
Ryan Yarbrough,NYY
JT Brubaker,SFG
Justin Wilson,
Pierson Ohl,COL
Ty Madden,DET
Cade Gibson,MIA
John King,MIA
Quinn Mathews,STL
Andrew Chafin,MIN
Brock Stewart,LAD
Jordan Romano,LAA
Taylor Rashi,ARI
Tyler Ferguson,ATH
Alex Hoppe,SEA
Charlie Morton,
Sebastián Rivero,LAA
Sawyer Gipson-Long,DET
Erik Miller,SFG
José Urquidy,PIT
Matt Gage,SFG
Yimi García,TOR
Blake Treinen,LAD
Chase Silseth,LAA
Paul Blackburn,NYY
Nelson Velázquez,STL
Paul DeJong,NYY
Tink Hence,STL
Austin Peterson,CLE
Charlie Condon,COL
Marcus Stroman,
Nick Allen,HOU
Angel Zerpa,MIL
Mark Leiter Jr.,ATH
