Name,dollar_value
Shohei Ohtani,60.0
Bobby Witt Jr.,59.78
Elly De La Cruz,59.57
Gunnar Henderson,59.35
Shohei Ohtani,59.13
Juan Soto,58.91
Kyle Tucker,58.7
Ronald Acuna Jr.,58.48
Corbin Carroll,58.26
Aaron Judge,58.04
Yordan Alvarez,57.83
Fernando Tatis Jr.,57.61
Julio Rodriguez,57.39
James Wood,57.17
Jackson Chourio,56.96
Vladimir Guerrero Jr.,56.74
Jose Ramirez,56.52
Jackson Merrill,56.3
Paul Skenes,56.09
Bryce Harper,55.87
Mookie Betts,55.65
Wyatt Langford,55.43
Francisco Lindor,55.22
Jarren Duran,55.0
Oneil Cruz,54.78
CJ Abrams,54.57
Trea Turner,54.35
Jazz Chisholm,54.13
Rafael Devers,53.91
Tarik Skubal,53.7
Garrett Crochet,53.48
Austin Riley,53.26
Corbin Burnes,53.04
Logan Gilbert,52.83
Cole Ragans,52.61
Corey Seager,52.39
Luis Robert,52.17
Yoshinobu Yamamoto,51.96
Riley Greene,51.74
Matt Olson,51.52
Pete Alonso,51.3
Jasson Dominguez,51.09
Freddie Freeman,50.87
Dylan Cease,50.65
Jack Flaherty,50.43
Ketel Marte,50.22
Brenton Doyle,50.0
George Kirby,49.78
Hunter Greene,49.57
Zach Neto,49.35
Michael Harris,49.13
Dylan Crews,48.91
Junior Caminero,48.7
Jackson Holliday,48.48
Zack Wheeler,48.26
Chris Sale,48.04
Gerrit Cole,47.83
Blake Snell,47.61
Ozzie Albies,47.39
Lawrence Butler,47.17
Spencer Strider,46.96
Teoscar Hernandez,46.74
Manny Machado,46.52
Michael King,46.3
Grayson Rodriguez,46.09
Spencer Steer,45.87
Marcell Ozuna,45.65
Jose Altuve,45.43
Kyle Schwarber,45.22
Pablo Lopez,45.0
Freddy Peralta,44.78
Luis Castillo,44.57
Aaron Nola,44.35
Spencer Schwellenbach,44.13
Shota Imanaga,43.91
Tyler Glasnow,43.7
Bryce Miller,43.48
Tanner Bibee,43.26
Framber Valdez,43.04
William Contreras,42.83
Brent Rooker,42.61
Triston Casas,42.39
Willy Adames,42.17
Royce Lewis,41.96
Jordan Westburg,41.74
Matt McLain,41.52
Pete Crow-Armstrong,41.3
Anthony Volpe,41.09
Kristian Campbell,40.87
Roman Anthony,40.65
Matt Shaw,40.43
Bailey Ober,40.22
Joe Ryan,40.0
Zac Gallen,39.78
Carson Williams,39.57
Jared Jones,39.35
Shane McClanahan,39.13
Eury Perez,38.91
Emmanuel Rodriguez,38.7
Noah Schultz,38.48
Samuel Basallo,38.26
Leodalis De Vries,38.04
Walker Jenkins,37.83
Shohei Ohtani,37.61
Jacob deGrom,37.39
Josh Naylor,37.17
Jordan Lawlar,36.96
Anthony Santander,36.74
Logan Webb,36.52
Hunter Brown,36.3
Adley Rutschman,36.09
Bryan Reynolds,35.87
Seiya Suzuki,35.65
Vinnie Pasquantino,35.43
Adolis Garcia,35.22
Evan Carter,35.0
Bubba Chandler,34.78
Travis Bazzana,34.57
JJ Wetherholt,34.35
Josue De Paula,34.13
Sebastian Walcott,33.91
Max Clark,33.7
Max Fried,33.48
Justin Steele,33.26
Kodai Senga,33.04
Kumar Rocker,32.83
Ryan Pepiot,32.61
Bryan Woo,32.39
Taj Bradley,32.17
Jackson Jobe,31.96
Yainer Diaz,31.74
Francisco Alvarez,31.52
Cody Bellinger,31.3
Mark Vientos,31.09
Shane Baz,30.87
Andrew Painter,30.65
Mason Miller,30.43
Randy Arozarena,30.22
Tyler O’Neill,30.0
Coby Mayo,29.78
Bryce Eldridge,29.57
Mike Trout,29.35
Emmanuel Clase,29.13
Josh Hader,28.91
Ryan Helsley,28.7
Andres Munoz,28.48
Edwin Diaz,28.26
Devin Williams,28.04
Jhoan Duran,27.83
Colton Cowser,27.61
Lane Thomas,27.39
Josh Lowe,27.17
Nick Lodolo,26.96
Sonny Gray,26.74
Robbie Ray,26.52
Luis Gil,26.3
Will Smith,26.09
Steven Kwan,25.87
Ian Happ,25.65
Alec Bohm,25.43
Bo Bichette,25.22
Bryson Stott,25.0
Ha-Seong Kim,24.78
Zack Gelof,24.57
Colt Keith,24.35
Marcelo Mayer,24.13
Colt Emerson,23.91
Chase Burns,23.7
Xander Bogaerts,23.48
Christian Yelich,23.26
Christian Walker,23.04
Byron Buxton,22.83
Carlos Rodon,22.61
Yusei Kikuchi,22.39
Joe Musgrove,22.17
Reese Olson,21.96
Clarke Schmidt,21.74
Nick Pivetta,21.52
Zach Eflin,21.3
Nico Hoerner,21.09
Kerry Carpenter,20.87
Tyler Fitzgerald,20.65
Brandon Pfaadt,20.43
Zebby Matthews,20.22
Gavin Williams,20.0
Reynaldo Lopez,19.78
Josh Jung,19.57
