Name,auction_value,Position
Kay Robles,-inf,Hitter
Ian Petrutz,-inf,Hitter
Tommy Troy,-inf,Hitter
Mike Jarvis,-inf,Hitter
Jeremiah Jackson,-inf,Hitter
Scott Bandura,-inf,Hitter
Andy Lugo,-inf,Hitter
Danny De Andrade,-inf,Hitter
Braedon Karpathios,-inf,Hitter
Joe Redfield,-inf,Hitter
Angel Ortiz,-inf,Hitter
William Lugo,-inf,Hitter
Yohander Martinez,-inf,Hitter
Caleb Cali,-inf,Hitter
Josh Breaux,-inf,Hitter
Aidan Smith,-inf,Hitter
Caleb Hobson,-inf,Hitter
Marco Vargas,-inf,Hitter
Cooper Pratt,-inf,Hitter
Quincy Scott,-inf,Hitter
Welbyn Francisca,-inf,Hitter
Juan Baez,-inf,Hitter
David Smith,-inf,Hitter
Drew Lugbauer,-inf,Hitter
Oliver Carrillo,-inf,Hitter
Quinn McDaniel,-inf,Hitter
Jay Beshears,-inf,Hitter
Tommy Hawke,-inf,Hitter
Wade Stauss,-inf,Hitter
Narbe Cruz,-inf,Hitter
Miguel Rodríguez,-inf,Hitter
Alex Mooney,-inf,Hitter
Jose Perez,-inf,Hitter
Trevor Boone,-inf,Hitter
Connor Pavolony,-inf,Hitter
Robert Calaz,-inf,Hitter
Boston Baro,-inf,Hitter
William Simoneit,-inf,Hitter
Will Banfield,-inf,Hitter
Michael Trautwein,-inf,Hitter
Ronald Rosario,-inf,Hitter
Cam Smith,-inf,Hitter
Logan Cerny,-inf,Hitter
Kevin Parada,-inf,Hitter
Jalen Battles,-inf,Hitter
Jadiel Sanchez,-inf,Hitter
Daniel Mateo,-inf,Hitter
John Garcia,-inf,Hitter
Jheremy Vargas,-inf,Hitter
Matt O'Neill,-inf,Hitter
Bryan Rincon,-inf,Hitter
Ahbram Liendo,-inf,Hitter
Peyton Graham,-inf,Hitter
Dylan Campbell,-inf,Hitter
Jacob Nottingham,-inf,Hitter
Ryan Wrobleski,-inf,Hitter
Eduardo Quintero,-inf,Hitter
Tyler Tolve,-inf,Hitter
Connor Charping,-inf,Hitter
Dereck Salom,-inf,Hitter
Arturo Disla,-inf,Hitter
Dylan Dreiling,-inf,Hitter
Wes Kath,-inf,Hitter
Johnny Ascanio,-inf,Hitter
Elijah Nunez,-inf,Hitter
Mac McCroskey,-inf,Hitter
Milkar Perez,-inf,Hitter
EJ Andrews Jr.,-inf,Hitter
Alex Iadisernia,-inf,Hitter
Christian Knapczyk,-inf,Hitter
Konner Piotto,-inf,Hitter
Roynier Hernandez,-inf,Hitter
Leandro Arias,-inf,Hitter
Marcus Smith,-inf,Hitter
Misael Urbina,-inf,Hitter
Colby Halter,-inf,Hitter
Ryan Wilson,-inf,Hitter
Bo Davidson,-inf,Hitter
Jake Gelof,-inf,Hitter
Yeison Morrobel,-inf,Hitter
Ryan Lasko,-inf,Hitter
Sahid Valenzuela,-inf,Hitter
Miguel Villarroel,-inf,Hitter
Esteban Gonzalez,-inf,Hitter
Carlos Jorge,-inf,Hitter
Alexander Vargas,-inf,Hitter
Sebastián  Rivero,-inf,Hitter
Jack Payton,-inf,Hitter
Jack Hurley,-inf,Hitter
Blake Robertson,-inf,Hitter
Branden Boissiere,-inf,Hitter
Poncho Ruiz,-inf,Hitter
Jacob Godman,-inf,Hitter
Gabriel Moncada,-inf,Hitter
Kevyn Castillo,-inf,Hitter
Andrew Jenkins,-inf,Hitter
Cole Conn,-inf,Hitter
Paul Witt,-inf,Hitter
George Lombard Jr.,-inf,Hitter
Mark Coley II,-inf,Hitter
Jacob Sharp,-inf,Hitter
Nelly Taylor,-inf,Hitter
Jordan Dissin,-inf,Hitter
Christopher Familia,-inf,Hitter
Jeral Perez,-inf,Hitter
Skyler Messinger,-inf,Hitter
Jalen Vasquez,-inf,Hitter
Ian Moller,-inf,Hitter
Jace Avina,-inf,Hitter
Roismar Quintana,-inf,Hitter
Cody Morissette,-inf,Hitter
Enmanuel Tejeda,-inf,Hitter
Charlie Szykowny,-inf,Hitter
Bryson Horne,-inf,Hitter
Josh Rivera,-inf,Hitter
Colby Smelley,-inf,Hitter
Hudson Head,-inf,Hitter
Franklin Barreto,-inf,Hitter
Jesus Bugarin,-inf,Hitter
Jose Izarra,-inf,Hitter
Jansel Luis,-inf,Hitter
Cristian Santana,-inf,Hitter
Anthony Gutierrez,-inf,Hitter
Josh Hood,-inf,Hitter
Dalvy Rosario,-inf,Hitter
Carlos Rojas,-inf,Hitter
Kevin Kilpatrick Jr.,-inf,Hitter
Tony Bullard,-inf,Hitter
Brody Moore,-inf,Hitter
Albert Fabian,-inf,Hitter
Jose Mujica,-inf,Hitter
Jaden Rudd,-inf,Hitter
Nick Biddison,-inf,Hitter
Willy Vasquez,-inf,Hitter
Zach Levenson,-inf,Hitter
Vaun Brown,-inf,Hitter
Hayden Senger,-inf,Hitter
Myles Emmerson,-inf,Hitter
Jordan Nwogu,-inf,Hitter
Casey Yamauchi,-inf,Hitter
Bryce Teodosio,-inf,Hitter
Wilfredo Lara,-inf,Hitter
Ryan Galanie,-inf,Hitter
Cade Bunnell,-inf,Hitter
TT Bowens,-inf,Hitter
Carter Bins,-inf,Hitter
Adam Zebrowski,-inf,Hitter
Drake Osborn,-inf,Hitter
Noah Myers,-inf,Hitter
Danny Bautista Jr.,-inf,Hitter
Je'Von Ward,-inf,Hitter
Eduardo Lopez,-inf,Hitter
Wyatt Hendrie,-inf,Hitter
Bubba Alleyne,-inf,Hitter
Bennett Hostetler,-inf,Hitter
Sandy León,-inf,Hitter
Gavin Conticello,-inf,Hitter
Mason Auer,-inf,Hitter
Lucas Dunn,-inf,Hitter
Kevin Maitan,-inf,Hitter
Nick Lorusso,-inf,Hitter
Spencer Nivens,-inf,Hitter
Druw Jones,-inf,Hitter
Braylen Wimmer,-inf,Hitter
Jace Grady,-inf,Hitter
Manuel Pena,-inf,Hitter
Robert Brooks,-inf,Hitter
Loidel Chapelli,-inf,Hitter
Torin Montgomery,-inf,Hitter
Jose Torres,-inf,Hitter
Brian Serven,-inf,Hitter
Landon Wallace,-inf,Hitter
Zach Cole,-inf,Hitter
Zach Arnold,-inf,Hitter
Edwin Arroyo,-inf,Hitter
Jared Sundstrom,-inf,Hitter
Zavier Warren,-inf,Hitter
DJ Gladney,-inf,Hitter
Victor Arias,-inf,Hitter
Nick Schnell,-inf,Hitter
Kevin Made,-inf,Hitter
Collin Burns,-inf,Hitter
Bryant Betancourt,-inf,Hitter
Jesus Valdez,-inf,Hitter
Hogan Windish,-inf,Hitter
Clark Elliott,-inf,Hitter
Jackson Cluff,-inf,Hitter
Moisés Gómez,-inf,Hitter
Jose Cordova,-inf,Hitter
Ryan Ward,-inf,Hitter
Carlos Renzullo,-inf,Hitter
Caeden Trenkle,-inf,Hitter
Pascanel Ferreras,-inf,Hitter
Rubel Cespedes,-inf,Hitter
Ethan O'Donnell,-inf,Hitter
Kenny Piper,-inf,Hitter
Ronny Hernandez,-inf,Hitter
Will Robertson,-inf,Hitter
Kale Emshoff,-inf,Hitter
Jake Fox,-inf,Hitter
Brady Allen,-inf,Hitter
Jared Dickey,-inf,Hitter
David Bañuelos,-inf,Hitter
Brennan Orf,-inf,Hitter
Mac Horvath,-inf,Hitter
Ricardo Genovés,-inf,Hitter
Alexander Albertus,-inf,Hitter
Victor Ortega,-inf,Hitter
Francisco Acuna,-inf,Hitter
Cristian Hernandez,-inf,Hitter
Karson Simas,-inf,Hitter
Casey Opitz,-inf,Hitter
Elio Prado,-inf,Hitter
Christopher Suero,-inf,Hitter
Jacob Wetzel,-inf,Hitter
Nelson Quiroz,-inf,Hitter
Max Anderson,-inf,Hitter
Bryan Gonzalez,-inf,Hitter
Kai Murphy,-inf,Hitter
Anthony Mulrine,-inf,Hitter
Jack Rogers,-inf,Hitter
Emaarion Boyd,-inf,Hitter
Cole Cummings,-inf,Hitter
Cortland Lawson,-inf,Hitter
Carter Young,-inf,Hitter
Josh Moylan,-inf,Hitter
Jeremy De La Rosa,-inf,Hitter
Chase Davis,-inf,Hitter
Brady Lindsly,-inf,Hitter
Gregory Barrios,-inf,Hitter
Isaiah Greene,-inf,Hitter
René Pinto,-inf,Hitter
Starlyn Caba,-inf,Hitter
Sebastian Walcott,-inf,Hitter
Kendall George,-inf,Hitter
Garrett Spain,-inf,Hitter
Ralphy Velazquez,-inf,Hitter
Wuilfredo Antunez,-inf,Hitter
Jonah Cox,-inf,Hitter
Ethan Wilson,-inf,Hitter
Geovanny Planchart,-inf,Hitter
Austin Callahan,-inf,Hitter
Jean Ramirez,-inf,Hitter
Robby Martin Jr.,-inf,Hitter
Erick Torres,-inf,Hitter
Justin Riemer,-inf,Hitter
Jose Sanabria,-inf,Hitter
Cade Fergus,-inf,Hitter
Bryce Willits,-inf,Hitter
Viandel Pena,-inf,Hitter
Luke Shliger,-inf,Hitter
Roberto Campos,-inf,Hitter
Jesus Castillo,-inf,Hitter
Jim Jarvis,-inf,Hitter
Jefferson Rojas,-inf,Hitter
Cooper Kinney,-inf,Hitter
Kade Kretzschmar,-inf,Hitter
Junior Franco,-inf,Hitter
Matt Hogan,-inf,Hitter
Chad Stevens,-inf,Hitter
Jesus Ordonez,-inf,Hitter
Yordys Valdes,-inf,Hitter
Ben Ross,-inf,Hitter
Johnfrank Salazar,-inf,Hitter
Omar Alfonzo,-inf,Hitter
Franklin Arias,-inf,Hitter
Devin Ortiz,-inf,Hitter
Will Wilson,-inf,Hitter
Denzer Guzman,-inf,Hitter
Aidan Miller,-inf,Hitter
Andy Perez,-inf,Hitter
Junior Perez,-inf,Hitter
Joshua Kuroda-Grauer,-inf,Hitter
Hunter Bishop,-inf,Hitter
Tyresse Turner,-inf,Hitter
Everett Cooper III,-inf,Hitter
Luis Reyes,-inf,Hitter
Jesus Hernandez,-inf,Hitter
Luis Caicuto,-inf,Hitter
Thomas Sosa,-inf,Hitter
Samuel Munoz,-inf,Hitter
Yordany De Los Santos,-inf,Hitter
Jeral Toledo,-inf,Hitter
John Gil,-inf,Hitter
Yerlin Confidan,-inf,Hitter
Carlos Sanchez,-inf,Hitter
Miguel Ugueto,-inf,Hitter
Alfredo Duno,-inf,Hitter
Brayden Jobert,-inf,Hitter
Ryan Cermak,-inf,Hitter
Isaac Pena,-inf,Hitter
Luis Sanchez,-inf,Hitter
Eddy Rodriguez,-inf,Hitter
Garrett Martin,-inf,Hitter
Alexis Hernandez,-inf,Hitter
Enmanuel Terrero,-inf,Hitter
Devin Saltiban,-inf,Hitter
Ian Lewis,-inf,Hitter
Bryson Worrell,-inf,Hitter
D'Andre Smith,-inf,Hitter
Juan Montero,-inf,Hitter
Juan Chacon,-inf,Hitter
Lonnie White Jr.,-inf,Hitter
Hector Osorio,-inf,Hitter
Dom Johnson,-inf,Hitter
Nick Vogt,-inf,Hitter
Graysen Tarlow,-inf,Hitter
Yohairo Cuevas,-inf,Hitter
Derlin Figueroa,-inf,Hitter
Raudelis Martinez,-inf,Hitter
Antonio Gomez,-inf,Hitter
Ty Duvall,-inf,Hitter
Kyle Hess,-inf,Hitter
Esmerlyn Valdez,-inf,Hitter
Anthony Scull,-inf,Hitter
Jordan Thompson,-inf,Hitter
D.J. Stewart,-inf,Hitter
Fraymi De Leon,-inf,Hitter
Carlos Jimenez,-inf,Hitter
Jake Vogel,-inf,Hitter
Arol Vera,-inf,Hitter
Jesus Baez,-inf,Hitter
Josue Gonzalez,-inf,Hitter
Samuel Gil,-inf,Hitter
Jeremy Eierman,-inf,Hitter
Luis Merejo,-inf,Hitter
Brett Roberts,-inf,Hitter
Brock Jones,-inf,Hitter
Gleider Figuereo,-inf,Hitter
Felix Reyes,-inf,Hitter
Ethan Long,-inf,Hitter
Juan Corniel,-inf,Hitter
Luke Mann,-inf,Hitter
Anthony Sherwin,-inf,Hitter
T.J. White,-inf,Hitter
Casey Saucke,-inf,Hitter
Mikey Kane,-inf,Hitter
Kemp Alderman,-inf,Hitter
Jordan Sprinkle,-inf,Hitter
Willy Montero,-inf,Hitter
Johnny Tincher,-inf,Hitter
Jonny Farmelo,-inf,Hitter
Esmith Pineda,-inf,Hitter
Jhonny Perdomo,-inf,Hitter
Ryan Nicholson,-inf,Hitter
Steven Leyton,-inf,Hitter
Carter Graham,-inf,Hitter
Narciso Polanco,-inf,Hitter
Aramis Garcia,-inf,Hitter
Peter Burns,-inf,Hitter
Garret Forrester,-inf,Hitter
Jefferson Valladares,-inf,Hitter
Kadon Morton,-inf,Hitter
Tomas Frick,-inf,Hitter
Kenny Castillo,-inf,Hitter
Anderson De Los Santos,-inf,Hitter
Angel Del Rosario,-inf,Hitter
Garret Guillemette,-inf,Hitter
Jake Anchia,-inf,Hitter
Kalae Harrison,-inf,Hitter
Robert Lopez,-inf,Hitter
Cristian Gonzalez,-inf,Hitter
Tyler Whitaker,-inf,Hitter
Kamren James,-inf,Hitter
Eduardo Tait,-inf,Hitter
Aneudis Mordán,-inf,Hitter
Luis Castillo,-inf,Hitter
Josiah Sightler,-inf,Hitter
Eduardo Guerrero,-inf,Hitter
Waner Luciano,-inf,Hitter
Alexander Ramirez,-inf,Hitter
Abrahan Ramirez,-inf,Hitter
Nick Goodwin,-inf,Hitter
Josh Adamczewski,-inf,Hitter
Dameury Pena,-inf,Hitter
Tevin Tucker,-inf,Hitter
Jose Salas,-inf,Hitter
Miguel Sosa,-inf,Hitter
Natanael Yuten,-inf,Hitter
