Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,PlayerId
"Shohei Ohtani","LAD","DH",1.4199999570846558,689.47,3.9857733648654405,6.972321550037,10.558130157636732,6.427685729448147,9.420984905780676,37.364895707768,8.493548985612467,46.85844469338047,"19755"
"Bobby Witt Jr.","KCR","SS",1.5800000429153442,679.473,7.67047561820619,4.726767756851632,6.5050767962278995,6.906118183319461,3.2933858684073924,29.101824223012574,10.158323780259837,40.26014800327241,"25764"
"Aaron Judge","NYY","OF/DH",3.630000114440918,664.791,2.076144705421236,9.608760083211635,6.533431389324827,-1.8023518168082149,11.05419076802145,27.470175129170936,11.45130565724698,39.92148078641791,"15640"
"Fernando Tatis Jr.","SDP","OF",10.380000114440918,678.868,4.016111986625679,6.1862658044535035,6.216368577896025,1.761463185030398,6.996867010433357,25.177076564438963,11.45130565724698,37.62838222168594,"19709"
"Ronald Acuna Jr.","ATL","OF",30.540000915527344,604.975,5.7596466505134645,-1.249140325704613,5.666650951891198,9.971226278947032,1.5036768940033785,21.652060449650463,11.45130565724698,34.10336610689744,"18401"
"Juan Soto","NYM","OF",8.039999961853027,676.348,4.016918948510532,4.594631796504669,7.865413491728638,-1.4315969183306758,5.395500433829959,20.440867752243125,11.45130565724698,32.892173409490105,"20123"
"Jose Ramirez","CLE","3B/DH",4.880000114440918,663.944,3.808255321308333,5.49072237853697,2.5909133567805247,5.312457879151527,3.0091223313307536,20.21147126710811,11.138599888427434,32.350071155535545,"13510"
"Kyle Tucker","CHC","OF",7.789999961853027,669.16,3.262383950976499,4.189809738549801,4.7797451912229265,2.3863750245329904,3.6213869509355927,18.23970085621781,11.45130565724698,30.691006513464785,"18345"
"Yordan Alvarez","HOU","OF/DH",17.8799991607666,595.326,7.3274364999445885,5.7401560737167765,2.578281547502116,-3.1882070163362797,5.092743111186372,17.55041021601357,11.45130565724698,30.001715873260554,"19556"
"Gunnar Henderson","BAL","SS",5.670000076293945,684.196,2.771374303350265,3.1458483429537334,6.439614513956032,1.3614804123582278,4.975377456044929,18.693695028663182,10.158323780259837,29.852018808923024,"26289"
"Corbin Carroll","ARI","OF",10.880000114440918,681.551,0.3594642286414841,0.5736417360888475,6.042728184730382,8.559107029408533,0.7208133472230647,16.25575452609231,11.45130565724698,28.707060183339294,"25878"
"Vladimir Guerrero Jr.","TOR","1B/DH",15.329999923706055,663.3,7.493646249815723,6.838839578174551,2.991494460230058,-2.736132912253725,4.442539441016981,19.030386816983587,8.493548985612467,28.523935802596053,"19611"
"Elly De La Cruz","CIN","SS",4.130000114440918,672.639,-1.8752552580007735,1.121117475533149,4.0998907393346515,12.689815709028979,0.953193607129204,16.988762273025205,10.158323780259837,28.147086053285047,"26668"
"Julio Rodriguez","SEA","OF",12.579999923706055,676.659,3.107202630596304,2.4313430600598966,2.9392138048294383,4.364421453494412,2.8150805908082477,15.6572615397883,11.45130565724698,28.108567197035285,"23697"
