Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Paul Skenes","PIT",13.214,8.6175,21.1133,2.7978,30.78,30.78,0,0,188.104,759.404,147.001,64.6609,58.4754,15.7172,54.993,,7.5265,242.252,11.5907,2.63118,4.40515,0.752,0.319003,0.072416,0.24658704549074173,0.210941,1.07384,0.299111,0.763005,0.470317,,2.67408,5.7802,5.76898,11.170000076293945,,,,"33677"
"Jacob deGrom","TEX",11.2194,6.7783,16.6092,2.84406,25.92,25.92,0,0,152.018,601.811,115.403,52.1347,48.0385,17.0091,30.0352,,4.924,205.907,12.1904,1.7782,6.85551,1.007,0.342145,0.049908,0.29223693534731865,0.203586,0.956719,0.286081,0.767137,0.382932,,2.60195,5.15873,4.3575,37.880001068115234,,,,"10954"
"Tarik Skubal","DET",13.3469,9.4111,21.6936,2.90182,32,32,0,0,196.234,786.824,159.753,69.5163,63.2706,19.776,45.019,,7.9863,228.954,10.5007,2.06473,5.08572,0.907,0.290985,0.0572161,0.23376906290650368,0.217701,1.04351,0.288559,0.763787,0.435915,,2.95345,5.03999,5.11281,12.920000076293945,,,,"22267"
"Garrett Crochet","BOS",12.3484,8.4553,17.3787,3.03798,30.78,30.78,0,0,170.138,684.11,133.028,62.6451,57.4307,16.6357,51.679,,6.5401,220.433,11.6605,2.73372,4.26543,0.88,0.322219,0.075542,0.246677003800869,0.212542,1.08563,0.299346,0.75619,0.439859,,2.87293,4.79685,4.87638,24.25,,,,"27463"
"Zack Wheeler","PHI",13.4939,9.3928,20.5951,3.31941,32,32,0,0,198.518,809.947,171.134,79.7855,73.2181,22.6972,50.9449,,8.6616,212.39,9.6289,2.30963,4.16901,1.029,0.262227,0.0628991,0.1993279755115509,0.228075,1.11868,0.288085,0.747721,0.426213,,3.41383,4.64195,4.75355,20.790000915527344,,,,"10310"
"Chris Sale","ATL",13.8597,7.8576,19.9808,3.06831,30.78,30.78,0,0,186.772,754.33,152.245,69.4423,63.675,19.6318,46.9714,,8.9705,230.405,11.1025,2.26341,4.90521,0.946,0.305443,0.062269,0.24317392706871033,0.217995,1.06663,0.29578,0.755679,0.425511,,2.96425,4.4809,5.05359,34.790000915527344,,,,"10603"
"Tyler Glasnow","LAD",10.6146,6.3232,14.7671,3.21623,24.3,24.3,0,0,143.689,579.857,116.878,55.9552,51.3484,16.0612,40.6665,,3.5603,178.002,11.1492,2.54716,4.37711,1.006,0.306975,0.070132,0.2368430569767952,0.218206,1.09643,0.295159,0.752185,0.449349,,3.06538,3.69523,3.4521,106.95999908447266,,,,"14374"
"Sonny Gray","STL",12.0821,9.6103,18.5162,3.40447,30.78,30.78,0,0,184.766,764.441,164.287,76.3979,69.8921,19.6262,51.3093,,6.828,197.289,9.61001,2.4993,3.84508,0.956,0.258082,0.06712,0.19096215069293976,0.232602,1.16687,0.295596,0.739947,0.447268,,3.35578,3.69143,3.95154,103.79000091552734,,,,"12768"
"Corbin Burnes","ARI",12.272,9.7142,18.3104,3.70939,30.78,30.78,0,0,189.849,794.014,179.268,85.1872,78.247,19.9341,53.4554,,7.1588,192.493,9.12538,2.53412,3.60101,0.945,0.242431,0.067323,0.17510787397623062,0.244434,1.22583,0.305839,0.720336,0.459102,,3.46145,3.64506,3.57883,41.25,,,,"19361"
"Pablo López","MIN",12.175,10.4587,18.7539,3.59251,32,32,0,0,193.107,797.632,176.522,83.621,77.082,23.2586,47.9951,,8.6049,202.564,9.44078,2.23688,4.22052,1.084,0.253957,0.060172,0.19378496333956718,0.238211,1.16266,0.297477,0.734005,0.431035,,3.51361,3.6385,3.46799,63.040000915527344,,,,"17085"
"Cole Ragans","KCR",11.9902,9.5796,17.802,3.51302,30.78,30.78,0,0,182.633,763.834,156.313,77.3705,71.288,19.4199,68.9971,,6.488,206.951,10.1984,3.40013,2.99941,0.957,0.270937,0.09033,0.18060693889856339,0.227084,1.23368,0.296319,0.746709,0.406675,,3.52246,3.6229,4.0963,47.959999084472656,,,,"21846"
"Dylan Cease","SDP",12.5441,9.824,18.3353,3.52136,32,32,0,0,188.994,787.802,156.016,79.901,73.9461,22.4902,70.4381,,6.4411,224.108,10.6722,3.35431,3.18163,1.071,0.284473,0.0894109,0.19506195932626724,0.219455,1.19821,0.287569,0.751678,0.380462,,3.56223,3.6101,3.69888,46.790000915527344,,,,"18525"
"Blake Snell","LAD",12.7731,8.5631,17.3073,3.50509,30.78,30.78,0,0,179.426,751.678,141.725,75.6359,69.8781,21.7902,77.2282,,5.3459,232.887,11.6816,3.87377,3.01557,1.093,0.309823,0.102741,0.207082137465477,0.211813,1.2203,0.289398,0.760518,0.397857,,3.52998,3.59573,3.56972,41.540000915527344,,,,"13543"
"Logan Webb","SFG",12.3915,10.709,20.5236,3.45941,32,32,0,0,201.109,840.056,201.923,85.8974,77.3022,16.8261,45.1597,,6.4382,174.689,7.81763,2.02098,3.86824,0.753,0.207949,0.053758,0.15419091656804085,0.256099,1.2286,0.310075,0.721103,0.558832,,3.28659,3.55765,3.52747,101.83000183105469,,,,"17995"
"Logan Gilbert","SEA",12.2223,10.7457,20.3027,3.41282,32,32,0,0,198.742,807.565,175.972,81.7211,75.3633,24.9311,42.8155,,6.102,207.639,9.40289,1.93889,4.84962,1.129,0.257117,0.053018,0.20409898087382317,0.231955,1.10087,0.287108,0.745396,0.405621,,3.44613,3.52374,3.4748,26.670000076293945,,,,"22250"
"Framber Valdez","HOU",12.0352,9.0551,19.0364,3.42272,29.16,29.16,0,0,184.592,766.261,172.527,77.7961,70.2009,15.6288,59.0634,,8.589,177.281,8.64351,2.8797,3.00153,0.762,0.231358,0.07708,0.15427812188863754,0.246958,1.25461,0.310261,0.733367,0.567966,,3.44585,3.50447,3.59603,62.25,,,,"17295"
"Roki Sasaki",,9.622,7.0592,13.9828,3.19465,24.3,24.3,0,0,138.51,566.04,109.886,53.3533,49.1657,14.8975,43.3066,,6.5276,177.776,11.5514,2.81394,4.10505,0.968,0.314069,0.076508,0.23756098002195358,0.212872,1.106,0.293598,0.754437,0.402,,3.07709,3.46169,3.46234,999,,,,"sa3025686"
"Max Fried","NYY",11.7162,8.7008,17.3771,3.35467,29.16,29.16,0,0,173.047,721.028,162.528,71.3394,64.5016,17.3431,48.0882,,6.4604,164.758,8.5689,2.50102,3.42616,0.902,0.228504,0.0666939,0.16180994361639023,0.24386,1.2171,0.299733,0.74745,0.5092,,3.51084,3.28203,3.52618,97.16999816894531,,,,"13743"
"George Kirby","SEA",11.1775,10.2923,17.4565,3.49976,30.78,30.78,0,0,180.232,735.043,168.832,76.1084,70.0856,23.0497,27.1804,,7.1667,170.666,8.52229,1.35727,6.27901,1.151,0.232185,0.036978,0.1952069289982319,0.240948,1.08755,0.287549,0.73227,0.411601,,3.50691,3.26638,2.92771,41.959999084472656,,,,"25436"
"Aaron Nola","PHI",11.7769,10.1053,17.541,3.83189,30.78,30.78,0,0,187.668,780.647,178.304,86.4703,79.9024,26.2109,44.8599,,5.936,185.138,8.8787,2.15135,4.12703,1.257,0.23716,0.057465,0.17969505861401558,0.244302,1.18915,0.293332,0.733065,0.428643,,3.82111,3.23198,3.34872,83.95999908447266,,,,"16149"
"Cristopher Sánchez","PHI",11.3887,8.8504,16.4597,3.47504,29.16,29.16,0,0,169.778,706.524,163.755,72.5629,65.5539,16.4684,47.624,,5.7801,148.79,7.88745,2.52457,3.12428,0.873,0.210595,0.0674061,0.14318905025720596,0.250727,1.24503,0.301903,0.737116,0.538346,,3.61837,3.19515,3.53512,175.9199981689453,,,,"20778"
