Name,auction_value
Kay Robles,-inf
Ian Petrutz,-inf
Tommy Troy,-inf
Mike Jarvis,-inf
Jeremiah Jackson,-inf
Scott Bandura,-inf
Andy Lugo,-inf
Danny De Andrade,-inf
Braedon Karpathios,-inf
Joe Redfield,-inf
Angel Ortiz,-inf
William Lugo,-inf
Yohander Martinez,-inf
Caleb Cali,-inf
Josh Breaux,-inf
Aidan Smith,-inf
Caleb Hobson,-inf
Marco Vargas,-inf
Cooper Pratt,-inf
Quincy Scott,-inf
Welbyn Francisca,-inf
Juan Baez,-inf
David Smith,-inf
Drew Lugbauer,-inf
Oliver Carrillo,-inf
Quinn McDaniel,-inf
Jay Beshears,-inf
Tommy Hawke,-inf
Wade Stauss,-inf
Narbe Cruz,-inf
Miguel Rodríguez,-inf
Alex Mooney,-inf
Jose Perez,-inf
Trevor Boone,-inf
Connor Pavolony,-inf
Robert Calaz,-inf
Boston Baro,-inf
William Simoneit,-inf
Will Banfield,-inf
Michael Trautwein,-inf
Ronald Rosario,-inf
Cam Smith,-inf
Logan Cerny,-inf
Kevin Parada,-inf
Jalen Battles,-inf
Jadiel Sanchez,-inf
Daniel Mateo,-inf
John Garcia,-inf
Jheremy Vargas,-inf
Matt O'Neill,-inf
Bryan Rincon,-inf
Ahbram Liendo,-inf
Peyton Graham,-inf
Dylan Campbell,-inf
Jacob Nottingham,-inf
Ryan Wrobleski,-inf
Eduardo Quintero,-inf
Tyler Tolve,-inf
Connor Charping,-inf
Dereck Salom,-inf
Arturo Disla,-inf
Dylan Dreiling,-inf
Wes Kath,-inf
Johnny Ascanio,-inf
Elijah Nunez,-inf
Mac McCroskey,-inf
Milkar Perez,-inf
EJ Andrews Jr.,-inf
Alex Iadisernia,-inf
Christian Knapczyk,-inf
Konner Piotto,-inf
Roynier Hernandez,-inf
Leandro Arias,-inf
Marcus Smith,-inf
Misael Urbina,-inf
Colby Halter,-inf
Ryan Wilson,-inf
Bo Davidson,-inf
Jake Gelof,-inf
Yeison Morrobel,-inf
Ryan Lasko,-inf
Sahid Valenzuela,-inf
Miguel Villarroel,-inf
Esteban Gonzalez,-inf
Carlos Jorge,-inf
Alexander Vargas,-inf
Sebastián  Rivero,-inf
Jack Payton,-inf
Jack Hurley,-inf
Blake Robertson,-inf
Branden Boissiere,-inf
Poncho Ruiz,-inf
Jacob Godman,-inf
Gabriel Moncada,-inf
Kevyn Castillo,-inf
Andrew Jenkins,-inf
Cole Conn,-inf
Paul Witt,-inf
George Lombard Jr.,-inf
Mark Coley II,-inf
Jacob Sharp,-inf
Nelly Taylor,-inf
Jordan Dissin,-inf
Christopher Familia,-inf
Jeral Perez,-inf
Skyler Messinger,-inf
Jalen Vasquez,-inf
Ian Moller,-inf
Jace Avina,-inf
Roismar Quintana,-inf
Cody Morissette,-inf
Enmanuel Tejeda,-inf
Charlie Szykowny,-inf
Bryson Horne,-inf
Josh Rivera,-inf
Colby Smelley,-inf
Hudson Head,-inf
Franklin Barreto,-inf
Jesus Bugarin,-inf
Jose Izarra,-inf
Jansel Luis,-inf
Cristian Santana,-inf
Anthony Gutierrez,-inf
Josh Hood,-inf
Dalvy Rosario,-inf
Carlos Rojas,-inf
Kevin Kilpatrick Jr.,-inf
Tony Bullard,-inf
Brody Moore,-inf
Albert Fabian,-inf
Jose Mujica,-inf
Jaden Rudd,-inf
Nick Biddison,-inf
Willy Vasquez,-inf
Zach Levenson,-inf
Vaun Brown,-inf
Hayden Senger,-inf
Myles Emmerson,-inf
Jordan Nwogu,-inf
Casey Yamauchi,-inf
Bryce Teodosio,-inf
Wilfredo Lara,-inf
Ryan Galanie,-inf
Cade Bunnell,-inf
TT Bowens,-inf
Carter Bins,-inf
Adam Zebrowski,-inf
Drake Osborn,-inf
Noah Myers,-inf
Danny Bautista Jr.,-inf
Je'Von Ward,-inf
Eduardo Lopez,-inf
Wyatt Hendrie,-inf
Bubba Alleyne,-inf
Bennett Hostetler,-inf
Sandy León,-inf
Gavin Conticello,-inf
Mason Auer,-inf
Lucas Dunn,-inf
Kevin Maitan,-inf
Nick Lorusso,-inf
Spencer Nivens,-inf
Druw Jones,-inf
Braylen Wimmer,-inf
Jace Grady,-inf
Manuel Pena,-inf
Robert Brooks,-inf
Loidel Chapelli,-inf
Torin Montgomery,-inf
Jose Torres,-inf
Brian Serven,-inf
Landon Wallace,-inf
Zach Cole,-inf
Zach Arnold,-inf
