Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Kay Robles,SEA,0.25,1.0,0.9523,0.0984,0.0756,0.0114,0.001,0.0104,0.0477,0.0495,0.0258,0.0,0.5076,0.012,0.007,0.0029,,0.0083,0.0023,0.103329,0.0258,0.5076,0.0508274,0.136596,0.150163,0.130665,0.286759,0.046834,4.0648,0.199411,0.0,-0.000166515,-0.0275059,-0.144484,-17.9177,-0.000166515,0.0,-0.1350890496833017,0.0040000001899898,-0.0100958,999.0,,,,sa3021161,-0.7528617097755524,-inf
Ian Petrutz,STL,0.25,1.0,0.9117,0.1762,0.1344,0.0248,0.0022,0.0148,0.0848,0.0786,0.0644,0.0,0.236,0.014,0.007,0.0029,,0.0132,0.0037,0.193265,0.0644,0.236,0.272881,0.25534,0.273994,0.238599,0.529334,0.0807283,4.03939,0.241653,0.0,-0.000538031,0.059366,-0.0576121,51.7278,-0.000538031,0.0,-0.0582623207592405,-0.0120000001043081,-0.00381728,999.0,,,,sa3025159,-0.26554013313122643,-inf
Tommy Troy,ARI,0.25,1.0,0.9172,0.1816,0.1336,0.0324,0.0027,0.0129,0.0884,0.0803,0.0619,0.0,0.2578,0.011,0.007,0.0029,,0.022,0.0061,0.197994,0.0619,0.2578,0.240109,0.25524,0.2814,0.24045,0.53664,0.083406,4.9201,0.258148,0.0,0.000299676,0.0608559,-0.0561222,49.8711,0.000299676,0.0,-0.0596448272117413,0.0120000001043081,-0.0014814,999.0,,,,sa3022561,-0.26567351667769823,-inf
Mike Jarvis,PIT,0.25,1.0,0.9186,0.1829,0.1257,0.036,0.0049,0.0163,0.0904,0.0846,0.0605,0.0,0.2603,0.011,0.007,0.0029,,0.0284,0.0073,0.199107,0.0605,0.2603,0.232424,0.25514,0.302199,0.247523,0.557339,0.103092,5.5038,0.256703,0.0,0.00116707,0.0665484,-0.0504297,53.6795,0.00116707,0.0,-0.0542233388405293,0.0040000001899898,-0.0017477,999.0,,,,sa3017401,-0.2657070064597058,-inf
Jeremiah Jackson,BAL,0.25,1.0,0.9276,0.1918,0.1253,0.0372,0.0019,0.0274,0.0988,0.1012,0.0545,0.0,0.2682,0.008,0.007,0.0029,,0.018,0.0052,0.20677,0.0545,0.2682,0.203207,0.25504,0.339586,0.260398,0.594626,0.132816,4.49478,0.257277,0.0,1.17696e-05,0.0769115,-0.0400666,69.5844,1.17696e-05,0.0,-0.0347900786200625,0.0120000001043081,0.00108911,999.0,,,,sa3007740,-0.26588973929104376,-inf
Scott Bandura,SFG,0.25,1.0,0.9054,0.1697,0.1225,0.0296,0.0027,0.0149,0.0857,0.077,0.0727,0.0,0.3008,0.012,0.007,0.0029,,0.0207,0.0057,0.187431,0.0727,0.3008,0.241689,0.25514,0.275458,0.23941,0.530598,0.0880274,4.75913,0.259427,0.0,0.000196154,0.0600185,-0.0569596,52.7726,0.000196154,0.0,-0.0562787257949821,0.0040000001899898,-0.00195998,999.0,,,,sa3022699,-0.26611060134795056,-inf
Andy Lugo,BOS,0.25,1.0,0.9321,0.1964,0.1442,0.0376,0.0022,0.0124,0.087,0.0819,0.046,0.0,0.254,0.012,0.007,0.0029,,0.0199,0.0054,0.210707,0.046,0.254,0.181102,0.25514,0.295676,0.244274,0.550816,0.0849694,4.57263,0.273525,0.0,0.000197118,0.0639333,-0.0530447,49.8221,0.000197118,0.0,-0.0572169037914136,-0.0120000001043081,-0.00370575,999.0,,,,sa3018400,-0.26617090846742497,-inf
Danny De Andrade,MIN,0.25,1.0,0.915,0.1792,0.1298,0.0336,0.0022,0.0136,0.0857,0.0785,0.0611,0.0,0.2414,0.014,0.007,0.0029,,0.0155,0.0044,0.195847,0.0611,0.2414,0.253107,0.25504,0.281967,0.240855,0.537007,0.0861202,4.26295,0.248276,0.0,-0.000299186,0.0611819,-0.0557962,53.8889,-0.000299186,0.0,-0.0530599095509387,0.0120000001043081,-0.000797757,999.0,,,,sa3015698,-0.26672463159171367,-inf
Braedon Karpathios,SDP,0.25,1.0,0.8835,0.1478,0.1084,0.0259,0.0013,0.0122,0.0817,0.0684,0.0986,0.0,0.3495,0.008,0.007,0.0029,,0.0072,0.002,0.167289,0.0986,0.3495,0.282117,0.25514,0.240973,0.229515,0.496113,0.0736842,3.40596,0.25643,0.0,-0.00106688,0.0520549,-0.0649232,47.8228,-0.00106688,0.0,-0.0634607613319531,-0.0120000001043081,-0.00435416,999.0,,,,sa3019863,-0.2667503954676958,-inf
Joe Redfield,LAA,0.25,1.0,0.924,0.188,0.1431,0.0282,0.0031,0.0136,0.0858,0.0792,0.0561,0.001,0.2363,0.01,0.007,0.0029,,0.0206,0.0058,0.203463,0.0561,0.2363,0.23741,0.254839,0.284848,0.240462,0.539688,0.0813853,4.74539,0.256056,0.0,0.000127761,0.0608659,-0.0561122,51.1649,0.000127761,0.0,-0.0557498205162119,0.0040000001899898,-0.00190179,999.0,,,,sa3022439,-0.26737266226350115,-inf
