Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Edwin Díaz,NYM,3.8238,2.6421,0.0,2.91334,66.0,0.0,35.823,1.5002,66.0,268.949,46.8515,23.2652,21.3645,6.13067,24.42,,3.1682,91.6827,12.5022,3.33,3.75441,0.836,0.340893,0.0907979,0.2500946447253227,0.194114,1.07987,0.283675,0.76579,0.398605,,2.84978,1.06107,1.06508,41.130001068115234,,,,14710,2.2521504980047933,-6.180759087504216e+16
Josh Hader,HOU,3.9277,2.9301,0.0,3.16149,70.0,0.0,32.713,1.5423,70.0,287.474,50.5179,26.4473,24.5894,8.18222,28.05,,2.8195,97.0781,12.4815,3.60643,3.4609,1.052,0.337694,0.097574,0.2401194721460342,0.196871,1.1224,0.279731,0.776612,0.336253,,3.23535,0.938984,1.02416,42.41999816894531,,,,14212,2.1582314674756375,-5.923009482428123e+16
Ryan Helsley,STL,3.7392,2.8247,0.0,3.05257,67.0,0.0,34.604,1.9385,67.0,274.59,51.1086,24.6853,22.7247,6.61067,25.2337,,2.1124,84.4895,11.3493,3.3896,3.34828,0.888,0.307693,0.0918959,0.2157973870635032,0.206713,1.13944,0.284981,0.769996,0.380609,,3.15152,0.976324,1.01075,50.540000915527344,,,,18138,2.1037692076992185,-5.773544290231895e+16
Porter Hodge,CHC,3.3883,3.0766,0.0,3.75029,66.0,0.0,32.268,2.826,66.0,282.655,56.865,29.8305,27.5021,7.28933,30.36,,3.3141,71.5949,9.76294,4.14,2.3582,0.994,0.253294,0.10741,0.1458842232823372,0.228391,1.32159,0.291456,0.74519,0.4231,,3.96336,0.199951,0.392143,161.3300018310547,,,,26413,1.9774623212582838,-5.426910068018158e+16
Devin Williams,NYY,3.4962,2.6758,0.0,3.19896,63.0,0.0,30.654,2.8972,63.0,263.488,48.0811,24.4791,22.3927,6.314,27.9113,,2.7503,80.7451,11.535,3.98733,2.89292,0.902,0.306447,0.10593,0.2005169093608856,0.206511,1.20623,0.286533,0.767106,0.431897,,3.36611,0.656413,0.831964,41.58000183105469,,,,15816,1.9468143390662722,-5.3428003272993384e+16
Mason Miller,ATH,4.0473,2.6143,0.0,2.46188,68.0,0.0,30.338,1.4962,68.0,270.056,44.3248,20.3142,18.6009,5.53822,23.7959,,2.589,100.131,13.2526,3.14946,4.20791,0.733,0.370778,0.0881147,0.2826635763049125,0.181904,1.00178,0.281058,0.791929,0.370705,,2.44427,1.49246,1.54155,44.41999816894531,,,,31757,1.9464251463857838,-5.341732234292743e+16
Alexis Díaz,CIN,3.0965,3.2686,0.0,4.47179,65.0,0.0,28.909,2.7363,65.0,283.967,58.3952,34.3948,32.2963,9.75722,31.0594,,4.2078,70.9508,9.82396,4.30053,2.28436,1.351,0.249856,0.109377,0.1404789835214615,0.234802,1.37622,0.289526,0.726435,0.356254,,4.56254,0.156147,0.189277,141.0,,,,21132,1.9254618371618086,-5.284200926280676e+16
Ryan Walker,SFG,3.9397,3.1139,0.0,3.07904,72.0,0.0,31.687,3.6471,72.0,295.567,58.7624,26.9991,24.6323,6.56,22.8024,,3.8255,85.289,10.6611,2.8503,3.74035,0.82,0.288561,0.077148,0.2114126607775688,0.218497,1.13284,0.294779,0.75387,0.45112,,3.09128,0.736785,0.938827,90.45999908447266,,,,20423,1.8864068926368174,-5.177019277674749e+16
Raisel Iglesias,ATL,3.882,2.9757,0.0,3.4466,70.0,0.0,32.083,1.4783,70.0,289.256,61.9224,29.0035,26.8069,8.15111,19.0548,,2.6207,77.5204,9.96691,2.4499,4.06829,1.048,0.267999,0.0658752,0.2021240517497062,0.231416,1.15682,0.295594,0.747117,0.401995,,3.39434,0.629494,0.813093,52.290000915527344,,,,17130,1.8775826804969418,-5.152802277335775e+16
Paul Skenes,PIT,13.214,8.6175,21.1133,2.7978,30.78,30.78,0.0,0.0,188.104,759.404,147.001,64.6609,58.4754,15.7172,54.993,,7.5265,242.252,11.5907,2.63118,4.40515,0.752,0.319003,0.072416,0.2465870454907417,0.210941,1.07384,0.299111,0.763005,0.470317,,2.67408,5.7802,5.76898,11.170000076293944,,,,33677,1.8737072468612508,-5.142166610810365e+16
Emmanuel Clase,CLE,3.8007,3.0569,0.0,3.10463,70.0,0.0,34.248,1.0545,70.0,286.533,64.3262,26.7804,24.1471,5.76333,16.5731,,2.3226,71.6662,9.21423,2.13083,4.32425,0.741,0.250115,0.0578401,0.1922748982906341,0.240348,1.1557,0.307889,0.743079,0.530371,,2.99902,0.911744,0.86279,34.880001068115234,,,,21032,1.8575362543696579,-5.097787245894511e+16
