Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,HR_z,R_z,RBI_z,SB_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,SV_z,ERA_z,WHIP_z,SV_contribution,ERA_contribution,WHIP_contribution
Shohei Ohtani,LAD,150.0,689.47,591.857,165.738,87.4844,30.3669,4.824,43.0628,123.278,104.198,85.2185,11.721,159.032,5.5158,4.2168,2.6615,,34.169,8.6493,0.28003,0.1236,0.230658,0.535857,0.373426,0.565916,0.393702,0.939342,0.285885,6.76271,0.311375,0.09,2.01671,127.002,46.349,156.353,2.10671,0.0,48.56840825080872,-17.5,5.57994,1.4199999570846558,,,,19755,10.101466514919654,6.598977865243871,5.723371347808574,6.621902360141541,29.045718088113638,4.838,3.161,2.741,3.172,17.195296715516367,54.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elly De La Cruz,CIN,150.0,672.639,597.858,151.036,86.8566,31.144,6.9131,26.1221,98.6332,83.3369,63.0262,2.0179,194.782,5.3811,4.4686,1.9044,,54.2447,14.8568,0.252628,0.0936999,0.289579,0.323573,0.327168,0.458925,0.338111,0.786094,0.206297,7.95462,0.327494,0.713,3.62236,93.8058,15.1218,110.764,4.33536,4.219,12.99328088760376,11.562999725341797,4.84949,4.130000114440918,,,,26668,5.977597645111786,5.213982848733188,4.511596867498943,10.623786928120726,26.32696428946464,2.863,2.497,2.161,5.088,14.47654291686737,46.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Witt Jr.,KCR,150.0,679.473,615.812,182.227,107.585,36.0988,7.7397,30.8039,107.811,96.192,50.281,5.4358,105.797,6.7947,4.5042,2.0806,,35.7028,10.7852,0.295914,0.074,0.155704,0.475261,0.353271,0.529735,0.374104,0.883006,0.233821,7.29197,0.313042,1.536,1.51581,114.443,34.9596,142.475,3.05182,4.922,36.0742073059082,12.42199993133545,7.34788,1.5800000429153442,,,,25764,7.117286635216472,5.729759290925121,5.258320775721824,6.92764963422745,25.033016336090867,3.409,2.744,2.518,3.318,13.182594963493596,42.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Acuña Jr.,ATL,131.22,604.975,522.591,152.561,95.0527,27.8071,2.4776,27.2234,104.612,74.8863,67.6967,1.8149,105.825,8.4696,3.5578,2.6595,,45.5292,10.3348,0.291931,0.1119,0.174924,0.639706,0.379746,0.510903,0.382895,0.890649,0.218971,6.83135,0.318843,1.283,3.58317,106.176,35.4071,146.189,4.86617,-2.06,38.280531883239746,-9.05299997329712,5.09921,30.540000915527344,,,,18401,6.245686731532029,5.549981039212075,4.020720479230608,8.88644153283077,24.70282978280548,2.991,2.658,1.926,4.256,12.85240841020821,41.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Judge,NYY,150.0,664.791,541.592,147.301,76.0999,24.1072,0.7633,46.3302,107.92,113.598,111.219,15.2902,172.551,6.6479,4.7206,0.6109,,7.7844,2.0196,0.271977,0.1673,0.259557,0.64456,0.399241,0.575941,0.407477,0.975183,0.303964,3.66914,0.308372,-0.246,-0.671266,129.826,52.0604,170.412,-0.917266,0.405,52.64217460155487,-7.502999991178513,6.95062,3.630000114440918,,,,15640,10.896848591528661,5.735884901877519,6.269396251332863,1.362403385146716,24.26453312988576,5.219,2.747,3.003,0.653,12.414111757288488,39.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,ARI,150.0,681.551,593.136,156.005,92.5867,27.0696,10.6918,25.6572,106.047,81.385,71.4265,0.6816,125.626,10.2233,4.201,2.564,,41.0021,8.6372,0.263018,0.1048,0.184324,0.568564,0.350014,0.474478,0.35573,0.824493,0.211461,8.18552,0.292225,1.39,3.33253,104.714,24.9872,127.463,4.72253,1.99,27.104623794555664,-4.891000032424927,4.6382,10.880000114440918,,,,25878,5.864427195391663,5.630625550374382,4.398215377159682,7.984010652328542,23.87727877525427,2.809,2.697,2.107,3.824,12.026857402656997,38.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis Jr.,SDP,150.0,678.868,607.317,169.862,95.6598,34.3506,1.639,38.2131,106.71,101.396,57.5002,0.0,141.626,7.4676,4.4989,2.085,,19.2096,4.6533,0.279693,0.0847001,0.208621,0.405999,0.34698,0.530416,0.374368,0.877396,0.250723,5.104,0.30476,1.107,0.689563,114.485,35.0727,145.319,1.79656,2.606,38.58633506298065,-5.099999904632568,5.79319,10.380000114440918,,,,19709,8.920905684617056,5.667885000479337,5.560609456353782,3.6398996401254107,23.789299781575583,4.273,2.715,2.663,1.743,11.938878408978312,38.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Ramírez,CLE,150.0,663.944,592.648,165.452,95.9913,36.7056,2.5198,30.2352,92.875,98.9157,62.0788,15.2707,80.9557,3.9837,4.7356,0.4983,,30.5937,7.4109,0.279174,0.0935,0.121931,0.766824,0.348957,0.502664,0.357595,0.851621,0.22349,5.56686,0.278113,0.896,1.9588,103.005,25.3383,136.574,2.8548,-0.763,30.639519453048703,1.1119999885559082,5.56506,4.880000114440918,,,,13510,6.978848186612829,4.890381995649706,5.416534395905772,5.909203032302612,23.19496761047092,3.343,2.342,2.594,2.83,11.344546237873647,36.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jazz Chisholm Jr.,NYY,140.94,628.61,564.766,138.779,84.7432,22.9291,2.5984,28.5088,87.4826,80.243,52.3004,3.1431,157.796,5.6575,4.1326,1.754,,34.9058,9.7879,0.245729,0.0832,0.251023,0.331444,0.313848,0.446967,0.327067,0.760815,0.201238,6.3384,0.288219,0.698,1.91555,82.0778,8.54416,113.85,2.61355,-1.194,12.57511591911316,1.1549999713897705,3.58221,25.579999923706055,,,,20454,6.558591218669575,4.58733846812941,4.33187916015705,6.768775871385834,22.246584718341868,3.141,2.197,2.075,3.242,10.396163345744597,33.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Henderson,BAL,150.0,684.196,596.605,163.607,93.8465,30.2675,5.3246,34.1689,107.562,90.5556,74.6458,0.6842,145.393,6.1578,4.1582,2.6296,,17.9273,4.5099,0.274231,0.1091,0.212501,0.513409,0.358602,0.51463,0.373951,0.873232,0.240399,5.93487,0.307308,1.006,0.385909,115.154,35.1184,149.46,1.39191,-1.694,40.11241018772125,5.805999994277954,7.09791,5.670000076293945,,,,26289,7.936427446806517,5.715765922786156,4.930914949527749,3.384286307513362,21.967394626633784,3.801,2.738,2.362,1.621,10.116973254036512,32.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
