Name,auction_value
Edwin Díaz,-6.180759087504216e+16
Josh Hader,-5.923009482428123e+16
Ryan Helsley,-5.773544290231895e+16
Porter Hodge,-5.426910068018158e+16
Devin Williams,-5.3428003272993384e+16
Mason Miller,-5.341732234292743e+16
Alexis Díaz,-5.284200926280676e+16
Ryan Walker,-5.177019277674749e+16
Raisel Iglesias,-5.152802277335775e+16
Paul Skenes,-5.142166610810365e+16
Emmanuel Clase,-5.097787245894511e+16
Blake Snell,-5.009725061552255e+16
Tarik Skubal,-4.96933361875809e+16
Dylan Cease,-4.92686409866003e+16
David Bednar,-4.906309876487014e+16
Chris Sale,-4.892634784754625e+16
Trevor Megill,-4.864307667563948e+16
Lucas Erceg,-4.861734186605997e+16
Ben Joyce,-4.850206632161696e+16
Andrés Muñoz,-4.8472580876753064e+16
Zack Wheeler,-4.832801530950001e+16
Robert Suarez,-4.739292475791784e+16
Logan Gilbert,-4.727250840717295e+16
Félix Bautista,-4.688755241295716e+16
Justin Martinez,-4.6727823512812824e+16
Cole Ragans,-4.655526042134863e+16
Pablo López,-4.6061835728387736e+16
Corbin Burnes,-4.5350101199611336e+16
Kevin Gausman,-4.527051646793982e+16
Gerrit Cole,-4.5194341623415576e+16
Garrett Crochet,-4.4933907776567096e+16
Logan Webb,-4.481744848842249e+16
Hunter Greene,-4.476670001177487e+16
Freddy Peralta,-4.469608796862885e+16
Sonny Gray,-4.445288478459506e+16
Framber Valdez,-4.3379727898997176e+16
Michael King,-4.32922981675878e+16
Aaron Nola,-4.302769399968925e+16
Reynaldo López,-4.287075134679468e+16
Carlos Rodón,-4.283766433034895e+16
Luis Castillo,-4.27070364275013e+16
Yusei Kikuchi,-4.27051313217338e+16
Sean Manaea,-4.229306976363828e+16
Seth Lugo,-4.198026192556424e+16
MacKenzie Gore,-4.178428344041663e+16
José Berríos,-4.130938480077986e+16
Shota Imanaga,-4.119727852716712e+16
Taj Bradley,-4.060718672880005e+16
Jordan Romano,-4.057248770308311e+16
Pete Fairbanks,-4.048710996118882e+16
Jacob deGrom,-4.02767478104342e+16
Tanner Bibee,-4.007166185853115e+16
Mitch Keller,-3.9837236080933096e+16
Sandy Alcantara,-3.971522146828493e+16
Nathan Eovaldi,-3.961028204325082e+16
Zac Gallen,-3.957403378498344e+16
Hunter Brown,-3.937186139492328e+16
Chris Bassitt,-3.923237504404716e+16
Luis Severino,-3.9070338931691064e+16
Bailey Ober,-3.885122810601101e+16
Michael Kopech,-3.876380347769765e+16
Ryan Pepiot,-3.8634143424392664e+16
