Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",146.265,641.148,517.048,145.992,75.7201,23.8522,1.03397,45.3854,104.425,111.128,113.713,10.0547,163.841,5.85564,4.14049,0.391191,15.3048,7.61169,1.53469,0.282356,0.177358,0.255543,0.694043,0.414448,0.595821,0.423341,1.01027,0.313465,3.63456,0.322495,0.0102216,-0.561166,133.396,58.3954,177.901,-0.550944,-0.466404,57.88648337125778,-7.60646653175354,7.39902,3.430000066757202,2.85299,0.75435,1.52863,,,,1168.5,8.003424657,1168.5,8.003424657,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",152.85,668.796,606.123,179.804,106.844,35.4102,7.76534,29.7844,105.591,95.9137,49.7579,5.08913,106.977,6.38963,5.48292,1.04197,6.84161,32.8144,10.2321,0.296645,0.0743993,0.159955,0.465126,0.35335,0.528106,0.373345,0.881457,0.231461,7.1745,0.315933,2.1426,1.17256,112.236,34.0013,143.508,3.31516,3.4924,37.360220432281494,10.568763256072998,7.25135,1.6399999856948853,3.91341,1.53989,0.547473,,,,1033.8,6.756862745,1033.8,6.756862745,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",151.261,664.562,583.331,158.877,91.8657,30.0736,5.28516,31.6529,104.565,86.3217,70.6284,1.16573,147.597,5.6293,3.63848,1.33458,4.57416,16.8103,3.9511,0.272362,0.106278,0.222097,0.478521,0.354532,0.504825,0.368435,0.859357,0.232463,6.23514,0.312039,1.46909,0.444149,108.899,31.1601,145.58,1.91324,-1.4249,36.572142243385315,5.577927470207214,6.64113,5.960000038146973,2.93863,-0.55818,0.661533,,,,975.8,6.462251655,975.8,6.462251655,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",151.128,674.537,537.573,150.104,84.5339,27.9435,2.40239,35.2245,109.39,97.3784,127.642,5.26238,112.482,3.92128,4.37999,1.02099,12.0763,8.56226,2.97394,0.279226,0.189229,0.166754,1.13477,0.418204,0.53672,0.408174,0.954924,0.257494,4.19417,0.291391,-1.63281,-1.15601,132.108,53.2021,167.467,-2.78882,-3.83187,50.4574613571167,-11.78047251701355,6.31558,7.929999828338623,2.01018,0.412981,1.15134,,,,1128.3,7.47218543,1128.3,7.47218543,"Juan Soto","20123",665742
"Mookie Betts","LAD",147.268,652.328,566.442,159.358,94.5957,33.4141,3.11979,28.2289,103.505,89.6665,75.6837,2.76222,88.3489,5.03834,4.2158,0.947911,9.50639,15.409,3.21505,0.281332,0.116021,0.135436,0.856646,0.368572,0.500843,0.373135,0.869416,0.219511,5.38941,0.288781,0.178268,0.417807,109.362,33.0537,143.364,0.596075,-2.70865,33.69249939918518,2.7972583770751953,6.01326,12.359999656677246,1.91614,0.106017,0.680022,,,,963.5,6.554421768,963.5,6.554421768,"Mookie Betts","13611",605141
"Shohei Ohtani","LAD",145.098,649.135,556.743,158.585,83.3911,28.8816,5.04225,41.2696,112.065,100.02,82.461,9.99975,148.765,4.77831,3.83663,1.31575,6.46441,33.4177,7.09062,0.284843,0.127032,0.229174,0.554305,0.379464,0.577213,0.400955,0.956677,0.29237,6.9175,0.316601,-0.260308,2.54404,123.362,47.4273,162.502,2.28373,0,49.753581047058105,-13.787442207336426,5.9482,1.5,4.78738,0.931424,0.458641,,,,1135.5,7.831034482,1135.5,7.831034482,"Shohei Ohtani","19755",660271
"José Ramírez","CLE",152.444,662.145,590.062,164.229,94.135,36.866,3.04672,30.1818,94.1432,100.173,63.6161,10.1003,78.7329,2.76845,5.29705,0.401139,7.65873,30.9712,6.91974,0.278326,0.0960758,0.118906,0.807999,0.348495,0.504581,0.360357,0.853076,0.226255,5.90543,0.275566,0.794438,2.20452,104.198,26.7416,138.517,2.99896,-0.634818,32.1803936958313,1.129583477973938,5.71982,5,3.37801,0.390139,0.345189,,,,975.1,6.415131578,975.1,6.415131578,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",137.754,598.027,507.084,152.39,83.8686,30.0602,2.09065,36.3705,90.5373,97.6792,76.2473,10.1003,99.7318,9.96608,4.3118,0.417986,11.6329,3.46562,0.75814,0.300522,0.127498,0.166768,0.764523,0.399263,0.583223,0.412398,0.982486,0.282701,3.3477,0.309143,-0.809953,-0.876571,119.157,49.2009,175.425,-1.68652,-1.16374,49.92450273036957,-14.712757587432861,5.69549,18.81999969482422,3.30366,0.851086,1.3907,,,,1041.9,7.55,1041.9,7.55,"Yordan Alvarez","19556",670541
"Julio Rodríguez","SEA",147.156,642.171,584.022,160.588,103.174,28.1024,1.6664,27.6448,89.4309,84.1331,45.4345,2.84855,152.639,8.08526,3.75126,0.8786,10.6172,27.0384,6.64808,0.274969,0.0707514,0.237693,0.297659,0.333868,0.4708,0.345689,0.804668,0.195831,5.6632,0.326249,0.882695,1.50096,93.4738,18.3538,133.335,2.38365,3.77033,26.87755846977234,5.8539628982543945,5.59132,13.109999656677246,2.2863,-0.464061,0.224852,,,,864.1,5.878231292,864.1,5.878231292,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",150.209,666.988,591.01,153.404,92.9573,30.5244,2.04179,27.8806,99.497,84.1902,59.7659,0.978997,125.715,10.6738,4.22992,1.30758,7.65569,24.615,4.62987,0.259562,0.0896057,0.188482,0.475408,0.336263,0.459643,0.344279,0.795906,0.200081,5.87786,0.284218,0.146927,1.76601,96.3287,18.3057,123.513,1.91293,3.06417,20.262368202209473,9.78174901008606,5.39802,14.710000038146973,3.6968,1.60536,0.632331,,,,876.8,5.845333333,876.8,5.845333333,"Francisco Lindor","12916",596019
