Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.441,6.65637,17.3455,2.66985,28.905,28.905,0,0,0,175.124,700.351,135.372,56.468,51.9506,14.6084,48.1366,0,7.23056,219.989,11.3057,2.47384,4.5701,0.750756,0.314112,0.068732,0.24537987262010574,0.209885,1.04788,0.294268,0.779118,,,2.68701,5.33796,5.8932,11.180000305175781,5.19747,-1.61068,1.76972,5.19747,1.61068,2.64038,1034.5,5.911428571428571,955,5.457142857142857,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.0918,7.03178,17.7434,2.89201,29.5489,29.5489,0,0,0,184.161,729.788,147.153,64.3229,59.1771,17.335,39.25,0,7.47844,213.807,10.4488,1.91816,5.4473,0.84717,0.292971,0.0537828,0.23918801918625832,0.215431,1.01217,0.287259,0.752957,,,2.82942,5.18114,5.15727,13.359999656677246,3.55305,-0.558403,1.72598,3.55305,0.558403,2.6987,1060.3000000000002,5.762500000000001,989,5.375,"Tarik Skubal","22267",669373
"Zack Wheeler","PHI",14.0194,8.13009,20.0954,3.26369,30.1431,30.1431,0,0,0,191.554,771.867,158.618,75.504,69.4637,21.218,47.5113,0.223592,8.31526,205.494,9.65497,2.23228,4.32516,0.996908,0.26623,0.0615538,0.204676304012537,0.221521,1.07609,0.280793,0.740405,,,3.33523,4.55366,4.61046,20.639999389648438,2.24719,0.266585,1.26693,2.24719,-0.266585,3.31076,991.1000000000003,5.161979166666668,929,4.838541666666667,"Zack Wheeler","10310",554430
"Garrett Crochet","BOS",10.8368,8.07787,13.7972,3.21247,30.8873,29.5163,0,0,1.05138,157.052,632.031,123.938,60.9327,56.0581,16.2331,44.6813,0,6.40869,203.855,11.6821,2.56051,4.56242,0.930255,0.322539,0.0706948,0.25184448063373566,0.21334,1.07366,0.298473,0.738121,,,2.89008,4.27753,4.07378,23.290000915527344,7.44482,-1.73394,1.12337,7.44482,1.73394,3.50217,897.6,5.7171974522293,832,5.2993630573248405,"Garrett Crochet","27463",676979
"Logan Webb","SFG",12.8216,10.2031,18.6237,3.45567,30.5985,30.5985,0,0,0,197.762,816.869,189.585,82.5363,75.9334,15.8936,46.1574,1.62704,5.63918,170.667,7.76692,2.10059,3.6975,0.723306,0.208928,0.0565052,0.15242280438542366,0.2478,1.19205,0.300238,0.717622,,,3.27101,4.23364,4.11607,101.61000061035156,3.79947,0.892177,0.954664,3.79947,-0.892177,3.72711,960.4000000000001,4.850505050505051,968,4.888888888888889,"Logan Webb","17995",657277
"Framber Valdez","HOU",13.6067,8.42726,17.8611,3.33273,28.7139,28.7139,0,0,0,186.215,771.822,163.262,74.9523,68.9562,15.7583,57.6862,0,8.43193,183.835,8.88499,2.78804,3.18682,0.761618,0.238184,0.0747403,0.16344354301691055,0.231346,1.18652,0.291446,0.734066,,,3.35734,3.70125,3.97905,62.61000061035156,5.29706,-0.898838,1.09733,5.29706,0.898838,3.53689,925.8000000000002,4.977419354838711,892,4.795698924731183,"Framber Valdez","17295",664285
"Cole Ragans","KCR",11.6372,8.79651,16.4188,3.4984,29.8387,29.7619,0,0.0933623,0,177.555,736.581,148.417,75.0193,69.0178,18.1492,65.681,1.00671,5.79616,202.116,10.2449,3.32927,3.07723,0.919955,0.274397,0.0891701,0.18522701412439346,0.223149,1.20581,0.292844,0.737079,,,3.42634,3.66672,3.65379,48.540000915527344,1.67368,1.38348,1.01122,1.67368,-1.38348,3.65171,899,5.050561797752809,844,4.741573033707865,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.7702,6.62186,14.4225,3.1351,25.9713,25.9713,0,0,0,155.879,629.476,127.86,59.0211,54.2994,16.0841,40.1624,0,7.98271,186.854,10.7884,2.31886,4.65246,0.928653,0.29684,0.0638029,0.2330370917916298,0.219943,1.0779,0.295395,0.749125,,,3.03703,3.63665,4.09546,35.11000061035156,4.96137,0.0835109,1.12116,4.96137,-0.0835109,3.50513,854.8000000000002,5.4794871794871804,802,5.141025641025641,"Chris Sale","10603",519242
"George Kirby","SEA",12.5123,9.34488,17.0182,3.54947,30.091,30.091,0,0,0,180.853,727.839,169.955,77.5282,71.3259,22.6432,24.6529,0.241997,6.94845,171.252,8.52218,1.22683,6.9465,1.12682,0.235288,0.0338714,0.20141635462641716,0.244105,1.07605,0.293249,0.718688,,,3.42449,3.58279,2.87359,43.11000061035156,1.3819,-0.565478,1.1508,1.3819,0.565478,3.4656,860.5,4.754143646408839,852,4.707182320441989,"George Kirby","25436",669923
"Sonny Gray","STL",10.9106,8.3242,14.6416,3.45532,27.6488,27.6488,0,0,0,167.719,686.225,145.979,69.9907,64.3915,17.5708,46.4782,0,5.70557,180.231,9.67139,2.49408,3.87775,0.942872,0.262641,0.0677303,0.1949106529355049,0.230235,1.1475,0.294352,0.729583,,,3.31262,3.56999,3.53633,105.06999969482422,4.66462,-1.49526,0.793242,4.66462,1.49526,3.94234,846.1999999999999,5.036904761904761,810,4.821428571428571,"Sonny Gray","12768",543243
"Logan Gilbert","SEA",12.0028,9.06661,18.2872,3.42981,30.7361,30.7361,0,0,0,194.807,776.77,163.278,80.6947,74.2392,25.0225,39.4515,1.15944,5.33022,201.666,9.31686,1.82264,5.11174,1.15603,0.259621,0.0507892,0.20883192867040634,0.223061,1.04067,0.273611,0.727706,,,3.45552,3.54466,3.44551,26.860000610351562,3.16797,1.44734,1.41669,3.16797,-1.44734,3.11107,983.7,5.044615384615385,922,4.728205128205128,"Logan Gilbert","22250",669302
