Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,558,156,80,26,0,49,114,124,116,15,178,6,5,1,,8,2,0.27849,0.169327,0.258891,0.654046,0.405419,0.590115,0.415388,0.995535,0.311626,3.54241,0.316844,0.0750388,-0.430232,138.337,58.0896,175.977,-0.355193,-3.07158,59.281205505132675,-10.921576499938965,7.35625,3.359999895095825,,,,,,,1227.2,7.718238993,1227.2,7.718238993,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,623,182,107,37,8,30,108,101,50,5,111,6,6,1,,32,11,0.291959,0.0728782,0.161824,0.450354,0.347514,0.523224,0.368573,0.870737,0.231264,7.13101,0.310745,1.43677,0.738225,112.488,32.2414,138.584,2.175,4.06699,32.46059608459473,11.416985511779785,6.89335,1.4900000095367432,,,,,,,1029.1,6.472327044,1029.1,6.472327044,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",157,679,592,162,95,30,6,31,108,95,75,1,150,6,5,1,,17,4,0.274185,0.109753,0.221149,0.496286,0.358701,0.504728,0.370307,0.863429,0.230543,6.23192,0.3153,1.20182,0.30589,112.288,32.8601,146.897,1.50771,-3.00664,37.94254696369171,4.268360614776611,6.69712,5.570000171661377,,,,,,,991.9,6.317834394,991.9,6.317834394,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",159,686,542,151,87,27,2,34,113,100,135,7,112,4,4,1,,8,4,0.279277,0.196635,0.16388,1.19987,0.423188,0.529048,0.407626,0.952236,0.249771,3.81953,0.292585,-1.25856,-1.5808,134.051,53.8039,167.541,-2.83937,-3.87826,52.56583523750305,-12.228257894515991,6.5253,8.300000190734863,,,,,,,1133.9,7.13144654,1133.9,7.13144654,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",157,679,618,172,112,29,2,29,95,92,48,3,159,9,3,1,,28,7,0.277915,0.0703653,0.234067,0.30062,0.336593,0.471886,0.347662,0.80848,0.193971,5.59775,0.329108,0.984793,1.29037,99.9128,20.4847,134.723,2.27517,5.22715,29.252100944519043,7.452152490615845,6.12841,13.319999694824219,,,,,,,917.9,5.846496815,917.9,5.846496815,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",157,679,583,163,98,34,3,28,109,94,84,3,94,7,5,1,,15,3,0.280131,0.123096,0.138322,0.889924,0.373747,0.494935,0.373377,0.868682,0.214804,5.31038,0.289756,0.341069,0.145815,113.966,34.5377,142.673,0.486884,-6.94209,35.13555034995079,-0.21709394454956055,5.94155,12.640000343322754,,,,,,,1001.8,6.380891719,1001.8,6.380891719,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",159,686,607,157,95,31,3,28,101,89,63,2,130,10,5,2,,23,5,0.258735,0.0912817,0.189687,0.481223,0.33603,0.456588,0.34258,0.792619,0.197853,5.92704,0.284777,0.579325,1.30144,98.1365,17.8896,123.76,1.88076,5.46655,21.371596932411194,12.566552639007568,5.86438,15.34000015258789,,,,,,,891.1,5.604402515,891.1,5.604402515,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Shohei Ohtani","LAD",151,651,561,160,83,30,5,42,119,116,79,10,150,5,4,1,,36,6,0.28521,0.122094,0.230813,0.528973,0.376434,0.579395,0.400195,0.955828,0.294185,7.06229,0.316757,0.300655,3.38042,123.318,47.165,160.724,3.68107,0,50.952545166015625,-16.274999618530273,5.82037,1.5700000524520874,,,,,,,1148.9,7.608609271,1148.9,7.608609271,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",152,658,590,163,91,34,1,37,104,101,57,1,141,7,3,1,,19,4,0.27679,0.0866307,0.214183,0.404471,0.345553,0.527006,0.372426,0.872559,0.250217,5.21764,0.304226,0.975946,0.984066,109.937,32.9659,144.012,1.96001,4.94408,36.590184569358826,-2.5059218406677246,5.78317,10.869999885559082,,,,,,,991.8,6.525,991.8,6.525,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"José Ramírez","CLE",156,672,598,164,94,38,3,30,96,102,64,16,81,4,6,0,,29,6,0.274645,0.0952115,0.121055,0.786515,0.345125,0.49888,0.353623,0.844005,0.224235,5.66364,0.272036,0.810259,2.1769,102.106,23.4971,133.779,2.98715,1.77628,28.960365772247314,3.5762815475463867,5.67388,5.230000019073486,,,,,,,972,6.23076923,972,6.23076923,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Yordan Alvarez","HOU",134,581,498,150,83,31,2,34,90,99,69,11,99,9,4,0,,3,0,0.301118,0.119128,0.170049,0.700546,0.393409,0.57489,0.406309,0.9683,0.273772,3.43423,0.313905,-0.534121,-0.778545,112.917,44.9525,171.142,-1.31267,-0.0219759,45.98132121562958,-13.346975710242987,5.37068,17.770000457763672,,,,,,,1002.6,7.482089552,1002.6,7.482089552,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Cal Raleigh","SEA",146,584,517,117,63,23,1,30,71,85,58,2,159,4,4,0,,3,1,0.226631,0.0987994,0.272851,0.3621,0.307051,0.449979,0.325417,0.757031,0.223349,3.12346,0.262213,-0.838253,-0.726587,75.4519,7.16013,119.075,-1.56484,5.58568,11.177286624908447,12.935679912567139,5.25376,86.80999755859375,,,,,,,681.5,4.667808219,681.5,4.667808219,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Patrick Bailey","SFG",128,506,455,108,73,22,1,12,54,52,42,0,121,3,4,1,,4,1,0.236338,0.0831535,0.239273,0.347525,0.302144,0.367974,0.294853,0.670117,0.131636,3.86406,0.293111,-0.0571951,-0.342484,52.9073,-6.23684,90.0897,-0.39968,9.76119,-6.391451269388199,19.636189460754395,5.06765,303.260009765625,,,,,,,471.9,3.68671875,471.9,3.68671875,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Michael Harris II","ATL",146,630,583,169,110,32,4,24,90,82,35,2,121,7,4,1,,19,5,0.290501,0.0557357,0.192283,0.289863,0.335806,0.481254,0.350149,0.81706,0.190753,5.8733,0.329591,0.762143,0.486108,93.9636,20.2674,124.148,1.24825,6.00966,19.440448880195618,8.259664058685303,5.02753,37.810001373291016,,,,,,,852.7,5.840410958,852.7,5.840410958,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Ronald Acuña Jr.","ATL",128,553,474,139,85,26,2,25,101,73,66,2,100,8,3,1,,39,9,0.292763,0.119021,0.181482,0.655828,0.38625,0.517262,0.388212,0.903512,0.224499,6.86763,0.322505,1.00074,3.00568,99.4203,34.7314,149.767,4.00642,-1.50449,36.916247844696045,-7.829487681388855,4.90592,32.77000045776367,,,,,,,897.1,7.00859375,897.1,7.00859375,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Elly De La Cruz","CIN",154,665,594,153,89,31,8,25,101,85,62,2,195,5,3,1,,54,14,0.258032,0.0927837,0.29353,0.316096,0.331185,0.465927,0.342802,0.797112,0.207894,8.29782,0.339866,0.532086,3.95535,95.2514,17.461,113.921,4.48744,2.62956,15.557955265045166,9.6545569896698,4.89099,4.400000095367432,,,,,,,897.7,5.829220779,897.7,5.829220779,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Jackson Merrill","SDP",154,665,616,172,111,31,5,25,84,94,39,2,110,3,5,3,,15,4,0.279551,0.0586167,0.165539,0.354096,0.322563,0.467575,0.338193,0.790139,0.188025,5.58476,0.303556,0.138204,0.155859,92.7845,14.994,120.971,0.294063,5.72022,16.970084607601166,7.895224332809448,4.85513,25.56999969482422,,,,,,,843.9,5.479870129,843.9,5.479870129,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Corey Seager","TEX",126,546,481,136,81,26,1,28,79,80,55,9,93,5,4,1,,2,1,0.282206,0.101525,0.169947,0.59739,0.359714,0.51187,0.368767,0.871584,0.229664,2.55535,0.29683,-0.974427,-1.04854,89.6167,25.7466,143.206,-2.02296,-0.446987,24.969611883163452,3.403012752532959,4.81004,51.599998474121094,,,,,,,805.9,6.396031746,805.9,6.396031746,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",156,626,551,150,95,31,1,23,83,83,68,3,132,4,3,0,,7,2,0.271658,0.108524,0.210963,0.514421,0.353811,0.456352,0.350622,0.810163,0.184694,3.78167,0.317708,-0.641652,-0.567753,93.6652,20.3901,125.287,-1.20941,-1.55383,17.732235431671143,4.446169853210449,4.77168,23.979999542236328,,,,,,,824.5,5.28525641,824.5,5.28525641,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
