Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,9,22,2.83294,32,32,0,0,,198,789,160,68,62,18,42,,7,229,10.4048,1.92806,5.39653,0.829335,0.290208,0.0537768,0.23643137514591217,0.216052,1.02106,0.287462,0.760753,,,2.79998,5.492,5.53042,13.0600004196167,,,,,,,1138.8,5.751515151515151,1067,5.388888888888889,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",11,7,20,3.00654,31,31,0,0,,174,701,139,64,58,17,50,,6,214,11.0708,2.56699,4.31277,0.855152,0.304816,0.0706775,0.23413832485675812,0.215224,1.08517,0.29474,0.754607,,,2.89765,4.79335,4.87452,11.489999771118164,,,,,,,977.1000000000003,5.615517241379312,909,5.224137931034483,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",14,9,20,3.30343,32,32,0,0,,202,822,171,80,74,21,53,,8,214,9.52597,2.35834,4.03928,0.953426,0.260439,0.0644766,0.19596237689256668,0.22446,1.10607,0.284331,0.739518,,,3.33809,4.78531,4.93518,21.149999618530273,,,,,,,1036.9,5.133168316831684,982,4.861386138613861,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,7,20,3.02968,31,31,0,0,,182,744,152,67,61,18,47,,10,224,11.0612,2.30116,4.80678,0.8909,0.301319,0.0626862,0.2386324629187584,0.221168,1.08957,0.300896,0.760307,,,2.92064,4.59,4.94614,36.150001525878906,,,,,,,1007.1999999999998,5.534065934065933,953,5.236263736263736,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Garrett Crochet","BOS",13,7,19,2.99292,31,31,0,0,,157,639,127,57,52,14,49,,5,200,11.4802,2.79469,4.10786,0.812407,0.312688,0.0761194,0.23656869679689407,0.216126,1.11836,0.30252,0.761709,,,2.81346,4.54023,4.60366,23.8700008392334,,,,,,,897.3999999999999,5.71592356687898,841,5.356687898089172,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Jacob deGrom","TEX",9,4,16,2.98818,26,26,0,0,,132,518,100,47,44,16,27,,4,178,12.1186,1.83802,6.59329,1.10409,0.342869,0.0520027,0.29086630791425705,0.205851,0.965066,0.286572,0.768048,,,2.76159,4.04132,3.55721,42.619998931884766,,,,,,,783.0000000000002,5.931818181818183,715,5.416666666666667,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Logan Webb","SFG",13,10,20,3.32421,32,32,0,0,,201,831,194,82,74,16,44,,6,171,7.68098,1.97676,3.88564,0.699165,0.206241,0.0530777,0.15316320583224297,0.24848,1.18614,0.300425,0.724009,,,3.21485,3.94068,4.05057,101.05999755859375,,,,,,,978.2000000000002,4.866666666666667,989,4.920398009950249,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Corbin Burnes","ARI",13,8,19,3.33237,31,31,0,0,,188,774,167,76,70,18,53,,7,188,8.99768,2.53146,3.55434,0.871974,0.243151,0.0684096,0.17474131286144257,0.233477,1.16667,0.292518,0.741369,,,3.38463,3.74271,4.4255,38.90999984741211,,,,,,,931.5999999999999,4.955319148936169,902,4.797872340425532,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Dylan Cease","SDP",13,10,19,3.45978,32,32,0,0,,185,766,150,77,71,21,69,,6,218,10.6443,3.36826,3.16017,1.02132,0.284932,0.0901634,0.19476821273565292,0.216516,1.18515,0.284773,0.750995,,,3.49313,3.68968,3.736,46.83000183105469,,,,,,,931.7,5.036216216216216,863,4.664864864864865,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Cole Ragans","KCR",12,9,18,3.50906,31,31,0,0,,179,749,153,76,70,19,67,,6,201,10.1135,3.36781,3.003,0.938013,0.268262,0.0893313,0.17893101274967194,0.226446,1.23038,0.29454,0.744899,,,3.4979,3.59271,3.92049,48,,,,,,,876.1000000000001,4.89441340782123,831,4.64245810055866,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
