Name
Shohei Ohtani
Bobby Witt Jr.
Elly De La Cruz
Gunnar Henderson
Shohei Ohtani
Juan Soto
Kyle Tucker
Ronald Acuna Jr.
Corbin Carroll
Aaron Judge
Yordan Alvarez
Fernando Tatis Jr.
Julio Rodriguez
James Wood
Jackson Chourio
Vladimir Guerrero Jr.
Jose Ramirez
Jackson Merrill
Paul Skenes
Bryce Harper
Mookie Betts
Wyatt Langford
Francisco Lindor
Jarren Duran
Oneil Cruz
CJ Abrams
Trea Turner
Jazz Chisholm
Rafael Devers
Tarik Skubal
Garrett Crochet
Austin Riley
Corbin Burnes
Logan Gilbert
Cole Ragans
Corey Seager
Luis Robert
Yoshinobu Yamamoto
Riley Greene
Matt Olson
Pete Alonso
Jasson Dominguez
Freddie Freeman
Dylan Cease
Jack Flaherty
Ketel Marte
Brenton Doyle
George Kirby
Hunter Greene
Zach Neto
Michael Harris
Dylan Crews
Junior Caminero
Jackson Holliday
Zack Wheeler
Chris Sale
Gerrit Cole
Blake Snell
Ozzie Albies
Lawrence Butler
Spencer Strider
Teoscar Hernandez
Manny Machado
Michael King
Grayson Rodriguez
Spencer Steer
Marcell Ozuna
Jose Altuve
Kyle Schwarber
Pablo Lopez
Freddy Peralta
Luis Castillo
Aaron Nola
Spencer Schwellenbach
Shota Imanaga
Tyler Glasnow
Bryce Miller
Tanner Bibee
Framber Valdez
William Contreras
Brent Rooker
Triston Casas
Willy Adames
Royce Lewis
Jordan Westburg
Matt McLain
Pete Crow-Armstrong
Anthony Volpe
Kristian Campbell
Roman Anthony
Matt Shaw
Bailey Ober
Joe Ryan
Zac Gallen
Carson Williams
Jared Jones
Shane McClanahan
Eury Perez
Emmanuel Rodriguez
Noah Schultz
Samuel Basallo
Leodalis De Vries
Walker Jenkins
Shohei Ohtani
Jacob deGrom
Josh Naylor
Jordan Lawlar
Anthony Santander
Logan Webb
Hunter Brown
Adley Rutschman
Bryan Reynolds
Seiya Suzuki
Vinnie Pasquantino
Adolis Garcia
Evan Carter
Bubba Chandler
Travis Bazzana
JJ Wetherholt
Josue De Paula
Sebastian Walcott
Max Clark
Max Fried
Justin Steele
Kodai Senga
Kumar Rocker
Ryan Pepiot
Bryan Woo
Taj Bradley
Jackson Jobe
Yainer Diaz
Francisco Alvarez
Cody Bellinger
Mark Vientos
Shane Baz
Andrew Painter
Mason Miller
Randy Arozarena
Tyler O’Neill
Coby Mayo
Bryce Eldridge
Mike Trout
