Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,564,169,83,28,1,57,111,138,113,8,174,6,4,0,,9,2,0.300132,0.164489,0.25346,0.648975,0.419105,0.658071,0.447635,1.07718,0.357939,3.15826,0.332222,0.0930699,-0.680453,156.141,75.8943,198.66,-0.587384,0.376775,76.85372519493103,-7.473224610090256,9.52723,3.359999895095825,,,,,,,1373.6,8.63899371,1373.6,8.63899371,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,622,190,110,39,8,33,112,106,51,4,111,6,7,0,,36,10,0.306421,0.0737158,0.161127,0.457502,0.360912,0.553052,0.385879,0.913963,0.24663,7.33063,0.325124,1.78015,2.05431,122.043,41.7964,150.757,3.83446,4.83014,43.67509317398071,12.180140972137451,8.13037,1.4900000095367432,,,,,,,1122.3,7.058490566,1122.3,7.058490566,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",157,679,615,177,112,31,2,32,87,97,51,4,161,9,5,0,,32,7,0.287761,0.0744649,0.236448,0.314931,0.347834,0.501502,0.362626,0.849336,0.213741,5.40003,0.339313,1.22115,2.25813,108.091,28.6624,145.249,3.47928,4.48578,38.63394021987915,6.71078085899353,7.02077,13.319999694824219,,,,,,,999.5,6.366242038,999.5,6.366242038,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",157,679,592,163,91,34,7,32,106,99,75,4,159,5,6,0,,18,4,0.27578,0.110617,0.234101,0.472521,0.359163,0.51568,0.372129,0.874843,0.2399,6.52204,0.323139,1.47876,0.751375,113.284,33.8556,148.178,2.23013,-1.63406,39.66050887107849,5.640937089920044,7.0163,5.570000171661377,,,,,,,1023.1,6.516560509,1023.1,6.516560509,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",159,686,549,159,90,30,2,37,107,103,129,7,109,3,5,0,,10,5,0.28912,0.187444,0.159415,1.17583,0.423465,0.55285,0.415024,0.976314,0.26373,4.06657,0.298837,-1.56655,-1.51258,138.135,57.8885,172.52,-3.07913,-3.99258,56.41063356399536,-12.342577695846558,6.91058,8.300000190734863,,,,,,,1188.6,7.475471698,1188.6,7.475471698,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,651,563,164,82,31,5,47,109,121,79,6,149,5,4,0,,35,10,0.291181,0.120846,0.228524,0.528809,0.380105,0.611292,0.414784,0.991397,0.320111,6.64284,0.315746,0.367106,1.81616,130.962,54.8093,170.543,2.18327,0,57.0990195274353,-16.274999618530273,6.45516,1.5700000524520874,,,,,,,1206.1,7.987417218,1206.1,7.987417218,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",134,581,499,154,84,30,2,37,89,103,68,5,97,9,5,0,,4,1,0.30856,0.117665,0.167381,0.702979,0.398645,0.601183,0.42037,0.999828,0.292623,3.47565,0.316245,-0.682999,-0.917765,119.492,51.528,181.033,-1.60076,-0.0416931,52.26865804195404,-13.366692945361137,6.01798,17.770000457763672,,,,,,,1045.4,7.801492537,1045.4,7.801492537,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr.","TOR",156,672,590,181,110,37,1,33,93,104,70,5,90,6,5,0,,6,2,0.307552,0.104844,0.134374,0.780242,0.384367,0.54358,0.39456,0.927947,0.236028,3.27318,0.314292,-1.92039,-1.04531,124.248,45.6387,162.68,-2.9657,-2.58654,45.22964310646057,-13.686537981033325,5.57127,14.979999542236328,,,,,,,1080.6,6.926923076,1080.6,6.926923076,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Fernando Tatis Jr.","SDP",152,658,591,166,94,33,2,37,88,107,57,4,141,6,5,0,,22,5,0.280581,0.0860265,0.214594,0.40088,0.347323,0.531274,0.372732,0.878598,0.250693,5.00421,0.308471,1.16446,1.20242,110.1,33.128,144.218,2.36688,2.29837,37.15916037559509,-5.151626348495483,5.56869,10.869999885559082,,,,,,,1010.3,6.646710526,1010.3,6.646710526,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",128,553,478,146,87,28,2,29,80,86,63,4,99,8,4,0,,40,11,0.305202,0.113482,0.17826,0.636609,0.39195,0.553225,0.40153,0.945175,0.248024,5.73935,0.329705,1.20432,2.52769,105.348,40.659,158.731,3.73201,-1.73491,42.56945729255676,-8.059910416603088,5.46597,32.77000045776367,,,,,,,963,7.5234375,963,7.5234375,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
