Name,dollar_value
Tarik Skubal,56.0
Paul Skenes,55.06666666666666
Garrett Crochet,54.13333333333333
Zack Wheeler,53.199999999999996
Corbin Burnes,52.266666666666666
Jacob deGrom,51.33333333333333
Shane McClanahan,50.4
Shohei Ohtani,49.46666666666666
Michael King,48.53333333333333
Logan Gilbert,47.599999999999994
George Kirby,46.666666666666664
Cole Ragans,45.73333333333333
Yoshinobu Yamamoto,44.8
Tyler Glasnow,43.86666666666667
Roki Sasaki,42.93333333333333
Gerrit Cole,42.0
Max Fried,41.06666666666666
Joe Ryan,40.13333333333333
Bailey Ober,39.199999999999996
Aaron Nola,38.266666666666666
Pablo López,37.33333333333333
Chris Sale,36.4
Blake Snell,35.46666666666666
Dylan Cease,34.53333333333333
Shota Imanaga,33.599999999999994
Grayson Rodriguez,32.666666666666664
Spencer Schwellenbach,31.733333333333334
Luis Castillo,30.8
Bryan Woo,29.866666666666667
Sandy Alcantara,28.933333333333334
Justin Steele,28.0
Zac Gallen,27.066666666666666
Framber Valdez,26.133333333333333
Jared Jones,25.2
Bryce Miller,24.266666666666666
Tanner Bibee,23.333333333333332
Sonny Gray,22.400000000000002
Logan Webb,21.46666666666667
Shane Baz,20.533333333333335
Freddy Peralta,19.6
Hunter Brown,18.666666666666668
Carlos Rodón,17.733333333333334
Spencer Strider,16.8
Kodai Senga,15.866666666666667
Ryan Pepiot,14.933333333333334
Gavin Williams,14.0
Yusei Kikuchi,13.066666666666666
Robbie Ray,12.133333333333333
Luis Gil,11.200000000000001
Hunter Greene,10.266666666666667
Reynaldo López,9.333333333333334
Jack Flaherty,8.4
Bobby Miller,7.466666666666667
Walker Buehler,6.533333333333333
Zach Eflin,5.6000000000000005
Seth Lugo,4.666666666666667
Lucas Giolito,3.7333333333333334
Nathan Eovaldi,2.8
Ronel Blanco,1.8666666666666667
Yu Darvish,0.9333333333333333
Brandon Woodruff,1.0
Ryne Nelson,1.0
Spencer Arrighetti,1.0
Drew Rasmussen,1.0
Dustin May,1.0
Clarke Schmidt,1.0
Jeffrey Springs,1.0
Reese Olson,1.0
Jackson Jobe,1.0
Noah Shultz,1.0
Kumar Rocker,1.0
Bubba Chandler,1.0
Taj Bradley,1.0
MacKenzie Gore,1.0
Jesús Luzardo,1.0
Kevin Gausman,1.0
Max Scherzer,1.0
Bowden Francis,1.0
Grant Holmes,1.0
Edward Cabrera,1.0
Cristopher Sánchez,1.0
Tobias Myers,1.0
Cody Bradford,1.0
Kutter Crawford,1.0
Sean Manaea,1.0
Brayan Bello,1.0
Merrill Kelly,1.0
Nick Pivetta,1.0
Tanner Houck,1.0
José Berríos,1.0
Michael Wacha,1.0
Ranger Suárez,1.0
Eury Pérez,1.0
Kyle Bradish,1.0
Cristian Javier,1.0
Shane Bieber,1.0
Andrew Painter,1.0
Nick Lodolo,1.0
Sean Burke,1.0
David Festa,1.0
