Name, Position
Tarik Skubal, SP
Garrett Crochet,SP
Paul Skenes,SP
Zack Wheeler,SP
Corbin Burnes,SP
Jacob deGrom,SP
Logan Gilbert,SP
Cole Ragans,SP
Michael King,SP
George Kirby,SP
Gerrit Cole,SP
Max Fried,SP
Tyler Glasnow,SP
Shota Imanaga,SP
Joe Ryan,SP
Dylan Cease,SP
Blake Snell,SP
Spencer Strider,SP
Chris Sale,SP
Yoshinobu Yamamoto,SP
Pablo López,SP
Justin Steele,SP
Bailey Ober,SP
Tanner Bibee,SP
Bryce Miller,SP
Framber Valdez,SP
Logan Webb,SP
Spencer Schwellenbach,SP
Shane McClanahan,SP
Roki Sasaki,SP
Bryan Woo,SP
Grayson Rodriguez,SP
Freddy Peralta,SP
Sandy Alcantara,SP
Luis Castillo,SP
Aaron Nola,SP
Robbie Ray,SP
Sonny Gray,SP
Jared Jones,SP
Jack Flaherty,SP
Shohei Ohtani,SP
Hunter Greene,SP
Carlos Rodón,SP
Kodai Senga,SP
Ryan Pepiot,SP
Zac Gallen,SP
Yu Darvish,SP
Hunter Brown,SP
Seth Lugo,SP
Reynaldo López,SP
Shane Baz,SP
Cristopher Sánchez,SP
Ronel Blanco,SP
Jeffrey Springs,SP
Nathan Eovaldi,SP
Spencer Arrighetti,SP
Dustin May,SP
Gavin Williams,SP
Bubba Chandler,SP
Jackson Jobe,SP
Brandon Woodruff,SP
Kevin Gausman,SP
Lucas Giolito,SP
Walker Buehler,SP
Jesús Luzardo,SP
Drew Rasmussen,SP
Bobby Miller,SP
Tanner Houck,SP
Luis Gil,SP
Taj Bradley,SP
Yusei Kikuchi,SP
Nick Lodolo,SP
Sean Manaea,SP
MacKenzie Gore,SP
Grant Holmes,SP
Clay Holmes,SP
Kumar Rocker,SP
Bowden Francis,SP
Nick Pivetta,SP
Zach Eflin,SP
Reese Olson,SP
Clarke Schmidt,SP
Nestor Cortes,SP
José Soriano,SP
Merrill Kelly,SP
Kutter Crawford,SP
Matthew Boyd,SP
Tobias Myers,SP
Kris Bubic,SP
Edward Cabrera,SP
David Festa,SP
Hayden Wesneski,SP
Brandon Pfaadt,SP
DJ Herz,SP
Hayden Birdsong,SP
Eury Pérez,SP
Sawyer Gipson-Long,SP
Kyle Bradish,SP
Cristian Javier,SP
Shane Bieber,SP
