Name, Position
Paul Skenes,SP
Tarik Skubal,SP
Zack Wheeler,SP
Corbin Burnes,SP
Logan Gilbert,SP
Chris Sale,SP
Garrett Crochet,SP
Cole Ragans,SP
Dylan Cease,SP
George Kirby,SP
Gerrit Cole,SP
Framber Valdez,SP
Blake Snell,SP
Jacob deGrom,SP
Tyler Glasnow,SP
Max Fried,SP
Hunter Brown,SP
Grayson Rodriguez,SP
Bryce Miller,SP
Luis Castillo,SP
Spencer Strider,SP
Shohei Ohtani,SP
Roki Sasaki,SP
Yoshinobu Yamamoto,SP
Pablo López,SP
Logan Webb,SP
Aaron Nola,SP
Michael King,SP
Joe Ryan,SP
Freddy Peralta,SP
Tanner Bibee,SP
Bryan Woo,SP
Hunter Greene,SP
Spencer Schwellenbach,SP
Justin Steele,SP
Shota Imanaga,SP
Jared Jones,SP
Zac Gallen,SP
Ryan Pepiot,SP
Sonny Gray,SP
Reynaldo López,SP
Shane McClanahan,SP
Kodai Senga,SP
Clarke Schmidt,SP
Yusei Kikuchi,SP
Brandon Pfaadt,SP
Carlos Rodón,SP
Robbie Ray,SP
Luis Gil,SP
Jack Flaherty,SP
Cristopher Sánchez,SP
Sandy Alcantara,SP
Clay Holmes,SP
Taj Bradley,SP
Bailey Ober,SP
Gavin Williams,SP
Nathan Eovaldi,SP
Reese Olson,SP
Nick Pivetta,SP
Nick Lodolo,SP
Spencer Arrighetti,SP
Tanner Houck,SP
Kevin Gausman,SP
Shane Baz,SP
Seth Lugo,SP
Yu Darvish,SP
Zach Eflin,SP
Luis Severino,SP
Sean Manaea,SP
Ranger Suárez,SP
Nestor Cortes,SP
MacKenzie Gore,SP
Mitch Keller,SP
Jesús Luzardo,SP
José Soriano,SP
Kumar Rocker,SP
Drew Rasmussen,SP
Luis L. Ortiz,SP
Brayan Bello,SP
Bowden Francis,SP
Max Scherzer,SP
Jackson Jobe,SP
Osvaldo Bido,SP
Grant Holmes,SP
Ronel Blanco,SP
Justin Verlander,SP
Kutter Crawford,SP
Aaron Civale,SP
Lucas Giolito,SP
Frankie Montas,SP
José Berríos,SP
Michael Wacha,SP
Edward Cabrera,SP
Sean Burke,SP
Dustin May,SP
Eury Perez,SP
Jordan Hicks,SP
Matthew Boyd,SP
Jeffrey Springs,SP
Tobias Myers,SP
Casey Mize,SP
Reid Detmers,SP
David Festa,SP
David Peterson,SP
Kyle Harrison,SP
Mitch Spence,SP
Hayden Wesneski,SP
Dean Kremer,SP
Chris Bassitt,SP
Walker Buehler,SP
Andrew Abbott,SP
Ryan Weathers,SP
Simeon Woods Richardson,SP
Merrill Kelly,SP
Nick Martinez,SP
Jack Leiter,SP
Hayden Birdsong,SP
Tylor Megill,SP
Davis Martin,SP
DL Hall,SP
Tony Gonsolin,SP
Jameson Taillon,SP
Zack Littell,SP
Tomoyuki Sugano,SP
Randy Vásquez,SP
Erick Fedde,SP
Chris Paddack,SP
DJ Herz,SP
Charlie Morton,SP
Brandon Woodruff,SP
Zebby Matthews,SP
Slade Cecconi,SP
Ben Brown,SP
Bobby Miller,SP
Joey Cantillo,SP
Jake Irvin,SP
Tyler Mahle,SP
Ryne Nelson,SP
Marcus Stroman,SP
Javier Assad,SP
Paul Blackburn,SP
Jordan Montgomery,SP
Joe Boyle,SP
Tyler Anderson,SP
Cade Povich,SP
Keaton Winn,SP
Matt Waldron,SP
Max Meyer,SP
Cody Bradford,SP
Eduardo Rodriguez,SP
Triston McKenzie,SP
Cooper Criswell,SP
Andre Pallante,SP
Graham Ashcraft,SP
Spencer Turnbull,SP
Bryse Wilson,SP
Michael Lorenzen,SP
Steven Matz,SP
Brady Singer,SP
Keider Montero,SP
Kyle Gibson,SP
Andrew Heaney,SP
Landon Knack,SP
Jakob Junis,SP
Mason Black,SP
Patrick Sandoval,SP
Louie Varland,SP
JP Sears,SP
Yariel Rodríguez,SP
Kenta Maeda,SP
Colin Rea,SP
Miles Mikolas,SP
Jack Kochanowicz,SP
Martín Pérez,SP
Jose Quintana,SP
Drew Thorpe,SP
Joey Estes,SP
Jon Gray,SP
Matthew Liberatore,SP
Shinnosuke Ogasawara,SP
Jordan Wicks,SP
Lance Lynn,SP
Bryce Elder,SP
Dane Dunning,SP
Jonathan Cannon,SP
Christian Scott,SP
Kyle Bradish,SP
Carlos Carrasco,SP
Joe Ross,SP
Adrian Houser,SP
Trevor Rogers
