Name,dollar_value
Tarik Skubal,56.0
Paul Skenes,55.06666666666666
Zack Wheeler,54.13333333333333
Garrett Crochet,53.199999999999996
Jacob deGrom,52.266666666666666
Logan Gilbert,51.33333333333333
George Kirby,50.4
Corbin Burnes,49.46666666666666
Chris Sale,48.53333333333333
Blake Snell,47.599999999999994
Yoshinobu Yamamoto,46.666666666666664
Tyler Glasnow,45.73333333333333
Shohei Ohtani,44.8
Gerrit Cole,43.86666666666667
Michael King,42.93333333333333
Cole Ragans,42.0
Max Fried,41.06666666666666
Shane McClanahan,40.13333333333333
Roki Sasaki,39.199999999999996
Grayson Rodriguez,38.266666666666666
Tanner Bibee,37.33333333333333
Shota Imanaga,36.4
Joe Ryan,35.46666666666666
Bailey Ober,34.53333333333333
Dylan Cease,33.599999999999994
Logan Webb,32.666666666666664
Framber Valdez,31.733333333333334
Aaron Nola,30.8
Luis Castillo,29.866666666666667
Pablo López,28.933333333333334
Zach Eflin,28.0
Bryce Miller,27.066666666666666
Freddy Peralta,26.133333333333333
Carlos Rodón,25.2
Zac Gallen,24.266666666666666
Justin Steele,23.333333333333332
Sonny Gray,22.400000000000002
Jack Flaherty,21.46666666666667
Hunter Greene,20.533333333333335
Hunter Brown,19.6
Jared Jones,18.666666666666668
Ryan Pepiot,17.733333333333334
Spencer Schwellenbach,16.8
Bryan Woo,15.866666666666667
Shane Baz,14.933333333333334
Seth Lugo,14.0
Reynaldo López,13.066666666666666
Cristopher Sánchez,12.133333333333333
Clarke Schmidt,11.200000000000001
Luis Gil,10.266666666666667
Yusei Kikuchi,9.333333333333334
Tanner Houck,8.4
Ronel Blanco,7.466666666666667
Bowden Francis,6.533333333333333
Reese Olson,5.6000000000000005
Sean Manaea,4.666666666666667
Tobias Myers,3.7333333333333334
Ranger Suárez,2.8
Taj Bradley,1.8666666666666667
Gavin Williams,0.9333333333333333
Ryne Nelson,1.0
MacKenzie Gore,1.0
Brandon Pfaadt,1.0
Mitch Keller,1.0
Kutter Crawford,1.0
Edward Cabrera,1.0
Grant Holmes,1.0
Reid Detmers,1.0
DL Hall,1.0
AJ Smith-Shawver,1.0
Casey Mize,1.0
JP Sears,1.0
Aaron Ashby,1.0
Robbie Ray,1.0
Walker Buehler,1.0
Spencer Strider,1.0
Yu Darvish,1.0
Drew Rasmussen,1.0
Kodai Senga,1.0
Bobby Miller,1.0
Max Scherzer,1.0
Sandy Alcantara,1.0
Jeffrey Springs,1.0
Brandon Woodruff,1.0
Lucas Giolito,1.0
Michael Wacha,1.0
Kevin Gausman,1.0
Nathan Eovaldi,1.0
Luis Severino,1.0
Nick Pivetta,1.0
José Berríos,1.0
Matthew Boyd,1.0
Zack Littell,1.0
Merrill Kelly,1.0
David Peterson,1.0
Justin Verlander,1.0
Nestor Cortes,1.0
Frankie Montas,1.0
Brady Singer,1.0
Tyler Anderson,1.0
Jameson Taillon,1.0
Nick Martinez,1.0
Chris Bassitt,1.0
Andrew Heaney,1.0
Charlie Morton,1.0
Steven Matz,1.0
Kumar Rocker,1.0
Jackson Jobe,1.0
David Festa,1.0
Spencer Arrighetti,1.0
DJ Herz,1.0
Brayan Bello,1.0
Bubba Chandler,1.0
Joey Cantillo,1.0
Andrew Painter,1.0
José Soriano,1.0
Rhett Lowder,1.0
Sean Burke,1.0
Shane Bieber,1.0
Nick Lodolo,1.0
Luis Garcia,1.0
Alex Cobb,1.0
Dustin May,1.0
Jesús Luzardo,1.0
Cristian Javier,1.0
Kyle Wright,1.0
Kyle Bradish,1.0
Eury Pérez,1.0
Braxton Garrett,1.0
Eduardo Rodriguez,1.0
Cody Bradford,1.0
Tony Gonsolin,1.0
Tyler Mahle,1.0
Ben Brown,1.0
Max Meyer,1.0
Luis L. Ortiz,1.0
Cade Povich,1.0
Tylor Megill,1.0
Jake Irvin,1.0
Michael Lorenzen,1.0
Jordan Wicks,1.0
Osvaldo Bido,1.0
Andrew Abbott,1.0
Jordan Montgomery,1.0
Triston McKenzie,1.0
Hayden Birdsong,1.0
Landon Knack,1.0
Chase Silseth,1.0
Davis Martin,1.0
Louie Varland,1.0
Griffin Canning,1.0
Landen Roupp,1.0
Jon Gray,1.0
Erick Fedde,1.0
Aaron Civale,1.0
José Quintana,1.0
Miles Mikolas,1.0
Kyle Harrison,1.0
Ryan Weathers,1.0
Dean Kremer,1.0
Clay Holmes,1.0
Quinn Mathews,1.0
Simeon Woods Richardson,1.0
Alec Marsh,1.0
Lance Lynn,1.0
Albert Suárez,1.0
Ben Lively,1.0
Chris Paddack,1.0
Matt Waldron,1.0
Javier Assad,1.0
Will Warren,1.0
Richard Fitts,1.0
Matt Manning,1.0
Paul Blackburn,1.0
Ian Anderson,1.0
Trevor Rogers,1.0
Colin Rea,1.0
Jonathan Cannon,1.0
Michael Grove,1.0
Graham Ashcraft,1.0
Germán Márquez,1.0
Sawyer Gipson-Long,1.0
Joe Boyle,1.0
Josiah Gray,1.0
Jordan Hicks,1.0
Mitch Spence,1.0
Tomoyuki Sugano,1.0
Keider Montero,1.0
Kyle Gibson,1.0
Emerson Hancock,1.0
Logan Allen,1.0
Anthony DeSclafani,1.0
Valente Bellozo,1.0
Bryce Elder,1.0
Dane Dunning,1.0
Marcus Stroman,1.0
Bailey Falter,1.0
Drew Thorpe,1.0
Jack Kochanowicz,1.0
Cade Horton,1.0
