Name, Position
Tarik Skubal,SP
Paul Skenes,SP
Zack Wheeler,SP
Garrett Crochet,SP
Jacob deGrom,SP
Logan Gilbert,SP
George Kirby,SP
Corbin Burnes,SP
Chris Sale,SP
Blake Snell,SP
Yoshinobu Yamamoto,SP
Tyler Glasnow,SP
Shohei Ohtani,SP
Gerrit Cole,SP
Michael King,SP
Cole Ragans,SP
Max Fried,SP
Shane McClanahan,SP
Roki Sasaki,SP
Grayson Rodriguez,SP
Tanner Bibee,SP
Shota Imanaga,SP
Joe Ryan,SP
Bailey Ober,SP
Dylan Cease,SP
Logan Webb,SP
Framber Valdez,SP
Aaron Nola,SP
Luis Castillo,SP
Pablo López,SP
Zach Eflin,SP
Bryce Miller,SP
Freddy Peralta,SP
Carlos Rodón,SP
Zac Gallen,SP
Justin Steele,SP
Sonny Gray,SP
Jack Flaherty,SP
Hunter Greene,SP
Hunter Brown,SP
Jared Jones,SP
Ryan Pepiot,SP
Spencer Schwellenbach,SP
Bryan Woo,SP
Shane Baz,SP
Seth Lugo,SP
Reynaldo López,SP
Cristopher Sánchez,SP
Clarke Schmidt,SP
Luis Gil,SP
Yusei Kikuchi,SP
Tanner Houck,SP
Ronel Blanco,SP
Bowden Francis,SP
Reese Olson,SP
Sean Manaea,SP
Tobias Myers,SP
Ranger Suárez,SP
Taj Bradley,SP
Gavin Williams,SP
Ryne Nelson,SP
MacKenzie Gore,SP
Brandon Pfaadt,SP
Mitch Keller,SP
Kutter Crawford,SP
Edward Cabrera,SP
Grant Holmes,SP
Reid Detmers,SP
DL Hall,SP
AJ Smith-Shawver,SP
Casey Mize,SP
JP Sears,SP
Aaron Ashby,SP
Robbie Ray,SP
Walker Buehler,SP
Spencer Strider,SP
Yu Darvish,SP
Drew Rasmussen,SP
Kodai Senga,SP
Bobby Miller,SP
Max Scherzer,SP
Sandy Alcantara,SP
Jeffrey Springs,SP
Brandon Woodruff,SP
Lucas Giolito,SP
Michael Wacha,SP
Kevin Gausman,SP
Nathan Eovaldi,SP
Luis Severino,SP
Nick Pivetta,SP
José Berríos,SP
Matthew Boyd,SP
Zack Littell,SP
Merrill Kelly,SP
David Peterson,SP
Justin Verlander,SP
Nestor Cortes,SP
Frankie Montas,SP
Brady Singer,SP
Tyler Anderson,SP
Jameson Taillon,SP
Nick Martinez,SP
Chris Bassitt,SP
Andrew Heaney,SP
Charlie Morton,SP
Steven Matz,SP
Kumar Rocker,SP
Jackson Jobe,SP
David Festa,SP
Spencer Arrighetti,SP
DJ Herz,SP
Brayan Bello,SP
Bubba Chandler,SP
Joey Cantillo,SP
Andrew Painter,SP
José Soriano,SP
Rhett Lowder,SP
Sean Burke,SP
Shane Bieber,SP
Nick Lodolo,SP
Luis Garcia,SP
Alex Cobb,SP
Dustin May,SP
Jesús Luzardo,SP
Cristian Javier,SP
Kyle Wright,SP
Kyle Bradish,SP
Eury Pérez,SP
Braxton Garrett,SP
Eduardo Rodriguez,SP
Cody Bradford,SP
Tony Gonsolin,SP
Tyler Mahle,SP
Ben Brown,SP
Max Meyer,SP
Luis L. Ortiz,SP
Cade Povich,SP
Tylor Megill,SP
Jake Irvin,SP
Michael Lorenzen,SP
Jordan Wicks,SP
Osvaldo Bido,SP
Andrew Abbott,SP
Jordan Montgomery,SP
Triston McKenzie,SP
Hayden Birdsong,SP
Landon Knack,SP
Chase Silseth,SP
Davis Martin,SP
Louie Varland,SP
Griffin Canning,SP
Landen Roupp,SP
Jon Gray,SP
Erick Fedde,SP
Aaron Civale,SP
José Quintana,SP
Miles Mikolas,SP
Kyle Harrison,SP
Ryan Weathers,SP
Dean Kremer,SP
Clay Holmes,SP
Quinn Mathews,SP
Simeon Woods Richardson,SP
Alec Marsh,SP
Lance Lynn,SP
Albert Suárez,SP
Ben Lively,SP
Chris Paddack,SP
Matt Waldron,SP
Javier Assad,SP
Will Warren,SP
Richard Fitts,SP
Matt Manning,SP
Paul Blackburn,SP
Ian Anderson,SP
Trevor Rogers,SP
Colin Rea,SP
Jonathan Cannon,SP
Michael Grove,SP
Graham Ashcraft,SP
Germán Márquez,SP
Sawyer Gipson-Long,SP
Joe Boyle,SP
Josiah Gray,SP
Jordan Hicks,SP
Mitch Spence,SP
Tomoyuki Sugano,SP
Keider Montero,SP
Kyle Gibson,SP
Emerson Hancock,SP
Logan Allen,SP
Anthony DeSclafani,SP
Valente Bellozo,SP
Bryce Elder,SP
Dane Dunning,SP
Marcus Stroman,SP
Bailey Falter,SP
Drew Thorpe,SP
Jack Kochanowicz,SP
Cade Horton
