Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.1496,8.6877,21.0913,2.80426,30.78,30.78,0,0,,188.104,760.018,147.634,64.8116,58.6104,15.5709,54.9797,0.437,7.5325,241.68,11.5633,2.63055,4.3958,0.745,0.317992,0.07234,0.2456519454717636,0.211659,1.07713,0.299969,0.762118,0.470836,,2.66994,5.78761,5.76599,11.489999771118164,,,,,,,1104.6000000000001,5.875531914893617,1027,5.462765957446808,4.21,3.75,3.44,3.2,2.99,2.8,2.6,2.39,2.12,3.72,3.48,3.32,3.19,3.07,2.95,2.83,2.7,2.53,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.1942,6.8064,16.5028,2.88145,25.92,25.92,0,0,,152.018,602.766,116.386,52.77,48.6701,17.2286,30.0919,0.302,4.93,206.021,12.1972,1.78155,6.8464,1.02,0.341793,0.049923,0.291869830340147,0.204997,0.963559,0.287834,0.765851,0.383545,,2.62046,5.12085,4.23874,42.619998931884766,,,,,,,921.1,6.059868421052632,846,5.565789473684211,4.34,3.82,3.49,3.22,3,2.78,2.57,2.35,2.07,3.78,3.52,3.35,3.21,3.09,2.96,2.84,2.7,2.52,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.2989,9.4647,21.6165,2.9237,32,32,0,0,,196.234,787.456,160.299,69.9989,63.7477,20.0595,44.9748,0.3016,7.9903,228.402,10.4753,2.06271,5.07843,0.92,0.29005,0.057114,0.23293592035770416,0.218245,1.04607,0.288542,0.763444,0.435306,,2.97724,4.98081,5.1141,13.0600004196167,,,,,,,1085.4,5.5377551020408164,1017,5.188775510204081,4.27,3.83,3.54,3.31,3.12,2.93,2.74,2.53,2.27,3.72,3.53,3.4,3.29,3.19,3.09,2.99,2.88,2.73,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.4798,8.3192,17.3614,3.0431,30.78,30.78,0,0,,170.138,684.385,133.262,62.7504,57.5275,16.6168,51.6855,0.3928,6.542,220.424,11.66,2.73407,4.26472,0.879,0.322076,0.0755211,0.246554933488369,0.212825,1.08704,0.299769,0.755777,0.440866,,2.87174,4.80202,4.879,23.8700008392334,,,,,,,966.1000000000001,5.682941176470589,892,5.247058823529412,4.5,4.01,3.68,3.43,3.2,3,2.79,2.56,2.28,3.93,3.7,3.54,3.41,3.29,3.17,3.05,2.92,2.75,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.4699,9.421,20.562,3.32884,32,32,0,0,,198.518,810.278,171.324,79.988,73.4261,22.8737,50.9219,0.8184,8.6659,212.369,9.62794,2.30859,4.17048,1.037,0.262094,0.062845,0.19924889504909515,0.228223,1.11953,0.288003,0.74785,0.425596,,3.42532,4.61249,4.75219,21.149999618530273,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,4.72,4.28,3.98,3.74,3.53,3.34,3.14,2.92,2.65,4.12,3.94,3.81,3.7,3.61,3.51,3.41,3.3,3.15,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.95,7.7636,19.9669,3.07236,30.78,30.78,0,0,,186.772,754.94,152.745,69.5313,63.759,19.4243,47.0667,0.5224,8.9808,230.143,11.0899,2.26801,4.88973,0.936,0.30485,0.062345,0.24250496923923492,0.218552,1.06981,0.296712,0.754733,0.42585,,2.9543,4.50912,4.94272,36.150001525878906,,,,,,,1044.3,5.584491978609625,980,5.240641711229946,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.63,2.36,3.91,3.7,3.55,3.43,3.32,3.22,3.11,2.99,2.82,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.5539,6.3885,14.7492,3.22287,24.3,24.3,0,0,,143.689,580.091,117.049,56.0611,51.4544,16.1091,40.6679,0.2431,3.56,178.161,11.1592,2.54725,4.38088,1.009,0.307126,0.0701061,0.2370200678706169,0.218432,1.09763,0.295499,0.752092,0.449349,,3.06751,3.69036,3.45113,101.0199966430664,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,4.78,4.25,3.9,3.63,3.39,3.16,2.94,2.7,2.4,4.1,3.88,3.72,3.6,3.48,3.37,3.26,3.13,2.96,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.1403,9.5527,18.4912,3.41191,30.78,30.78,0,0,,184.766,764.758,164.586,76.5506,70.0448,19.7083,51.2977,0.4321,6.8331,197.344,9.61271,2.49873,3.84704,0.96,0.258048,0.067077,0.19097087532281876,0.232918,1.16842,0.295926,0.739984,0.447403,,3.36085,3.67721,3.83628,106,,,,,,,914,4.940540540540541,885,4.783783783783784,4.89,4.41,4.1,3.85,3.63,3.42,3.21,2.99,2.7,4.27,4.07,3.93,3.81,3.71,3.6,3.5,3.38,3.22,"Sonny Gray","12768",543243
"Cole Ragans","KCR",12.0175,9.5546,17.8264,3.5058,30.78,30.78,0,0,,182.633,763.514,156.164,77.2252,71.1415,19.3591,68.8865,0.5505,6.4845,207.061,10.2038,3.39468,3.00583,0.954,0.271195,0.090223,0.18097208440303802,0.226936,1.23226,0.296293,0.74679,0.407633,,3.51504,3.64201,4.09902,48,,,,,,,903.9,4.939344262295082,857,4.683060109289618,4.99,4.51,4.18,3.93,3.7,3.49,3.28,3.05,2.75,4.37,4.16,4.01,3.89,3.78,3.67,3.56,3.44,3.27,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.5459,9.8258,18.4614,3.48562,32,32,0,0,,188.994,786.818,154.73,79.1363,73.1956,22.3852,70.4871,1.0111,6.4346,224.322,10.6824,3.35664,3.18246,1.066,0.285101,0.089585,0.19551586359739304,0.217961,1.19166,0.285724,0.753468,0.379245,,3.55341,3.63151,3.81409,46.83000183105469,,,,,,,945,5,879,4.650793650793651,4.91,4.45,4.14,3.89,3.67,3.47,3.26,3.03,2.75,4.29,4.09,3.96,3.85,3.75,3.65,3.55,3.43,3.28,"Dylan Cease","18525",656302
"Corbin Burnes","ARI",12.2688,9.7213,18.3886,3.68631,30.78,30.78,0,0,,189.849,793.019,178.226,84.6837,77.7601,20.0396,53.5097,0.2498,7.153,192.522,9.12673,2.53669,3.59789,0.95,0.242771,0.0674759,0.1752949133515358,0.24336,1.22063,0.304325,0.721975,0.457641,,3.46914,3.62677,3.57882,38.90999984741211,,,,,,,900.2,4.737894736842105,893,4.7,5.19,4.71,4.4,4.14,3.92,3.71,3.49,3.26,2.96,4.54,4.35,4.21,4.1,3.99,3.89,3.79,3.67,3.51,"Corbin Burnes","19361",669203
"Pablo López","MIN",12.0934,10.5492,18.6335,3.62669,32,32,0,0,,193.107,798.291,177.224,84.3599,77.8153,23.7521,47.9534,0.8645,8.6144,202.531,9.43925,2.23493,4.2235,1.107,0.253706,0.0600701,0.19363602623343468,0.238936,1.16608,0.29775,0.733713,0.431337,,3.54668,3.56145,3.46796,64.62000274658203,,,,,,,907.8,4.703626943005181,888,4.601036269430052,5.09,4.62,4.31,4.06,3.84,3.63,3.42,3.19,2.89,4.46,4.27,4.13,4.01,3.91,3.81,3.7,3.58,3.43,"Pablo Lopez","17085",641154
