Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.794,637.98,519.259,148.176,72.9506,24.279,0.67625,50.2703,106.936,120.455,106.682,11.4375,163.22,6.17772,4.57051,0.416602,9.21741,6.34249,1.9274,0.285361,0.167218,0.255839,0.653607,0.409989,0.625157,0.430183,1.03515,0.339797,3.15567,0.31548,,-0.888333,136.25,61.6203,186.384,-0.888333,-5.25,62.170535147190094,-12.458887100219727,7.33055,3.359999895095825,,,,,,,1199.9,8.21849315,1199.9,8.21849315,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Gunnar Henderson","BAL",152.077,664.574,585.024,156.486,87.6751,30.6971,5.66888,32.4447,100.644,92.6512,68.9733,1.37879,154.997,5.83706,4.25221,0.48699,11.8813,15.1016,4.06634,0.267486,0.103786,0.233228,0.444997,0.348292,0.505714,0.365333,0.854005,0.238228,6.00457,0.308687,,0.101912,107.242,29.5013,143.398,0.101912,1.19,33.10202285647392,8.230601787567139,6.55675,5.570000171661377,,,,,,,955.8,6.288157894,955.8,6.288157894,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",152.829,674.099,537.709,143.187,82.3671,26.9005,2.01236,31.9072,102.401,90.139,127.538,7.09762,114.499,4.51002,3.59314,0.748994,15.2258,7.30437,3.36895,0.266291,0.189198,0.169855,1.11388,0.408755,0.501822,0.392064,0.910577,0.235531,3.65441,0.281796,,-1.53981,123.282,44.427,157.066,-1.53981,-0.31,44.460628151893616,-8.34805828332901,6.04802,8.300000190734863,,,,,,,1057.2,6.909803921,1057.2,6.909803921,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",153.199,667.874,607.75,175.65,104.322,35.1322,7.92764,28.2682,104.801,90.6576,47.0652,3.79043,111.603,6.45742,5.82461,0.7765,6.76653,37.4823,10.5993,0.289017,0.0704702,0.167102,0.42172,0.343537,0.512451,0.363435,0.855988,0.223434,7.50074,0.311127,,1.98783,106.754,28.6275,134.97,1.98783,0.34,28.71115791797638,7.432546466588974,6.03221,1.4900000095367432,,,,,,,986.4,6.447058823,986.4,6.447058823,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",145.497,644.84,554.272,160.633,84.236,28.0829,5.91903,42.3954,117.131,109.108,79.6216,11.539,142.876,5.13441,3.9847,0.603391,7.87914,31.0072,11.7974,0.289809,0.123475,0.221569,0.557276,0.381624,0.591299,0.406067,0.972923,0.301489,6.96199,0.317004,,0.18073,125.198,49.7663,164.676,0.18073,0,50.052430748939514,-13.789678573608398,5.9629,1.5700000524520874,,,,,,,1138.1,7.848965517,1138.1,7.848965517,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"José Ramírez","CLE",152.65,661.565,590.39,162.628,92.647,35.17,3.75585,31.0554,96.9472,95.3436,60.5467,12.5655,77.7431,3.9427,6.04714,0.548592,7.06473,31.341,9.24859,0.275459,0.0915204,0.117514,0.778805,0.343635,0.505558,0.356799,0.849193,0.230099,5.94318,0.269816,,1.38144,102.212,24.8235,136.014,1.38144,4.9,28.642578601837158,6.666782379150391,5.92432,5.230000019073486,,,,,,,967.2,6.321568627,967.2,6.321568627,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Mookie Betts","LAD",148.441,653.031,564.732,154.508,92.0435,31.9211,2.84603,27.6974,95.6907,89.3483,75.028,1.39314,87.8107,7.18637,5.32338,0.594363,8.8792,14.2029,3.55406,0.273595,0.114892,0.134466,0.854429,0.362921,0.487335,0.366295,0.850256,0.213739,5.08666,0.278982,,0.036851,105.885,29.4942,137.906,0.036851,-1.27,29.637839384377003,5.0827155113220215,5.8318,12.640000343322754,,,,,,,937.5,6.334459459,937.5,6.334459459,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Yordan Alvarez","HOU",135.61,591.149,506.177,151.814,83.5451,31.6364,1.37522,35.2576,90.1539,99.149,70.2325,9.23541,97.393,8.87581,5.4317,0.432341,10.1242,2.15657,0.733435,0.299924,0.118807,0.164752,0.721124,0.39092,0.576823,0.40625,0.967742,0.276899,2.8133,0.307572,,-1.07657,114.861,45.71,171.101,-1.07657,-0.07,47.01577925682068,-13.508964844048023,5.49573,17.770000457763672,,,,,,,1010.7,7.431617647,1010.7,7.431617647,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Cal Raleigh","SEA",141.768,572.609,506.397,111.252,58.0517,22.2074,0.777979,30.2151,66.1502,86.4773,56.6175,2.04106,161.606,4.7209,4.45972,0.41416,6.70503,2.731,0.681063,0.219694,0.0988764,0.282227,0.350343,0.301629,0.44562,0.32135,0.74725,0.225927,2.89403,0.254007,,-0.655803,72.1312,5.14854,116.215,-0.655803,15.99,9.96772587299347,23.136740684509277,5.39034,86.80999755859375,,,,,,,656,4.619718309,656,4.619718309,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Corey Seager","TEX",126.473,549.602,483.685,136.461,77.811,27.0199,0.908419,30.7214,75.8198,86.5512,54.1614,7.52099,94.2596,4.73856,4.22385,0.436103,10.6475,1.10605,0.497838,0.282127,0.0985466,0.171505,0.574598,0.357274,0.532292,0.375434,0.889566,0.250165,2.43548,0.291351,,-1.00004,93.1571,28.8657,147.896,-1.00004,0.33,29.11987566947937,4.183442920446396,5.33167,51.599998474121094,,,,,,,831.9,6.602380952,831.9,6.602380952,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",147.683,619.758,545.641,143.73,93.4527,27.4255,1.52228,21.3297,74.6863,83.0369,64.4742,2.21785,133.964,5.43325,3.32158,0.888168,15.1676,5.3693,1.57994,0.263415,0.104031,0.216155,0.481281,0.345206,0.436531,0.340152,0.781737,0.173116,3.39466,0.310922,,-0.837829,87.4493,14.9512,118.24,-0.837829,9.91,12.680227398872375,15.607646465301514,5.05301,23.979999542236328,,,,,,,758.4,5.124324324,758.4,5.124324324,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
