Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.6328,8.38853,12.68,2.82012,29.211,29.211,0,0,,173.45,697.787,133.009,58.2,54.35,13.0641,49.9454,0.384225,7.39075,212.315,11.0166,2.59157,4.25094,0.677873,0.304269,0.0715768,0.23269172757863998,0.207679,1.05479,0.288972,0.757626,,,2.68918,5.49381,5.27067,11.489999771118164,,,,,,,1027.5,5.9393063583815024,949,5.485549132947977,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.4744,8.36794,14.3669,2.9102,29.486,29.486,0,0,,183.915,730.968,142.889,64.17,59.47,18.0384,41.32,0.416489,6.50803,215.311,10.5364,2.02202,5.21082,0.882722,0.294556,0.0565278,0.2380286566913128,0.209165,1.0016,0.277576,0.755175,,,2.88027,5.45961,5.34315,13.0600004196167,,,,,,,1054.4,5.730434782608696,972,5.282608695652174,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",13.4261,9.37202,16.3784,3.48988,30.373,30.373,0,0,,196.305,806.331,189.506,81.96,76.12,14.2072,39.8982,0.700942,6.84896,159.869,7.32952,1.82921,4.00692,0.651358,0.198267,0.0494812,0.14878608286380768,0.249486,1.16861,0.299396,0.703743,,,3.19295,4.62084,4.09397,101.05999755859375,,,,,,,963.2,4.914285714285715,977,4.98469387755102,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13.6792,8.75582,15.7529,3.42015,30.019,30.019,0,0,,191.755,783.03,160.314,78.24,72.87,21.1535,51.8349,0.376348,8.17296,201.222,9.44434,2.43287,3.88198,0.992837,0.256979,0.0661979,0.1907811537384987,0.221727,1.10635,0.277961,0.73361,,,3.44065,4.60582,4.27039,21.149999618530273,,,,,,,968.5000000000002,5.044270833333335,909,4.734375,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"George Kirby","SEA",12.3468,9.2992,13.8537,3.43978,30.075,30.075,0,0,,180.718,723.539,160.156,73.95,69.07,21.327,26.6799,0.465334,6.01887,163.858,8.16035,1.3287,6.14162,1.06212,0.226467,0.0368742,0.18959321081638336,0.231828,1.03386,0.274553,0.71912,,,3.43005,4.33723,3.96854,44.83000183105469,,,,,,,894.1000000000001,4.939779005524863,861,4.7569060773480665,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Logan Gilbert","SEA",13.089,9.66506,15.8017,3.52986,30.783,30.783,0,0,,194.107,782.476,166.276,81.48,76.13,24.8069,40.0746,0.574094,5.84737,202.783,9.40228,1.85811,5.06014,1.1502,0.259156,0.0512151,0.20794043317437172,0.225748,1.06307,0.277954,0.727595,,,3.44823,4.32912,4.06768,24.639999389648438,,,,,,,964.5000000000001,4.9716494845360835,913,4.706185567010309,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Garrett Crochet","BOS",11.0132,8.46817,9.35037,3.25999,29.404,29.404,0,0,,152.807,624.148,119.946,59.62,55.35,16.8366,48.6254,0.392106,5.33993,205.821,12.1224,2.86393,4.23279,0.991638,0.329763,0.0779069,0.25185634940862656,0.210364,1.10316,0.296696,0.751388,,,2.96446,4.24855,3.63242,23.8700008392334,,,,,,,861.1000000000001,5.6281045751634,794,5.189542483660131,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Cole Ragans","KCR",12.2852,9.06474,13.6598,3.49991,29.717,29.717,0,0,,178.153,741.62,144.853,74.06,69.28,18.3991,67.6304,0.464748,6.07483,208.506,10.5334,3.41658,3.08302,0.929494,0.281149,0.0911928,0.18995633721351624,0.216873,1.1927,0.286736,0.741324,,,3.40949,4.15304,3.76473,48,,,,,,,914.8,5.139325842696629,852,4.786516853932584,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.8083,6.7526,11.7324,3.34024,25.786,25.786,0,0,,154.444,634.622,129.134,61.88,57.32,15.7526,43.1488,0.332367,8.56696,191.819,11.178,2.51443,4.44552,0.91796,0.302257,0.0679913,0.23426538705825806,0.221535,1.1155,0.302081,0.734896,,,3.01298,4.15085,3.4834,36.150001525878906,,,,,,,835.4000000000002,5.424675324675326,790,5.12987012987013,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Justin Steele","CHC",11.7719,8.5949,12.3627,3.39999,28.789,28.789,0,0,,167.877,686.834,149.636,68.68,63.42,15.9076,41.3779,0.340332,5.94811,156.35,8.38205,2.2183,3.7786,0.852816,0.227639,0.0602444,0.1673947498202324,0.233987,1.13782,0.286204,0.724971,,,3.38137,3.92499,3.64575,120.72000122070312,,,,,,,827.4000000000001,4.925000000000001,803,4.779761904761905,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
